tile_id,xmin,ymin,xmax,ymax,native_px240,native_frac
t4_439,39960,4385610,49950,4395600,897,0.29840319361277445
t4_440,39960,4395600,49950,4405590,1232,0.4098469727212242
t4_441,39960,4405590,49950,4415580,1293,0.4301397205588822
t4_442,39960,4415580,49950,4425570,1292,0.42980705256154356
t4_443,39960,4425570,49950,4435560,825,0.2744510978043912
t4_444,39960,4435560,49950,4445550,1211,0.40286094477711243
t4_445,39960,4445550,49950,4455540,12,0.003992015968063872
t4_446,39960,4455540,49950,4465530,1814,0.603459747172322
t4_447,39960,4465530,49950,4475520,2304,0.7664670658682635
t4_448,39960,4475520,49950,4485510,1944,0.6467065868263473
t4_449,39960,4485510,49950,4495500,1369,0.4554224883566201
t4_450,39960,4495500,49950,4505490,1323,0.44011976047904194
t4_451,39960,4505490,49950,4515480,1474,0.490352628077179
t4_452,39960,4515480,49950,4525470,1349,0.44876912840984695
t4_453,39960,4525470,49950,4535460,827,0.2751164337990685
t4_454,39960,4535460,49950,4545450,1022,0.33998669328010644
t4_455,39960,4545450,49950,4555440,1667,0.5545575515635396
t4_456,39960,4555440,49950,4565430,2121,0.7055888223552894
t4_457,39960,4565430,49950,4575420,2192,0.729208250166334
t4_458,39960,4575420,49950,4585410,1544,0.5136393878908849
t4_459,39960,4585410,49950,4595400,1532,0.5096473719228211
t4_460,39960,4595400,49950,4605390,2008,0.6679973386560213
t4_461,39960,4605390,49950,4615380,1900,0.6320691949434465
t4_462,39960,4615380,49950,4625370,1933,0.6430472388556221
t4_463,39960,4625370,49950,4635360,1515,0.5039920159680639
t4_464,39960,4635360,49950,4645350,1190,0.3958749168330007
t4_465,39960,4645350,49950,4655340,1947,0.6477045908183633
t4_466,39960,4655340,49950,4665330,1610,0.5355954757152362
t4_467,39960,4665330,49950,4675320,2011,0.6689953426480373
t4_468,39960,4675320,49950,4685310,1382,0.4597471723220226
t4_469,39960,4685310,49950,4695300,1900,0.6320691949434465
t4_470,39960,4695300,49950,4705290,1332,0.4431137724550898
t4_471,39960,4705290,49950,4715280,1,0.00033266799733865603
t4_480,39960,4795200,49950,4805190,13,0.004324683965402528
t4_481,39960,4805190,49950,4815180,2043,0.6796407185628742
t4_482,39960,4815180,49950,4825170,2498,0.8310046573519627
t4_483,39960,4825170,49950,4835160,1857,0.6177644710578842
t4_484,39960,4835160,49950,4845150,2336,0.7771124417831005
t4_485,39960,4845150,49950,4855140,2411,0.8020625415834997
t4_486,39960,4855140,49950,4865130,1949,0.6483699268130406
t4_487,39960,4865130,49950,4875120,794,0.26413838988689287
t4_488,39960,4875120,49950,4885110,1938,0.6447105788423154
t4_489,39960,4885110,49950,4895100,2172,0.7225548902195609
t4_490,39960,4895100,49950,4905090,1705,0.5671989354624085
t4_491,39960,4905090,49950,4915080,50,0.0166333998669328
t4_492,39960,4915080,49950,4925070,205,0.06819693945442448
t4_493,39960,4925070,49950,4935060,1197,0.39820359281437123
t4_494,39960,4935060,49950,4945050,35,0.011643379906852961
t4_504,39960,5034960,49950,5044950,944,0.3140385894876913
t4_505,39960,5044950,49950,5054940,801,0.26646706586826346
t4_515,39960,5144850,49950,5154840,527,0.17531603459747172
t4_516,39960,5154840,49950,5164830,1444,0.4803725881570193
t5_435,49950,4345650,59940,4355640,321,0.10678642714570859
t5_436,49950,4355640,59940,4365630,2278,0.7578176979374585
t5_437,49950,4365630,59940,4375620,2268,0.7544910179640718
t5_438,49950,4375620,59940,4385610,2401,0.7987358616101131
t5_439,49950,4385610,59940,4395600,1406,0.46773120425815035
t5_440,49950,4395600,59940,4405590,1902,0.6327345309381237
t5_441,49950,4405590,59940,4415580,2095,0.6969394544244844
t5_442,49950,4415580,59940,4425570,1015,0.33765801729873585
t5_443,49950,4425570,59940,4435560,1752,0.5828343313373253
t5_444,49950,4435560,59940,4445550,1196,0.3978709248170326
t5_445,49950,4445550,59940,4455540,60,0.01996007984031936
t5_446,49950,4455540,59940,4465530,1762,0.5861610113107119
t5_447,49950,4465530,59940,4475520,1914,0.6367265469061876
t5_448,49950,4475520,59940,4485510,1988,0.6613439787092482
t5_449,49950,4485510,59940,4495500,1566,0.5209580838323353
t5_450,49950,4495500,59940,4505490,1184,0.39387890884896876
t5_451,49950,4505490,59940,4515480,1235,0.41084497671324016
t5_452,49950,4515480,59940,4525470,1193,0.39687292082501663
t5_453,49950,4525470,59940,4535460,1577,0.5246174318030605
t5_454,49950,4535460,59940,4545450,1585,0.5272787757817698
t5_455,49950,4545450,59940,4555440,1751,0.5825016633399867
t5_456,49950,4555440,59940,4565430,1722,0.5728542914171657
t5_457,49950,4565430,59940,4575420,1783,0.5931470392548237
t5_458,49950,4575420,59940,4585410,1886,0.6274118429807053
t5_459,49950,4585410,59940,4595400,1842,0.6127744510978044
t5_460,49950,4595400,59940,4605390,1611,0.5359281437125748
t5_461,49950,4605390,59940,4615380,1351,0.4494344644045243
t5_462,49950,4615380,59940,4625370,1298,0.4318030605455755
t5_463,49950,4625370,59940,4635360,1927,0.6410512308715901
t5_464,49950,4635360,59940,4645350,2133,0.7095808383233533
t5_465,49950,4645350,59940,4655340,2017,0.6709913506320692
t5_466,49950,4655340,59940,4665330,1823,0.60645375914837
t5_467,49950,4665330,59940,4675320,1998,0.6646706586826348
t5_468,49950,4675320,59940,4685310,1521,0.5059880239520959
t5_469,49950,4685310,59940,4695300,985,0.3276779773785762
t5_470,49950,4695300,59940,4705290,1168,0.38855622089155023
t5_480,49950,4795200,59940,4805190,593,0.19727212242182302
t5_481,49950,4805190,59940,4815180,2640,0.8782435129740519
t5_482,49950,4815180,59940,4825170,2446,0.8137059214903526
t5_483,49950,4825170,59940,4835160,2554,0.8496340652029275
t5_484,49950,4835160,59940,4845150,2430,0.8083832335329342
t5_485,49950,4845150,59940,4855140,2557,0.8506320691949435
t5_486,49950,4855140,59940,4865130,2506,0.833666001330672
t5_487,49950,4865130,59940,4875120,1733,0.5765136393878909
t5_488,49950,4875120,59940,4885110,1223,0.4068529607451763
t5_489,49950,4885110,59940,4895100,1883,0.6264138389886893
t5_490,49950,4895100,59940,4905090,2006,0.667332002661344
