tile_id,xmin,ymin,xmax,ymax
t8_435,79920,4345650,89910,4355640
t8_436,79920,4355640,89910,4365630
t8_440,79920,4395600,89910,4405590
t8_441,79920,4405590,89910,4415580
t8_445,79920,4445550,89910,4455540
t8_446,79920,4455540,89910,4465530
t8_450,79920,4495500,89910,4505490
t8_451,79920,4505490,89910,4515480
t8_455,79920,4545450,89910,4555440
t8_456,79920,4555440,89910,4565430
t8_460,79920,4595400,89910,4605390
t8_461,79920,4605390,89910,4615380
t8_465,79920,4645350,89910,4655340
t8_466,79920,4655340,89910,4665330
t8_470,79920,4695300,89910,4705290
t8_471,79920,4705290,89910,4715280
t8_476,79920,4755240,89910,4765230
t8_477,79920,4765230,89910,4775220
t8_482,79920,4815180,89910,4825170
t8_483,79920,4825170,89910,4835160
t8_487,79920,4865130,89910,4875120
t8_488,79920,4875120,89910,4885110
t8_492,79920,4915080,89910,4925070
t8_493,79920,4925070,89910,4935060
t8_497,79920,4965030,89910,4975020
t8_498,79920,4975020,89910,4985010
t8_502,79920,5014980,89910,5024970
t8_503,79920,5024970,89910,5034960
t8_507,79920,5064930,89910,5074920
t8_508,79920,5074920,89910,5084910
t8_512,79920,5114880,89910,5124870
t8_513,79920,5124870,89910,5134860
t8_520,79920,5194800,89910,5204790
t8_521,79920,5204790,89910,5214780
t8_525,79920,5244750,89910,5254740
t8_526,79920,5254740,89910,5264730
t8_530,79920,5294700,89910,5304690
t8_531,79920,5304690,89910,5314680
t8_535,79920,5344650,89910,5354640
t8_536,79920,5354640,89910,5364630
t8_546,79920,5454540,89910,5464530
t8_547,79920,5464530,89910,5474520
t8_586,79920,5854140,89910,5864130
t8_587,79920,5864130,89910,5874120
t9_422,89910,4215780,99900,4225770
t9_423,89910,4225770,99900,4235760
t9_427,89910,4265730,99900,4275720
t9_428,89910,4275720,99900,4285710
t9_432,89910,4315680,99900,4325670
t9_433,89910,4325670,99900,4335660
t9_437,89910,4365630,99900,4375620
t9_438,89910,4375620,99900,4385610
t9_442,89910,4415580,99900,4425570
t9_443,89910,4425570,99900,4435560
t9_447,89910,4465530,99900,4475520
t9_448,89910,4475520,99900,4485510
t9_452,89910,4515480,99900,4525470
t9_453,89910,4525470,99900,4535460
t9_457,89910,4565430,99900,4575420
t9_458,89910,4575420,99900,4585410
t9_462,89910,4615380,99900,4625370
t9_463,89910,4625370,99900,4635360
t9_467,89910,4665330,99900,4675320
t9_468,89910,4675320,99900,4685310
t9_472,89910,4715280,99900,4725270
t9_473,89910,4725270,99900,4735260
t9_477,89910,4765230,99900,4775220
t9_478,89910,4775220,99900,4785210
t9_482,89910,4815180,99900,4825170
t9_483,89910,4825170,99900,4835160
t9_487,89910,4865130,99900,4875120
t9_488,89910,4875120,99900,4885110
t9_492,89910,4915080,99900,4925070
t9_493,89910,4925070,99900,4935060
t9_497,89910,4965030,99900,4975020
t9_498,89910,4975020,99900,4985010
t9_502,89910,5014980,99900,5024970
t9_503,89910,5024970,99900,5034960
t9_507,89910,5064930,99900,5074920
t9_508,89910,5074920,99900,5084910
t9_512,89910,5114880,99900,5124870
t9_513,89910,5124870,99900,5134860
t9_520,89910,5194800,99900,5204790
t9_521,89910,5204790,99900,5214780
t9_525,89910,5244750,99900,5254740
t9_526,89910,5254740,99900,5264730
t9_530,89910,5294700,99900,5304690
t9_531,89910,5304690,99900,5314680
t9_535,89910,5344650,99900,5354640
t9_536,89910,5354640,99900,5364630
t9_543,89910,5424570,99900,5434560
t9_544,89910,5434560,99900,5444550
t9_548,89910,5474520,99900,5484510
t9_549,89910,5484510,99900,5494500
t9_553,89910,5524470,99900,5534460
t9_554,89910,5534460,99900,5544450
t9_582,89910,5814180,99900,5824170
t9_583,89910,5824170,99900,5834160
t9_587,89910,5864130,99900,5874120
t9_588,89910,5874120,99900,5884110
t10_421,99900,4205790,109890,4215780
t10_422,99900,4215780,109890,4225770
t10_426,99900,4255740,109890,4265730
t10_427,99900,4265730,109890,4275720
t10_431,99900,4305690,109890,4315680
t10_432,99900,4315680,109890,4325670
t10_436,99900,4355640,109890,4365630
t10_437,99900,4365630,109890,4375620
t10_441,99900,4405590,109890,4415580
t10_442,99900,4415580,109890,4425570
t10_446,99900,4455540,109890,4465530
t10_447,99900,4465530,109890,4475520
t10_451,99900,4505490,109890,4515480
t10_452,99900,4515480,109890,4525470
t10_456,99900,4555440,109890,4565430
t10_457,99900,4565430,109890,4575420
t10_461,99900,4605390,109890,4615380
t10_462,99900,4615380,109890,4625370
t10_466,99900,4655340,109890,4665330
t10_467,99900,4665330,109890,4675320
t10_471,99900,4705290,109890,4715280
t10_472,99900,4715280,109890,4725270
t10_476,99900,4755240,109890,4765230
t10_477,99900,4765230,109890,4775220
t10_481,99900,4805190,109890,4815180
t10_482,99900,4815180,109890,4825170
t10_486,99900,4855140,109890,4865130
t10_487,99900,4865130,109890,4875120
t10_491,99900,4905090,109890,4915080
t10_492,99900,4915080,109890,4925070
t10_496,99900,4955040,109890,4965030
t10_497,99900,4965030,109890,4975020
t10_501,99900,5004990,109890,5014980
t10_502,99900,5014980,109890,5024970
t10_506,99900,5054940,109890,5064930
t10_507,99900,5064930,109890,5074920
t10_511,99900,5104890,109890,5114880
t10_512,99900,5114880,109890,5124870
t10_519,99900,5184810,109890,5194800
t10_520,99900,5194800,109890,5204790
t10_524,99900,5234760,109890,5244750
t10_525,99900,5244750,109890,5254740
t10_529,99900,5284710,109890,5294700
t10_530,99900,5294700,109890,5304690
t10_534,99900,5334660,109890,5344650
t10_535,99900,5344650,109890,5354640
t10_539,99900,5384610,109890,5394600
t10_540,99900,5394600,109890,5404590
t10_544,99900,5434560,109890,5444550
t10_545,99900,5444550,109890,5454540
t10_549,99900,5484510,109890,5494500
t10_550,99900,5494500,109890,5504490
t10_554,99900,5534460,109890,5544450
t10_555,99900,5544450,109890,5554440
t10_573,99900,5724270,109890,5734260
t10_574,99900,5734260,109890,5744250
t10_578,99900,5774220,109890,5784210
t10_579,99900,5784210,109890,5794200
t10_583,99900,5824170,109890,5834160
t10_584,99900,5834160,109890,5844150
t11_413,109890,4125870,119880,4135860
t11_414,109890,4135860,119880,4145850
t11_421,109890,4205790,119880,4215780
t11_422,109890,4215780,119880,4225770
t11_426,109890,4255740,119880,4265730
t11_427,109890,4265730,119880,4275720
t11_431,109890,4305690,119880,4315680
t11_432,109890,4315680,119880,4325670
t11_436,109890,4355640,119880,4365630
t11_437,109890,4365630,119880,4375620
t11_441,109890,4405590,119880,4415580
t11_442,109890,4415580,119880,4425570
t11_446,109890,4455540,119880,4465530
t11_447,109890,4465530,119880,4475520
t11_451,109890,4505490,119880,4515480
t11_452,109890,4515480,119880,4525470
t11_456,109890,4555440,119880,4565430
t11_457,109890,4565430,119880,4575420
t11_461,109890,4605390,119880,4615380
t11_462,109890,4615380,119880,4625370
t11_466,109890,4655340,119880,4665330
t11_467,109890,4665330,119880,4675320
t11_471,109890,4705290,119880,4715280
t11_472,109890,4715280,119880,4725270
t11_476,109890,4755240,119880,4765230
t11_477,109890,4765230,119880,4775220
t11_481,109890,4805190,119880,4815180
t11_482,109890,4815180,119880,4825170
t11_486,109890,4855140,119880,4865130
t11_487,109890,4865130,119880,4875120
t11_491,109890,4905090,119880,4915080
t11_492,109890,4915080,119880,4925070
t11_496,109890,4955040,119880,4965030
t11_497,109890,4965030,119880,4975020
t11_501,109890,5004990,119880,5014980
t11_502,109890,5014980,119880,5024970
t11_506,109890,5054940,119880,5064930
t11_507,109890,5064930,119880,5074920
t11_511,109890,5104890,119880,5114880
t11_512,109890,5114880,119880,5124870
t11_519,109890,5184810,119880,5194800
t11_520,109890,5194800,119880,5204790
t11_524,109890,5234760,119880,5244750
t11_525,109890,5244750,119880,5254740
t11_529,109890,5284710,119880,5294700
t11_530,109890,5294700,119880,5304690
t11_534,109890,5334660,119880,5344650
t11_535,109890,5344650,119880,5354640
t11_539,109890,5384610,119880,5394600
t11_540,109890,5394600,119880,5404590
t11_544,109890,5434560,119880,5444550
t11_545,109890,5444550,119880,5454540
t11_549,109890,5484510,119880,5494500
t11_550,109890,5494500,119880,5504490
t11_554,109890,5534460,119880,5544450
t11_555,109890,5544450,119880,5554440
t11_569,109890,5684310,119880,5694300
t11_570,109890,5694300,119880,5704290
t11_574,109890,5734260,119880,5744250
t11_575,109890,5744250,119880,5754240
t11_579,109890,5784210,119880,5794200
t11_580,109890,5794200,119880,5804190
t11_584,109890,5834160,119880,5844150
t11_585,109890,5844150,119880,5854140
t12_412,119880,4115880,129870,4125870
t12_413,119880,4125870,129870,4135860
t12_419,119880,4185810,129870,4195800
t12_420,119880,4195800,129870,4205790
t12_424,119880,4235760,129870,4245750
t12_425,119880,4245750,129870,4255740
t12_429,119880,4285710,129870,4295700
t12_430,119880,4295700,129870,4305690
t12_434,119880,4335660,129870,4345650
t12_435,119880,4345650,129870,4355640
t12_439,119880,4385610,129870,4395600
t12_440,119880,4395600,129870,4405590
t12_444,119880,4435560,129870,4445550
t12_445,119880,4445550,129870,4455540
t12_449,119880,4485510,129870,4495500
t12_450,119880,4495500,129870,4505490
t12_454,119880,4535460,129870,4545450
t12_455,119880,4545450,129870,4555440
t12_459,119880,4585410,129870,4595400
t12_460,119880,4595400,129870,4605390
t12_464,119880,4635360,129870,4645350
t12_465,119880,4645350,129870,4655340
t12_469,119880,4685310,129870,4695300
t12_470,119880,4695300,129870,4705290
t12_474,119880,4735260,129870,4745250
t12_475,119880,4745250,129870,4755240
t12_479,119880,4785210,129870,4795200
t12_480,119880,4795200,129870,4805190
t12_484,119880,4835160,129870,4845150
t12_485,119880,4845150,129870,4855140
t12_489,119880,4885110,129870,4895100
t12_490,119880,4895100,129870,4905090
t12_494,119880,4935060,129870,4945050
t12_495,119880,4945050,129870,4955040
t12_499,119880,4985010,129870,4995000
t12_500,119880,4995000,129870,5004990
t12_504,119880,5034960,129870,5044950
t12_505,119880,5044950,129870,5054940
t12_509,119880,5084910,129870,5094900
t12_510,119880,5094900,129870,5104890
t12_519,119880,5184810,129870,5194800
t12_520,119880,5194800,129870,5204790
t12_524,119880,5234760,129870,5244750
t12_525,119880,5244750,129870,5254740
t12_529,119880,5284710,129870,5294700
t12_530,119880,5294700,129870,5304690
t12_534,119880,5334660,129870,5344650
t12_535,119880,5344650,129870,5354640
t12_539,119880,5384610,129870,5394600
t12_540,119880,5394600,129870,5404590
t12_544,119880,5434560,129870,5444550
t12_545,119880,5444550,129870,5454540
t12_549,119880,5484510,129870,5494500
t12_550,119880,5494500,129870,5504490
t12_554,119880,5534460,129870,5544450
t12_555,119880,5544450,129870,5554440
t12_559,119880,5584410,129870,5594400
t12_560,119880,5594400,129870,5604390
t12_569,119880,5684310,129870,5694300
t12_570,119880,5694300,129870,5704290
t12_574,119880,5734260,129870,5744250
t12_575,119880,5744250,129870,5754240
t12_579,119880,5784210,129870,5794200
t12_580,119880,5794200,129870,5804190
t12_584,119880,5834160,129870,5844150
t12_585,119880,5844150,129870,5854140
t12_589,119880,5884110,129870,5894100
t12_590,119880,5894100,129870,5904090
t13_411,129870,4105890,139860,4115880
t13_412,129870,4115880,139860,4125870
t13_417,129870,4165830,139860,4175820
t13_418,129870,4175820,139860,4185810
t13_422,129870,4215780,139860,4225770
t13_423,129870,4225770,139860,4235760
t13_427,129870,4265730,139860,4275720
t13_428,129870,4275720,139860,4285710
t13_432,129870,4315680,139860,4325670
t13_433,129870,4325670,139860,4335660
t13_437,129870,4365630,139860,4375620
t13_438,129870,4375620,139860,4385610
t13_442,129870,4415580,139860,4425570
t13_443,129870,4425570,139860,4435560
t13_447,129870,4465530,139860,4475520
t13_448,129870,4475520,139860,4485510
t13_452,129870,4515480,139860,4525470
t13_453,129870,4525470,139860,4535460
t13_457,129870,4565430,139860,4575420
t13_458,129870,4575420,139860,4585410
t13_462,129870,4615380,139860,4625370
t13_463,129870,4625370,139860,4635360
t13_467,129870,4665330,139860,4675320
t13_468,129870,4675320,139860,4685310
t13_472,129870,4715280,139860,4725270
t13_473,129870,4725270,139860,4735260
t13_477,129870,4765230,139860,4775220
t13_478,129870,4775220,139860,4785210
t13_482,129870,4815180,139860,4825170
t13_483,129870,4825170,139860,4835160
t13_487,129870,4865130,139860,4875120
t13_488,129870,4875120,139860,4885110
t13_492,129870,4915080,139860,4925070
t13_493,129870,4925070,139860,4935060
t13_497,129870,4965030,139860,4975020
t13_498,129870,4975020,139860,4985010
t13_502,129870,5014980,139860,5024970
t13_503,129870,5024970,139860,5034960
t13_507,129870,5064930,139860,5074920
t13_508,129870,5074920,139860,5084910
t13_512,129870,5114880,139860,5124870
t13_515,129870,5144850,139860,5154840
t13_524,129870,5234760,139860,5244750
t13_525,129870,5244750,139860,5254740
t13_530,129870,5294700,139860,5304690
t13_531,129870,5304690,139860,5314680
t13_536,129870,5354640,139860,5364630
t13_537,129870,5364630,139860,5374620
t13_541,129870,5404590,139860,5414580
t13_542,129870,5414580,139860,5424570
t13_546,129870,5454540,139860,5464530
t13_547,129870,5464530,139860,5474520
t13_551,129870,5504490,139860,5514480
t13_552,129870,5514480,139860,5524470
t13_556,129870,5554440,139860,5564430
t13_557,129870,5564430,139860,5574420
t13_561,129870,5604390,139860,5614380
t13_562,129870,5614380,139860,5624370
t13_566,129870,5654340,139860,5664330
t13_567,129870,5664330,139860,5674320
t13_571,129870,5704290,139860,5714280
t13_572,129870,5714280,139860,5724270
t13_576,129870,5754240,139860,5764230
t13_577,129870,5764230,139860,5774220
t13_581,129870,5804190,139860,5814180
t13_582,129870,5814180,139860,5824170
t13_586,129870,5854140,139860,5864130
t13_587,129870,5864130,139860,5874120
t13_591,129870,5904090,139860,5914080
t13_592,129870,5914080,139860,5924070
t14_409,139860,4085910,149850,4095900
t14_410,139860,4095900,149850,4105890
t14_416,139860,4155840,149850,4165830
t14_417,139860,4165830,149850,4175820
t14_421,139860,4205790,149850,4215780
t14_422,139860,4215780,149850,4225770
t14_426,139860,4255740,149850,4265730
t14_427,139860,4265730,149850,4275720
t14_431,139860,4305690,149850,4315680
t14_432,139860,4315680,149850,4325670
t14_436,139860,4355640,149850,4365630
t14_437,139860,4365630,149850,4375620
t14_441,139860,4405590,149850,4415580
t14_442,139860,4415580,149850,4425570
t14_446,139860,4455540,149850,4465530
t14_447,139860,4465530,149850,4475520
t14_451,139860,4505490,149850,4515480
t14_452,139860,4515480,149850,4525470
t14_456,139860,4555440,149850,4565430
t14_457,139860,4565430,149850,4575420
t14_462,139860,4615380,149850,4625370
t14_463,139860,4625370,149850,4635360
t14_467,139860,4665330,149850,4675320
t14_468,139860,4675320,149850,4685310
t14_472,139860,4715280,149850,4725270
t14_473,139860,4725270,149850,4735260
t14_478,139860,4775220,149850,4785210
t14_479,139860,4785210,149850,4795200
t14_484,139860,4835160,149850,4845150
t14_485,139860,4845150,149850,4855140
t14_489,139860,4885110,149850,4895100
t14_490,139860,4895100,149850,4905090
t14_494,139860,4935060,149850,4945050
t14_495,139860,4945050,149850,4955040
t14_499,139860,4985010,149850,4995000
t14_500,139860,4995000,149850,5004990
t14_509,139860,5084910,149850,5094900
t14_510,139860,5094900,149850,5104890
t14_528,139860,5274720,149850,5284710
t14_529,139860,5284710,149850,5294700
t14_536,139860,5354640,149850,5364630
t14_537,139860,5364630,149850,5374620
t14_541,139860,5404590,149850,5414580
