"km","oscuras","base","razon"
25,0.323529411764706,0.0841750841750842,3.84352941176471
50,0.458333333333333,0.165551839464883,2.76851851851852
100,0.729166666666667,0.285714285714286,2.55208333333333
200,0.887096774193548,0.389632107023411,2.27675481102035
