plot_id,index,px,s00,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51
PCL0402,ndvi,center,0.24768442,0.2079347,0.25913292,0.30250716,0.286374,0.23347826,0.018589083,-0.15478879,-0.19783588,-0.16868249,-0.08703252,0.29048002,0.438341,0.4731242,0.45629975,0.45168653,0.35461244,0.39813888,0.4092132,0.42534214,0.45028943,0.4636105,0.4857997,0.4923704,0.5238704,0.5091722,0.51262873,0.4774237,0.450846,0.4052423,0.3679324,0.33882877,0.33648965,0.33994174,0.34321177,0.37641412,0.34751704,0.23685063,0.3057107,0.29818153,0.32236034,0.34214488,0.342899,0.32696766,0.29054287,0.2903799,0.2622285,0.2787659,0.28044233,0.27519476,0.24946183,0.2646989
PCL0402,ndvi,mean5x5,0.30538234,0.25804883,0.3133861,0.2789624,0.22028698,0.18886939,0.13372357,0.028586764,0.07361549,0.13397586,0.13596399,0.18212986,0.22886646,0.22431646,0.18446696,0.24328612,0.31122145,0.383816,0.38445747,0.4160877,0.43357956,0.45056313,0.46147847,0.47109276,0.5129304,0.49903193,0.50695086,0.47549382,0.46390438,0.4217067,0.3933228,0.37118694,0.3731651,0.38430527,0.39339232,0.45711434,0.40880135,0.25625256,0.35003456,0.3524062,0.3868163,0.395131,0.40162268,0.37128028,0.3313153,0.32501116,0.30639833,0.3186861,0.3275608,0.32118252,0.3173874,0.3372462
PCL0402,evi,center,0.019712873,0.014246607,0.0147835305,0.0168738,0.01674259,0.015078655,0.02058151,0.022496948,0.021138417,0.020313142,0.02312345,0.020586086,0.020387232,0.019567296,0.026863514,0.029909844,0.031408533,0.039470177,0.040934592,0.038105793,0.046118297,0.055936795,0.06789556,0.087206125,0.11186898,0.12721798,0.14407167,0.1483564,0.14919503,0.14118238,0.13232331,0.12568156,0.1310438,0.13461709,0.13830362,0.14734533,0.14091925,0.089144774,0.11320839,0.10962264,0.11647118,0.121061526,0.1137392,0.10273718,0.08715616,0.0738526,0.055405393,0.047219764,0.040808115,0.03599894,0.028995387,0.024546742
PCL0402,evi,mean5x5,0.03382915,0.02318984,0.02108104,0.013624289,0.009544927,0.009135944,0.014079514,0.017528242,0.020665068,0.022906577,0.02506195,0.023024332,0.019623552,0.017834447,0.020735756,0.02380521,0.027847249,0.0431677,0.04951411,0.05478105,0.067537926,0.08021633,0.089850456,0.10477335,0.12829977,0.1377474,0.1512494,0.15253429,0.15603238,0.14702325,0.14020342,0.13432331,0.14276938,0.14929992,0.15487011,0.17590362,0.15961689,0.0949594,0.12992667,0.12889424,0.14026223,0.14062533,0.1361057,0.12110604,0.10372761,0.09038127,0.07659581,0.06945225,0.06664027,0.060283273,0.053261556,0.04620412
PCL0402,kndvi,center,0.075637,0.05887457,0.0812893,0.1099964,0.10947868,0.10329327,0.25154817,0.3419643,0.36534366,0.38846654,0.43144986,0.4117955,0.30730364,0.2784075,0.2532826,0.23333707,0.13292436,0.16089264,0.16884752,0.1797927,0.20231125,0.21331947,0.2344289,0.2407031,0.26989698,0.25621077,0.26000616,0.22828175,0.20750223,0.16816735,0.14081943,0.11756668,0.11583438,0.11693229,0.11909453,0.140747,0.12018436,0.05603945,0.09370419,0.09198322,0.106257804,0.1199731,0.12249296,0.112874106,0.09574449,0.09648343,0.07911732,0.08723008,0.094054274,0.09424671,0.078436874,0.08693705
PCL0402,kndvi,mean5x5,0.11256831,0.09737547,0.13080896,0.118707955,0.09967384,0.099143274,0.23211293,0.2833979,0.34040204,0.37167504,0.39823547,0.34575734,0.26594722,0.22475405,0.19165802,0.18635377,0.12644981,0.16636549,0.16541705,0.18026204,0.19539092,0.20763245,0.21798225,0.22660378,0.26348254,0.25124103,0.25987092,0.23085989,0.2223489,0.18448149,0.16332999,0.14394894,0.14561252,0.15375473,0.16104925,0.21142063,0.17087506,0.067352824,0.12706606,0.1337627,0.15754503,0.1652715,0.1727724,0.15093131,0.1259355,0.122046374,0.10912349,0.11497057,0.12476283,0.123825036,0.12173114,0.13539557
PCL0402,nbr,center,0.33194137,0.35868996,0.34359404,0.34297585,0.34344897,0.40793622,0.38013,0.35687438,0.3703621,0.3332158,0.31817693,0.21894127,0.3738347,0.37534145,0.42696,0.42958072,0.494446,0.43610463,0.42822185,0.38161117,0.38123003,0.39125374,0.356155,0.3684485,0.3599334,0.3400804,0.32761955,0.29044303,0.25106677,0.20463645,0.1659411,0.1253189,0.13559483,0.13982491,0.15180884,0.16886018,0.15442206,0.023436844,0.0864918,0.122944675,0.17073809,0.21649343,0.22575472,0.20979449,0.20724624,0.20047323,0.21178898,0.23665975,0.32000276,0.33633515,0.3407586,0.37190035
PCL0402,nbr,mean5x5,0.37565213,0.38055015,0.37222722,0.34869754,0.3607107,0.44647434,0.42657417,0.40970576,0.40362158,0.38478047,0.36135215,0.2926156,0.38196766,0.37496483,0.38385856,0.36989498,0.42433298,0.41442358,0.38262904,0.3547617,0.3409583,0.3500508,0.3138422,0.32435486,0.32537183,0.30902842,0.30327594,0.2670729,0.2560917,0.20872396,0.18110175,0.14961222,0.17200771,0.18375117,0.20613874,0.2548114,0.2386364,0.08369869,0.14112,0.18309173,0.23223561,0.26277602,0.27180415,0.24430284,0.2141235,0.1995349,0.20019035,0.2210606,0.2883829,0.31965455,0.37645805,0.4145303
PCL0402,savi,center,0.021972863,0.016231598,0.017044805,0.018870952,0.017956011,0.015731527,0.021503445,0.023975309,0.023560263,0.023138922,0.026510322,0.024631232,0.023607165,0.022542953,0.029147739,0.032671563,0.033748392,0.042679813,0.044303447,0.042616725,0.05172233,0.062277652,0.07572374,0.09631738,0.12293014,0.13865948,0.15631017,0.16084948,0.1614644,0.15321308,0.1429994,0.13660657,0.14006054,0.14418516,0.14637157,0.16002998,0.14616272,0.093896605,0.12522288,0.11799986,0.12624943,0.12981848,0.1234678,0.111435145,0.09459694,0.08073182,0.06150567,0.05254114,0.04496875,0.040239897,0.031778418,0.027493838
PCL0402,savi,mean5x5,0.037167735,0.02580739,0.023730012,0.015656833,0.01075601,0.010052529,0.015383958,0.018837705,0.022727286,0.025249053,0.02773564,0.026328778,0.02250145,0.020511936,0.022961004,0.026605071,0.030509353,0.04728731,0.054400157,0.060600325,0.07477236,0.08778488,0.09864429,0.114160225,0.13960214,0.14888273,0.16310635,0.1643421,0.16752174,0.15826648,0.1502829,0.14494884,0.15106064,0.15835299,0.16255836,0.18841425,0.16533557,0.099932045,0.14167903,0.13714069,0.14991033,0.14921193,0.1459317,0.13005367,0.11166422,0.0982593,0.08414704,0.07677462,0.07294131,0.0668478,0.058251858,0.051131595
