"source","n","q","reps","alpha_mean","alpha_lo","alpha_hi","beta_mean","beta_lo","beta_hi","gamma_mean","gamma_lo","gamma_hi"
"parcelas_cl",10,0,100,5.008,3.5475,6.7525,6.49059850303618,5.03143939393939,7.94257703081232,32.18,23.475,41
"parcelas_cl",10,1,100,2.70522141874359,1.97421712116233,3.52648581886376,6.05762022401959,4.39996889912529,7.94517706028768,16.2571012773028,11.68581317877,22.1236237348833
"parcelas_cl",10,2,100,2.0545470058305,1.52514636189168,2.66193072688861,5.79990035588106,3.79775661607642,8.0777454838687,11.8320916394522,7.5657898174788,16.6074649664619
"parcelas_cl",14,0,100,4.8,3.60535714285714,6.46607142857143,7.96932050655267,6.25327932098766,9.73120689655172,37.85,27.95,46.525
"parcelas_cl",14,1,100,2.58223732134002,2.00917159438683,3.50143949418971,7.33546898466068,5.43049743220653,9.77713454428056,18.817764308064,13.0587615399839,25.7396344919496
"parcelas_cl",14,2,100,1.96929880629312,1.59474479290555,2.63572189834049,6.91793274553016,4.43608509382718,9.74750389834135,13.5724752543407,7.86927601105194,19.9226497914326
"parcelas_cl",20,0,100,5.0005,4.0975,5.97625,9.29000937492539,7.55361098803722,11.0128836680561,46.22,38.475,55
"parcelas_cl",20,1,100,2.66878943513791,2.22527061040535,3.23889370115933,8.35313673327605,6.08935970324813,10.8047659620306,22.1918674835632,15.8780554847246,27.5835103233263
"parcelas_cl",20,2,100,2.01141425057984,1.67417542329934,2.43717566307305,7.67545546164448,4.54150008803897,10.8962828523779,15.3875381464857,8.92344508874243,21.7388645659904
"parcelas_cl",29,0,100,4.86965517241379,3.86034482758621,5.70948275862069,11.1972163985325,9.44794303797469,13.1466076335878,54.25,45,62.525
"parcelas_cl",29,1,100,2.62599848117801,2.21548637412891,3.12005107128922,9.59151060009097,7.04889211379018,11.7604595158503,25.1079646694393,18.5897780025517,30.4297861590397
"parcelas_cl",29,2,100,1.99252744496932,1.72083054295212,2.30664177183413,8.49747348233428,5.48619456212233,11.4328093045755,16.9224149309178,11.035366579723,22.9000945121702
"parcelas_cl",41,0,100,4.93756097560976,4.14268292682927,5.84573170731707,12.8338960922004,10.5586419753086,14.9538653670919,63.03,55,71
"parcelas_cl",41,1,100,2.65532498586227,2.33213804844483,3.15495912647729,10.6035538782993,8.28646852741135,12.9215520858469,28.0657883674897,20.8694121745414,33.8360237987813
"parcelas_cl",41,2,100,2.00409166686978,1.76915279850864,2.36343517180473,9.09961483204837,5.75130137881537,12.2713608764343,18.1986005786465,10.5818604273449,23.5370885413914
"parcelas_cl",58,0,100,4.96724137931034,4.41379310344828,5.50905172413793,14.3952958076543,12.6997796464815,16.4387037037037,71.33,63,79.525
"parcelas_cl",58,1,100,2.61482553472443,2.30476330968606,2.95114007010377,11.2680840984596,9.40289857425379,13.3041749363893,29.4511099354517,22.8460964156622,35.2302022355989
"parcelas_cl",58,2,100,1.96896796107074,1.75250319650119,2.22358939677995,9.34672119256275,6.74059327542206,11.9362673588641,18.43964096996,12.1725640930672,24.2042463299089
"parcelas_cl",83,0,100,4.8978313253012,4.41536144578313,5.43433734939759,16.4673575121929,14.4538556427126,18.2905171383021,80.51,72.475,87.525
"parcelas_cl",83,1,100,2.63565114265398,2.36892775455467,2.87361101915387,12.2439018484203,10.5258261697352,14.4356306588269,32.2487437312337,26.9760264091398,37.9751732980212
"parcelas_cl",83,2,100,1.99464623178149,1.81968081138884,2.16483377558559,9.99709738442981,8.07287622025297,12.8276181077057,19.9418155736684,15.3732256617517,25.3644015512993
"parcelas_cl",117,0,100,4.95675213675214,4.49123931623932,5.35128205128205,18.2380634195517,16.164306707537,19.8767677772756,90.27,82.475,98.525
"parcelas_cl",117,1,100,2.63776680750889,2.46306282925336,2.81464533539218,12.7570684443622,10.9970169267455,14.5087867769296,33.6279911295866,29.2419767675337,37.6933744649256
"parcelas_cl",117,2,100,1.98598698669728,1.86943336583075,2.09566805717566,10.1378682350557,7.9147435702756,12.4019123999072,20.1280399118873,15.6295822954858,24.1985305671838
"parcelas_cl",167,0,100,4.93784431137725,4.64266467065868,5.25179640718563,20.1116898371202,18.574909788744,21.9766830005495,99.22,93,107
"parcelas_cl",167,1,100,2.63318372292683,2.51090206176287,2.77363043117312,13.1780985315387,11.6703827388526,14.5590581402901,34.6793614763759,31.0599549317611,38.2159497182182
"parcelas_cl",167,2,100,1.9843675029289,1.89697580826165,2.08834204839319,10.3538355449362,8.44700781285438,12.4277233740764,20.5373438598823,16.7812033048988,24.443616413699
"parcelas_cl",237,0,100,4.92527426160338,4.64651898734177,5.15094936708861,21.9699963713327,20.9114979689554,23.1619825912225,108.17,102,114.525
"parcelas_cl",237,1,100,2.61354386891467,2.49140477011436,2.72695540363366,13.5562435566536,12.6397415768718,14.4959046597292,35.4245225798951,33.046351460279,38.3731197240215
"parcelas_cl",237,2,100,1.97127574247356,1.8950833196337,2.03884353894229,10.4410563375209,9.26450206212066,11.8867151402859,20.5827642874384,18.1671654588142,23.4024805062322
"parcelas_cl",337,0,100,4.92670623145401,4.76402077151335,5.09510385756677,24.0166275227187,23.120268587823,24.9792967592512,118.3,113.475,123
"parcelas_cl",337,1,100,2.61970456084754,2.54174213004259,2.70280375166954,13.9188705496233,13.2644091879345,14.5795744691564,36.4588382684165,34.4729619285218,38.303002888212
"parcelas_cl",337,2,100,1.97483376355432,1.92263802201854,2.02446442049183,10.6136580917529,9.74031462534387,11.4476272816664,20.9590622502842,19.0364747282021,22.6240794202374
"parcelas_cl",479,0,1,4.93319415448852,4.93319415448852,4.93319415448852,25.7439695302581,25.7439695302581,25.7439695302581,127,127,127
"parcelas_cl",479,1,1,2.62434925998837,2.62434925998837,2.62434925998837,14.0941681927142,14.0941681927142,14.0941681927142,36.9880198667011,36.9880198667011,36.9880198667011
"parcelas_cl",479,2,1,1.97814507034252,1.97814507034252,1.97814507034252,10.6677201648313,10.6677201648313,10.6677201648313,21.1022980558546,21.1022980558546,21.1022980558546
"living_trees",10,0,100,3.575,2.3475,5.0575,6.47761207612199,4.81896551724138,7.83080808080808,22.86,16,31
"living_trees",10,1,100,2.27908471986782,1.65256913302103,3.31973468471073,6.02473954243849,4.24283916421029,7.80242958960743,13.7005263293586,8.31303795129798,20.0369201337956
"living_trees",10,2,100,1.7857722266524,1.36072353777379,2.54267406295653,5.79909099736944,3.70923802019819,8.12759934387405,10.3861836200123,5.77881039378248,16.6259100928203
"living_trees",16,0,100,3.68125,2.625,4.75625,8.20339627621483,6.35098039215686,10.1949843260188,29.83,23,36.525
"living_trees",16,1,100,2.30507615012949,1.72260225675068,2.88745302740008,7.40246398669233,5.68334979727207,9.70189628933079,16.9989728725078,12.0086313345433,23.3250022333799
"living_trees",16,2,100,1.77959598237824,1.45675259932212,2.238531019931,6.96341966910048,4.81363115400189,10.3338708110007,12.4313846062107,7.74369138860168,19.0868306510818
"living_trees",26,0,100,3.61692307692308,2.84615384615385,4.32788461538462,10.1698531275791,7.64404498702297,12.49375,36.46,30,44
"living_trees",26,1,100,2.24195223058811,1.8119281759603,2.75149430081249,8.78328287040643,6.67057319327999,10.9176189950769,19.6541963360414,13.942498114076,26.2086849079166
"living_trees",26,2,100,1.73554148732275,1.4679887004418,2.09925413465209,7.98970347627484,5.40936777434312,10.7068638569382,13.9067732097477,8.61164987808679,20.3966473149404
"living_trees",43,0,100,3.64162790697674,3.01104651162791,4.24476744186046,12.0266083363626,9.74990010474454,14.8926238738739,43.46,36,49.525
"living_trees",43,1,100,2.27498220013408,1.95369684781088,2.69412141454693,10.2806928836109,8.23033446611806,12.3461520287567,23.3423639706667,17.2077911358345,28.0062837075505
"living_trees",43,2,100,1.76022522123419,1.53406763426364,2.09114041689259,9.27767641209701,6.66384140999845,11.7235596750959,16.3666784841719,10.8032226691355,21.7097762303718
"living_trees",69,0,100,3.63217391304348,3.0268115942029,4.25471014492754,13.499563793126,11.8431944735189,16.0551706384231,48.79,44,55
"living_trees",69,1,100,2.2595892351677,1.94178472715261,2.57278709631777,11.3103236994737,9.93486412554785,13.4306423670305,25.5205192968983,21.3027851252034,30.2333485080823
"living_trees",69,2,100,1.74626003260589,1.53944684154778,1.95172792898823,10.003119297412,8.15597894924371,12.4476009150264,17.4792974562189,13.2271651960035,22.2513201026926
"living_trees",112,0,100,3.59607142857143,3.20535714285714,4.02857142857143,14.7831866400303,13.0632042361924,17.0606067906346,52.99,48,58.525
"living_trees",112,1,100,2.24004440700474,2.01091977640775,2.48453899599149,11.6957997111326,10.5058013303843,13.1909927397197,26.2002052037042,21.7451626810839,30.8648665729841
"living_trees",112,2,100,1.73482166659507,1.58786675248709,1.88444840584472,9.99020847511572,8.11276015827678,12.2054344452562,17.3639639683432,13.175332768376,21.8000730144523
"living_trees",181,0,100,3.6060773480663,3.29488950276243,3.95317679558011,16.0726600099417,14.3303584213208,17.7975233520255,57.82,54,61.525
"living_trees",181,1,100,2.24591172851544,2.08351880769414,2.47030484445105,12.4067197992491,11.3749489584482,13.7408153504654,27.851430002506,25.1321222353035,31.3098906084697
"living_trees",181,2,100,1.73578518400778,1.63608655897668,1.87524064168597,10.6362457249158,9.03215117962018,12.4531359450661,18.4773824275005,15.433754607855,22.8982912943483
"living_trees",293,0,100,3.61081911262799,3.35819112627986,3.87116040955631,17.1967502913429,15.7420482045801,19.1481559046641,62.03,57,67
"living_trees",293,1,100,2.24291047485563,2.11352668953162,2.37299778882672,12.6076219726354,11.8629166082225,13.3851016363979,28.2685603368162,26.3758233133629,30.3160945911148
"living_trees",293,2,100,1.73264701327398,1.65309872454987,1.8141010313856,10.6015954263304,9.58835012469788,11.7757259428315,18.3731920380914,16.210881491982,20.7940567120112
