"Assemblage","qTD","TD_obs","TD_asy","s.e.","qTD.LCL","qTD.UCL"
"Parcelas-CL completo","Species richness",601,724.397111465532,24.3854776321488,676.602453560714,772.191769370351
"subset del proyecto","Species richness",505,668.553247353386,28.5313875823479,612.632755263031,724.473739443741
