species,nombre_normalizado,habito_raw,forma,estatus,es_sinonimo,aceptado,forma_inconsistente
Franseria fruticosa,franseria fruticosa,Arbusto,lenosa,nativa,True,Ambrosia artemisioides,False
Franseria meyeniana,franseria meyeniana,Arbusto,lenosa,nativa,True,Ambrosia artemisioides,False
Jobaphes virgatus,jobaphes virgatus,Arbusto,lenosa,endemica,True,Aphyllocladus denticulatus,False
Cyclolepis denticulata,cyclolepis denticulata,Arbusto,lenosa,endemica,True,Aphyllocladus denticulatus,False
Plazia virgata,plazia virgata,Arbusto,lenosa,endemica,True,Aphyllocladus denticulatus,False
Helichrysum chilense,helichrysum chilense,Hierba,herbacea,endemica,True,Anaphalis chilensis,False
Antennaria magellanica,antennaria magellanica,Hierba,herbacea,nativa,True,Antennaria chilensis,False
Heterothalamus acaulis,heterothalamus acaulis,Hierba,herbacea,nativa,True,Baccharis acaulis,False
Pseudobaccharis acaulis,pseudobaccharis acaulis,Hierba,herbacea,nativa,True,Baccharis acaulis,False
Psila caespitosa,psila caespitosa,Hierba,herbacea,nativa,True,Baccharis acaulis,False
Pingraea scandens,pingraea scandens,Arbusto,lenosa,nativa,True,Baccharis calliprinos,False
Baccharis petiolata,baccharis petiolata,Arbusto,lenosa,nativa,True,Baccharis calliprinos,False
Baccharis scandens,baccharis scandens,Arbusto,lenosa,nativa,True,Baccharis calliprinos,False
Molina scandens,molina scandens,Arbusto,lenosa,nativa,True,Baccharis calliprinos,False
Molina concava,molina concava,Arbusto,lenosa,endemica,True,Baccharis concava,False
Pingraea cymosa,pingraea cymosa,Arbusto,lenosa,endemica,True,Baccharis cymosa,False
Heterothalamus boliviensis,heterothalamus boliviensis,Arbusto,lenosa,nativa,True,Baccharis boliviensis,False
Pseudobaccharis boliviensis,pseudobaccharis boliviensis,Arbusto,lenosa,nativa,True,Baccharis boliviensis,False
Psila boliviensis,psila boliviensis,Arbusto,lenosa,nativa,True,Baccharis boliviensis,False
Molina caespitosa,molina caespitosa,Subarbusto,lenosa,nativa,True,Baccharis caespitosa,False
Molina venosa,molina venosa,Subarbusto,lenosa,nativa,True,Baccharis genistelloides,False
Baccharis venosa,baccharis venosa,Subarbusto,lenosa,nativa,True,Baccharis genistelloides,False
Baccharis angustifolia,baccharis angustifolia,Hierba,herbacea,nativa,True,Baccharis glutinosa,False
Baccharis pingraea,baccharis pingraea,Hierba,herbacea,nativa,True,Baccharis glutinosa,False
Baccharis serrulata,baccharis serrulata,Hierba,herbacea,nativa,True,Baccharis glutinosa,False
Baccharis viscosa,baccharis viscosa,Hierba,herbacea,nativa,True,Baccharis glutinosa,True
Molina viscosa,molina viscosa,Hierba,herbacea,nativa,True,Baccharis glutinosa,False
Pingraea viscosa,pingraea viscosa,Hierba,herbacea,nativa,True,Baccharis glutinosa,False
Baccharis huydobriana,baccharis huydobriana,Hierba,herbacea,nativa,True,Baccharis glutinosa,True
Baccharis litoralis,baccharis litoralis,Hierba,herbacea,nativa,True,Baccharis glutinosa,False
