species,nombre_normalizado,habito_raw,forma,estatus,es_sinonimo,aceptado,forma_inconsistente
Mulinum clandestinum,mulinum clandestinum,Hierba,herbacea,endemica,True,Azorella spinosa,False
Azorella gayana,azorella gayana,Hierba,herbacea,nativa,True,Azorella trifoliolata,False
Azorella depauperata,azorella depauperata,Hierba,herbacea,nativa,True,Azorella trifoliolata,False
Azorella pinnatiloba,azorella pinnatiloba,Hierba,herbacea,nativa,True,Azorella trifoliolata,False
Chamitis trifurcata,chamitis trifurcata,Subarbusto,lenosa,nativa,True,Azorella trifurcata,False
Bolax gilliesii,bolax gilliesii,Subarbusto,lenosa,nativa,True,Azorella trifurcata,False
Azorella gilliesii,azorella gilliesii,Subarbusto,lenosa,nativa,True,Azorella trifurcata,False
Azorella utriculata,azorella utriculata,Subarbusto,lenosa,nativa,True,Azorella trifurcata,False
Azorella rahmeri,azorella rahmeri,Subarbusto,lenosa,nativa,True,Azorella trifurcata,False
Azorella albida,azorella albida,Subarbusto,lenosa,nativa,True,Azorella trifurcata,False
Azorella crassifolia,azorella crassifolia,Subarbusto,lenosa,nativa,True,Azorella trifurcata,False
