plot_id,index,sos,sos_mean5x5,pos,pos_mean5x5,eos,eos_mean5x5,vsos,vsos_mean5x5,vpos,vpos_mean5x5,veos,veos_mean5x5,los,los_mean5x5,msp,msp_mean5x5,mau,mau_mean5x5,vmsp,vmsp_mean5x5,vmau,vmau_mean5x5,ampl,ampl_mean5x5,ios,ios_mean5x5,rog,rog_mean5x5,ros,ros_mean5x5,sw,sw_mean5x5,trough,trough_mean5x5,mos,mos_mean5x5,degenerate_px_frac,peak_doy_observed,peak_doy_ref,phase_group,order_coherent,anchoring_used,ref_index,anchor_circ_sd,anchor_median,aseasonal_frac,strength_median,phase_error
32477,ndvi,175.0,171.96,274.0,273.16,331.0,326.52,0.39238352606693905,0.3830403695344925,0.5445158064365386,0.550552064259847,0.3413908558587233,0.3259929227034251,156.0,154.56,225.0,220.8,303.0,297.96,0.4884573491414388,0.5029226497332255,0.3857005457083384,0.41051927167177205,0.3118587762117385,0.3192665672073762,63.72387251081565,64.9738295170178,0.0015366897007030261,0.0016649567206897462,-0.0035635956241721984,-0.004294907499945839,-0.41386363061632364,-0.5270839558398261,0.2326570302248001,0.23128549705247084,253.0,249.24,0.0,272.0,272.0,summer_peaking,True,auto,ndvi,4.5622058764970115,55.132706117450994,0.0,0.27776019659245443,
32477,evi,182.0,182.84,274.0,274.0,338.0,336.88,0.18991250107685725,0.1980257854372263,0.29095421632130936,0.304546213110288,0.1457336824387312,0.16008939176301162,156.0,154.04,225.0,227.24,302.0,303.72,0.23277645419041315,0.26757465358177823,0.19485657090942066,0.19838745070497193,0.19732563843329742,0.20597474892934162,31.546984296850855,33.807790166802704,0.0010982795135266532,0.0011734674728763042,-0.002269070841915284,-0.0023266097103482814,0.01321434319589488,-0.3824963538694533,0.09362857788801193,0.09857146418094637,260.0,259.86,0.0,272.0,272.0,summer_peaking,True,auto,ndvi,5.08508889268036,64.57564572536472,0.0,0.4081975076902002,
32477,kndvi,175.0,173.44,274.0,271.48,324.0,324.28,0.15344496483604114,0.1504158156697949,0.2913355549176534,0.29831072055896124,0.12026268367966017,0.11383785870919624,149.0,150.84,225.0,221.08,295.0,296.96,0.237213897506396,0.2524934309562047,0.19415648529926938,0.1844893945833047,0.23725906213124592,0.2443851021513343,28.88020050033927,30.5667106110697,0.0013928342432486087,0.0015215703452461523,-0.0034214574247598646,-0.003613777500955293,-0.2755504601111313,-0.415243199380275,0.05407649278640747,0.05392561840762695,249.5,248.86,0.0,272.0,272.0,summer_peaking,True,auto,ndvi,4.251926809968467,58.692222205910866,0.0,0.5128021176668648,
32477,nbr,189.0,191.52,274.0,274.0,1.0,146.44,0.012239025644958018,0.021227369282518827,0.2886353393395742,0.27289020748933157,-0.15427878499031067,-0.04908126185741276,177.0,173.92,232.0,231.44,316.0,318.4,0.18405402238170304,0.1888841521660487,-0.009046572446823123,-0.013078755763204148,0.44469880970815817,0.46447732455531754,19.373665706142784,18.022205187943328,0.003251721337583719,0.003057124213665522,-0.004814283960107444,-0.0035374133580868355,0.18353395905389833,-0.14459928626169855,-0.15606347036858398,-0.191587117065986,277.5,278.48,0.0,272.0,272.0,summer_peaking,True,auto,ndvi,4.681779304244301,81.02092231534209,0.0,5.921673654982321,
32477,savi,175.0,177.92,274.0,274.0,331.0,330.44,0.1907794669022163,0.19520088857412335,0.29201100865999857,0.30524544274806975,0.1658346983293692,0.16451995668808622,156.0,152.52,225.0,224.44,302.0,301.76,0.24342260787884396,0.2671092009862264,0.19693922152121862,0.20603694480657578,0.19314770499865214,0.20212611591319246,32.577009810929496,33.86144709754834,0.0010225408258361845,0.0011497673867680248,-0.002213619479484726,-0.0025240063698402405,-0.13883434018960963,-0.3841733297334219,0.09886330366134644,0.10311932683487733,253.0,254.18,0.0,272.0,272.0,summer_peaking,True,auto,ndvi,4.974319639866021,63.16051320148512,0.0,0.3887558334218933,
32479,ndvi,175.0,159.68,274.0,265.56,8.0,129.56,0.6338267720739046,0.6141839607040087,0.7606013258298239,0.7277265054384867,0.6388094425201416,0.6186350233753523,198.0,203.48,225.0,211.16,324.0,312.84,0.6989354288578034,0.6489019381523132,0.6669728363553683,0.6421909295956294,0.7852768566459418,0.6916147862469156,126.059440972507,124.87853010882336,0.0012805510480395888,0.0012807520170553712,-0.0012302210435321441,-0.0011621479855053298,-0.2701207519395615,-0.26108677523375284,-0.024675530816117917,0.036111719191571086,274.0,261.42,0.0,272.0,272.0,summer_peaking,True,auto,ndvi,7.335526352717281,70.25220996368188,0.0,0.2791058278869904,
32479,evi,203.0,221.76,281.0,315.04,1.0,65.6,0.2382010892033577,0.2463182628035545,0.37834158539772034,0.3374205476939678,0.2290026694536209,0.23217013249397275,163.0,165.04,239.0,267.36,323.0,190.64,0.3119285424550374,0.2868946253657341,0.3541295871138573,0.2941988065858682,0.23988789821664494,0.2008105062107245,50.03805495445927,44.74639562519292,0.0017966730281328543,0.0010212905805370143,-0.001756928422871758,-0.0015300828549128283,-0.7632527909873708,-0.19277158417031237,0.1384536871810754,0.1366100414832433,284.5,304.28,0.0,279.0,272.0,summer_peaking,True,auto,ndvi,17.260396616893214,110.06637428439672,0.0,0.2741897308619821,
32479,kndvi,204.0,169.4,274.0,256.8,1.0,127.8,0.36740314662456514,0.34955333391750854,0.5215249538421631,0.48542216086785006,0.32099246978759766,0.3606286501328151,162.0,177.4,239.0,211.96,316.0,301.64,0.46380764722824097,0.412252383774519,0.4078993221124014,0.3984028348128001,0.24082805245493855,0.24738270295908055,67.19703867907324,67.37125773209334,0.0022017401031085427,0.0019638027292546456,-0.0021797009136365814,-0.0014124244232476034,0.5250831533655174,-0.15176300372254994,0.2806969013872246,0.23803945790876946,285.0,258.1,0.0,272.0,272.0,summer_peaking,True,auto,ndvi,16.28276114950934,81.15477980649399,0.12,0.18055803642133172,
32479,nbr,182.0,177.92,281.0,209.04,359.0,198.0,0.4040385574102402,0.4104894587705534,0.5929889976978302,0.5687486398617427,0.4980139434337616,0.4291969127031664,177.0,180.68,232.0,229.24,323.0,247.28,0.4830972671508789,0.46612501565814024,0.5089291324218114,0.49943692707320053,0.8159535978361965,0.5946678953253975,81.5421988343199,79.6058449118456,0.0019085903059352525,0.0020204125702004004,-0.0012176289008213924,-0.0027205045087084984,0.33361923671015953,-0.4566948188944711,-0.22296460013836622,-0.025919255463654797,270.5,239.06,0.0,279.0,272.0,summer_peaking,True,auto,ndvi,34.67872357637698,84.52302465673444,0.16,0.3489366643336179,
32479,savi,203.0,216.56,281.0,306.8,8.0,32.08,0.25102056562900543,0.24279580193360645,0.3796877086162567,0.33405235063036287,0.315555214881897,0.23995018571019172,170.0,165.92,239.0,260.24,330.0,228.08,0.30953625082969666,0.2862527903755506,0.3512285552918911,0.29756376578211785,0.24232699106136957,0.20169797611186904,51.540354874730106,45.220591454013196,0.0016495787562468116,0.001061806236556715,-0.0006970923231995626,-0.001300235121941847,-0.9322221093916797,-0.35654839044632214,0.13736071755488716,0.13235437451849383,288.0,299.52,0.0,279.0,272.0,summer_peaking,True,auto,ndvi,15.886299484585118,107.55143004658345,0.0,0.2658838090638333,
32532,ndvi,65.0,63.72,122.0,121.04,265.0,241.64,0.7907242397467296,0.7959570827325184,0.8444293737411499,0.8527101774480609,0.7489427208900452,0.7509387508006323,200.0,177.92,93.0,92.84,193.0,181.4,0.8095335622628529,0.8277043311066098,0.704837204586892,0.6827924705719666,0.2190811687707901,0.25161039020882714,137.60096839040045,125.14990669780153,0.0009421953332354446,0.0009682213059993182,-0.0006677388311266062,-0.0008828595479891944,-0.07468179429482939,-0.6100646697219908,0.6253482049703598,0.6010997872392337,165.0,152.68,0.0,122.0,122.0,winter_peaking,True,auto,ndvi,25.191171902495043,210.3684813860414,1.0,0.047139261283126226,
32532,evi,207.0,183.72,357.0,296.0,365.0,258.92,0.3483025823320661,0.3998138603868939,0.411733478307724,0.4705453182591333,0.4082508981227875,0.4375592842499415,158.0,162.2173913043478,279.0,247.4,1.0,55.44,0.39177760481834417,0.41055196398099264,0.4033871591091156,0.42794182603983655,0.08975940942764282,0.14347883922363086,54.325053829451406,61.68420391783467,0.0004228726398377192,0.0005877867660225083,-0.00043532252311706543,-0.0011779259648300908,-0.5434526108672063,-0.035718958604349565,0.3219740688800812,0.3270664790355024,286.0,247.84782608695653,0.04,357.0,122.0,winter_peaking,True,auto,ndvi,47.94455242838777,160.84679425027184,0.84,0.05434444621924125,
32532,kndvi,65.0,87.08,122.0,121.2,265.0,235.52,0.5545726160208384,0.5592307704488436,0.6109985828399658,0.620229847020573,0.5108052293459575,0.5147955217966957,200.0,177.64,93.0,89.88,193.0,178.4,0.5748330891132355,0.5924560371277825,0.4615352676028297,0.4767879455283136,0.23274898171424863,0.25016306994275916,93.14162201612241,87.76135305049078,0.0009899292424408312,0.0009947568369229184,-0.0007006528216364214,-0.001155119326201527,-0.05124093696401749,-0.6576506978971871,0.37824960112571715,0.37006677707781394,165.0,146.7,0.0,122.0,122.0,winter_peaking,True,auto,ndvi,24.02035789186864,210.91143766056345,0.92,0.07242924296771672,
32532,nbr,115.0,79.84,222.0,175.84,293.0,270.56,0.7473388380474515,0.7601345178286235,0.7992680051970104,0.8144284094689386,0.7467174748579661,0.7528077031071223,178.0,190.72,165.0,127.32,257.0,223.28,0.7088045251369477,0.7482608693312085,0.7601662168900172,0.7505957456577391,0.15322655231233628,0.1710919751920397,123.24589523236429,134.5389608372323,0.00048531931915475574,0.000664186563908501,-0.0007401483146344257,-0.0007629733923636868,0.13222024021284037,-0.4127407951938686,0.6460414528846741,0.6433364342768987,204.0,175.2,0.0,222.0,122.0,winter_peaking,True,auto,ndvi,47.6481597225171,320.3018498332575,1.0,0.027530786078345842,
