species,family,becerra,parcelas_cl_resto,living_trees,n_parcelas,en_conteos,forma,fuente,motivo
Baccharis paniculata,Asteraceae,5,32,0,37,True,lenosa,especie,
Proustia pyrifolia,Asteraceae,0,36,0,36,True,lenosa,especie,
Crinodendron patagua,Elaeocarpaceae,0,18,17,35,True,lenosa,especie,
Ribes punctatum,Grossulariaceae,0,34,0,34,False,lenosa,genero,
Herniaria cinerea,Caryophyllaceae,33,0,0,33,True,herbacea,especie,
Azara celastrina,Salicaceae,0,21,12,33,True,lenosa,especie,
Aristeguietia salvia,Asteraceae,0,31,0,31,True,lenosa,especie,
Gilia valdiviensis,Polemoniaceae,31,0,0,31,True,herbacea,especie,
Kageneckia angustifolia,Rosaceae,0,27,2,29,True,lenosa,especie,
Montiopsis ramosissima,Montiaceae,29,0,0,29,True,herbacea,especie,
Luma chequen,Myrtaceae,0,24,4,28,True,lenosa,especie,
Cardionema ramosissimum,Caryophyllaceae,28,0,0,28,True,herbacea,genero,
Azara dentata,Salicaceae,0,4,24,28,True,lenosa,especie,
Podocarpus saligna,Podocarpaceae,0,0,28,28,True,lenosa,especie,
Adesmia,,22,4,0,26,True,,sin_resolver,genero con arbustos y anuales; la base no identifica la especie
Adesmia confusa,Fabaceae,0,26,0,26,True,lenosa,especie,
Helenium aromaticum,Asteraceae,24,1,0,25,True,herbacea,genero,
Rubus ulmifolius,Rosaceae,0,25,0,25,False,lenosa,especie,
Chusquea quila,Poaceae,0,24,0,24,False,herbacea,especie,
Cyclospermum laciniatum,Apiaceae,23,1,0,24,True,herbacea,especie,
Myrceugenia obtusa,Myrtaceae,0,24,0,24,True,lenosa,especie,
Ugni molinae,Myrtaceae,0,24,0,24,False,lenosa,especie,
Solanum crispum,Solanaceae,0,24,0,24,True,lenosa,manual,trepadora lignificada
Cryptantha clandestina,Boraginaceae,24,0,0,24,True,herbacea,especie,
Maytenus magellanica,Celastraceae,0,2,21,23,True,lenosa,especie,
Guindilia trinervis,Sapindaceae,0,23,0,23,True,lenosa,especie,
Nothofagus macrocarpa,Nothofagaceae,0,14,9,23,True,lenosa,especie,
Moscharia pinnatifida,Asteraceae,22,1,0,23,True,herbacea,especie,
Erodium botrys,Geraniaceae,22,0,0,22,True,herbacea,especie,
Pasithea caerulea,Asphodelaceae,21,1,0,22,True,herbacea,especie,
Oziroe arida,Asparagaceae,22,0,0,22,True,herbacea,manual,geofita bulbosa
Blepharocalyx cruckshanksii,Myrtaceae,0,0,21,21,True,lenosa,especie,
Podanthus mitiqui,Asteraceae,0,21,0,21,True,lenosa,especie,
Conanthera campanulata,Tecophilaeaceae,20,0,0,20,True,herbacea,especie,
Schismus arabicus,Poaceae,19,0,0,19,True,herbacea,especie,
Gamochaeta oligantha,Asteraceae,19,0,0,19,True,herbacea,especie,
Berberis glomerata,Berberidaceae,17,2,0,19,True,lenosa,genero,
Leptosiphon pusillus,Polemoniaceae,19,0,0,19,True,herbacea,especie,
Cuscuta micrantha,Convolvulaceae,18,0,0,18,True,herbacea,especie,
Rosa rubiginosa,Rosaceae,0,18,0,18,False,lenosa,especie,
Leucheria oligocephala,Asteraceae,18,0,0,18,True,herbacea,especie,
Ageratina glechonophylla,Asteraceae,0,17,0,17,True,lenosa,especie,
Tristerix corymbosus,Loranthaceae,0,17,0,17,True,lenosa,especie,
Adesmia tenella var. misera,,17,0,0,17,True,herbacea,especie,
Aira caryophyllea,Poaceae,0,17,0,17,False,herbacea,especie,
Haplopappus,,8,8,0,16,True,,sin_resolver,genero con arbustos y hierbas andinas; la base no identifica la especie
Nassella gigantea,Poaceae,0,16,0,16,False,herbacea,especie,
Colletia hystrix,Rhamnaceae,0,16,0,16,False,lenosa,especie,
Alstroemeria,,15,1,0,16,True,herbacea,genero,
Diplolepis geminiflora,Apocynaceae,14,1,0,15,True,lenosa,especie,
Corrigiola crassifolia,Caryophyllaceae,15,0,0,15,True,herbacea,especie,
Lapageria rosea,Philesiaceae,0,15,0,15,False,lenosa,especie,
Chusquea cumingii,Poaceae,0,15,0,15,False,herbacea,especie,
Beilschmiedia miersii,Lauraceae,0,14,1,15,True,lenosa,especie,
Colliguaja integerrima,Euphorbiaceae,0,14,0,14,True,lenosa,especie,
Lardizabala funaria,Lardizabalaceae,0,14,0,14,False,lenosa,especie,
Cristaria dissecta,Malvaceae,14,0,0,14,True,herbacea,especie,
Fabiana imbricata,Solanaceae,0,14,0,14,False,lenosa,especie,
Podocarpus salignus,Podocarpaceae,0,14,0,14,True,lenosa,genero,
Madia chilensis,Asteraceae,12,1,0,13,True,herbacea,especie,
Nardophyllum chiliotrichoides,Asteraceae,0,13,0,13,True,lenosa,genero,
Festuca myuros,Poaceae,0,13,0,13,False,herbacea,genero,
Euphorbia collina,Euphorbiaceae,0,13,0,13,True,herbacea,especie,
Hypericum perforatum,Hypericaceae,0,13,0,13,False,herbacea,especie,
Temu cruckshanksii,,0,12,0,12,True,lenosa,genero,
Retanilla ephedra,Rhamnaceae,0,12,0,12,True,lenosa,especie,
Leucocoryne coquimbensis,Amaryllidaceae,12,0,0,12,True,herbacea,especie,
Greigia sphacelata,Bromeliaceae,0,12,0,12,False,herbacea,especie,
Eriophyllum ambrosiodes,Asteraceae,3,9,0,12,True,lenosa,genero,
Prumnopitys andina,Podocarpaceae,0,0,12,12,True,lenosa,especie,
Genista monspessulana,Fabaceae,0,12,0,12,False,lenosa,genero,
Clematicissus striata,Vitaceae,0,12,0,12,False,,,
Chusquea culeou,Poaceae,0,11,0,11,False,herbacea,especie,
Clinopodium chilense,Lamiaceae,0,11,0,11,False,lenosa,especie,
Viola portalesia,Violaceae,0,11,0,11,False,lenosa,especie,
Haplopappus pulchellus,Asteraceae,11,0,0,11,True,lenosa,especie,
Haplopappus cerberoanus,Asteraceae,0,11,0,11,False,lenosa,especie,
Nassella pungens,Poaceae,11,0,0,11,True,herbacea,especie,
Bomarea salsilla,Alstroemeriaceae,0,11,0,11,False,herbacea,especie,
Gaultheria insana,Ericaceae,0,11,0,11,False,lenosa,especie,
Eucryphia glutinosa,Cunoniaceae,0,10,1,11,True,lenosa,especie,
Gastridium phleoides,Poaceae,0,11,0,11,False,herbacea,especie,
Dasyphyllum excelsum,Asteraceae,0,0,11,11,True,lenosa,especie,
Bromus hordeaceus,Poaceae,0,11,0,11,False,herbacea,especie,
Bridgesia incisifolia,Sapindaceae,1,9,0,10,True,lenosa,especie,
Haplopappus schumannii,Asteraceae,0,10,0,10,True,lenosa,especie,
Heliotropium stenophyllum,Boraginaceae,0,10,0,10,False,lenosa,especie,
Adesmia bedwellii,Fabaceae,0,10,0,10,False,lenosa,especie,
Baccharis rhomboidalis,Asteraceae,0,10,0,10,False,lenosa,especie,
Podanthus ovatifolius,Asteraceae,0,10,0,10,False,lenosa,especie,
Gamochaeta berteroana,Asteraceae,0,10,0,10,False,herbacea,genero,
Lycium chilense,Solanaceae,3,7,0,10,True,lenosa,especie,
Blechnum hastatum,Blechnaceae,0,10,0,10,False,herbacea,especie,
Hypochaeris radicata,Asteraceae,0,10,0,10,False,herbacea,especie,
Sophora microphylla,Fabaceae,0,0,9,9,True,lenosa,genero,
Myrceugenia correifolia,Myrtaceae,0,5,4,9,True,lenosa,especie,
Baccharis neaei,Asteraceae,0,9,0,9,False,,,
Azara,,0,9,0,9,True,lenosa,genero,
Anisomeria littoralis,Phytolaccaceae,3,6,0,9,True,lenosa,especie,
Escallonia illinita,Escalloniaceae,0,9,0,9,True,lenosa,especie,
Calceolaria meyeniana,Calceolariaceae,0,9,0,9,False,lenosa,especie,
Nassella,,8,1,0,9,True,herbacea,genero,
Eucalyptus,,0,9,0,9,False,lenosa,genero,
Fuchsia magellanica,Onagraceae,0,9,0,9,False,lenosa,especie,
Llagunoa glandulosa,Sapindaceae,2,6,0,8,True,lenosa,especie,
Drimys winteri var. chilensis,,0,8,0,8,False,lenosa,especie,
Tweedia birostrata,Apocynaceae,8,0,0,8,True,lenosa,especie,
Gaultheria mucronata,Ericaceae,0,8,0,8,False,lenosa,especie,
Trichopetalum plumosum,Asparagaceae,8,0,0,8,True,herbacea,especie,
Galium hypocarpium,Rubiaceae,0,8,0,8,False,,,
Rumex acetosella,Polygonaceae,0,8,0,8,False,herbacea,especie,
Schinus montana,Anacardiaceae,0,8,0,8,True,lenosa,especie,
Proustia cuneifolia subsp. cuneifolia,,0,8,0,8,False,lenosa,especie,
Adiantum chilense var. sulphureum,,0,8,0,8,False,herbacea,especie,
Baccharis salicifolia,Asteraceae,0,8,0,8,False,lenosa,especie,
Viola capillaris,Violaceae,0,8,0,8,False,lenosa,especie,
Azara microphylla,Salicaceae,0,8,0,8,False,lenosa,especie,
Adesmia hemisphaerica,Fabaceae,0,8,0,8,True,lenosa,especie,
Myoschilos oblongum,Santalaceae,0,8,0,8,False,,,
Carex hamata,Cyperaceae,0,7,0,7,False,herbacea,genero,
Berberis darwinii,Berberidaceae,0,7,0,7,False,lenosa,especie,
Tolpis barbata,Asteraceae,0,7,0,7,False,herbacea,especie,
Adesmia viscida,Fabaceae,0,7,0,7,False,herbacea,especie,
Chuquiraga oppositifolia,Asteraceae,0,7,0,7,True,lenosa,especie,
Dioscorea humifusa,Dioscoreaceae,7,0,0,7,True,herbacea,especie,
Cirsium vulgare,Asteraceae,0,7,0,7,False,herbacea,especie,
Cordia decandra,Boraginaceae,0,5,2,7,True,lenosa,especie,
Briza maxima,Poaceae,0,7,0,7,False,herbacea,especie,
Senna stipulacea,Fabaceae,0,7,0,7,False,lenosa,especie,
Viola rubella,Violaceae,0,7,0,7,False,lenosa,especie,
Solanum pinnatum,Solanaceae,0,7,0,7,False,,,
Chaetanthera linearis,Asteraceae,5,2,0,7,True,herbacea,especie,
Lactuca virosa,Asteraceae,0,7,0,7,False,herbacea,especie,
Plantago lanceolata,Plantaginaceae,0,7,0,7,False,herbacea,especie,
Nothofagus alessandrii,Nothofagaceae,0,6,1,7,True,lenosa,especie,
