"species","genus","family","status"
"Blechnum cordatum","Blechnum","Blechnaceae","bind"
"Cytisus striatus","Cytisus","Fabaceae","bind"
"Juncus cyperoides","Juncus","Juncaceae","bind"
"Lobelia tupa","Lobelia","Campanulaceae","prune"
"Nertera granadensis","Nertera","Rubiaceae","prune"
"Plantago australis","Plantago","Plantaginaceae","prune"
"Prunella vulgaris","Prunella","Lamiaceae","prune"
"Ugni candollei","Ugni","Myrtaceae","bind"
"Galium diffusoramosum","Galium","Rubiaceae","bind"
"Agrostis arvensis","Agrostis","Poaceae","bind"
"Agrostis inconspicua","Agrostis","Poaceae","bind"
"Trisetum caudulatum","Trisetum","Poaceae","bind"
"Acacia dealbata","Acacia","Fabaceae","prune"
"Agrostis capillaris","Agrostis","Poaceae","prune"
"Lysimachia arvensis","Lysimachia","Primulaceae","bind"
"Chascolytrum subaristatum","Chascolytrum","Poaceae","bind"
"Danthonia araucana","Danthonia","Poaceae","bind"
"Daucus carota","Daucus","Apiaceae","prune"
"Dioscorea auriculata","Dioscorea","Dioscoreaceae","bind"
"Eryngium paniculatum","Eryngium","Apiaceae","prune"
"Lactuca serriola","Lactuca","Asteraceae","prune"
"Linum bienne","Linum","Linaceae","prune"
"Medicago sativa","Medicago","Fabaceae","prune"
"Nassella poeppigiana","Nassella","Poaceae","bind"
"Agrostis stolonifera","Agrostis","Poaceae","prune"
"Acaena ovalifolia","Acaena","Rosaceae","prune"
"Lepechinia chilensis","Lepechinia","Lamiaceae","bind"
"Olsynium junceum","Olsynium","Iridaceae","prune"
"Luzuriaga radicans","Luzuriaga","Alstroemeriaceae","prune"
"Rhamnus diffusa","Rhamnus","Rhamnaceae","bind"
"Sonchus asper","Sonchus","Asteraceae","prune"
"Vicia magellanica","Vicia","Fabaceae","bind"
"Crepis capillaris","Crepis","Asteraceae","prune"
"Lotus pedunculatus","Lotus","Fabaceae","prune"
"Acaena pinnatifida","Acaena","Rosaceae","prune"
"Carex macloviana","Carex","Cyperaceae","bind"
"Carex sagei","Carex","Cyperaceae","bind"
"Blumea cafra","Blumea","Asteraceae","prune"
"Gunnera tinctoria","Gunnera","Gunneraceae","prune"
"Juncus stipulatus","Juncus","Juncaceae","bind"
"Lotus tenuis","Lotus","Fabaceae","prune"
"Nierembergia repens","Nierembergia","Solanaceae","bind"
"Oenothera stricta","Oenothera","Onagraceae","bind"
"Paspalum dasypleurum","Paspalum","Poaceae","bind"
"Petrorhagia dubia","Petrorhagia","Caryophyllaceae","bind"
"Piptochaetium panicoides","Piptochaetium","Poaceae","prune"
"Sporobolus indicus","Sporobolus","Poaceae","prune"
"Trifolium glomeratum","Trifolium","Fabaceae","prune"
"Trifolium repens","Trifolium","Fabaceae","prune"
"Balbisia gracilis","Balbisia","Francoaceae","bind"
"Dysphania botrys","Dysphania","Amaranthaceae","bind"
"Noticastrum erectum","Noticastrum","Asteraceae","bind"
"Scleranthus annuus","Scleranthus","Caryophyllaceae","prune"
"Carex aphylla","Carex","Cyperaceae","prune"
"Gaultheria pumila","Gaultheria","Ericaceae","prune"
"Anthoxanthum juncifolium","Anthoxanthum","Poaceae","bind"
"Anthoxanthum utriculatum","Anthoxanthum","Poaceae","bind"
"Montiopsis gayana","Montiopsis","Montiaceae","prune"
"Rytidosperma pictum","Rytidosperma","Poaceae","prune"
"Senecio chilensis","Senecio","Asteraceae","prune"
"Poa alopecurus","Poa","Poaceae","bind"
"Acaena magellanica","Acaena","Rosaceae","prune"
"Hypochaeris apargioides","Hypochaeris","Asteraceae","prune"
"Achillea millefolium","Achillea","Asteraceae","prune"
"Alonsoa meridionalis","Alonsoa","Scrophulariaceae","prune"
"Dioscorea reticulata","Dioscorea","Dioscoreaceae","bind"
"Geranium berteroanum","Geranium","Geraniaceae","bind"
"Oxalis valdiviensis","Oxalis","Oxalidaceae","bind"
"Taraxacum officinale","Taraxacum","Asteraceae","bind"
"Rubus geoides","Rubus","Rosaceae","prune"
"Peyritschia viridis","Peyritschia","Poaceae","bind"
"Cytisus scoparius","Cytisus","Fabaceae","prune"
"Hydrocotyle indecora","Hydrocotyle","Araliaceae","bind"
"Verbascum thapsus","Verbascum","Scrophulariaceae","bind"
"Digitalis purpurea","Digitalis","Plantaginaceae","prune"
"Osmorhiza berteroi","Osmorhiza","Apiaceae","prune"
"Pseudotsuga menziesii","Pseudotsuga","Pinaceae","prune"
"Synammia feuillei","Synammia","Polypodiaceae","bind"
"Anthriscus caucalis","Anthriscus","Apiaceae","bind"
"Baccharis pingraea","Baccharis","Asteraceae","bind"
"Centaurea melitensis","Centaurea","Asteraceae","prune"
"Micropsis nana","Micropsis","Asteraceae","bind"
"Phalaris amethystina","Phalaris","Poaceae","bind"
"Pseudognaphalium gaudichaudianum","Pseudognaphalium","Asteraceae","prune"
"Verbascum virgatum","Verbascum","Scrophulariaceae","prune"
"Anthemis cotula","Anthemis","Asteraceae","prune"
"Capsella bursa-pastoris","Capsella","Brassicaceae","prune"
"Carthamus lanatus","Carthamus","Asteraceae","prune"
"Verbena laciniata","Verbena","Verbenaceae","bind"
"Hordeum marinum","Hordeum","Poaceae","prune"
"Madia sativa","Madia","Asteraceae","prune"
"Plantago firma","Plantago","Plantaginaceae","bind"
"Polygonum aviculare","Polygonum","Polygonaceae","prune"
"Rapistrum rugosum","Rapistrum","Brassicaceae","prune"
"Codonorchis lessonii","Codonorchis","Orchidaceae","prune"
"Dactylis glomerata","Dactylis","Poaceae","prune"
"Prunus cerasus","Prunus","Rosaceae","prune"
"Azara alpina","Azara","Salicaceae","bind"
"Sisyrinchium chilense","Sisyrinchium","Iridaceae","prune"
"Anemone multifida","Anemone","Ranunculaceae","prune"
"Agrostis castellana","Agrostis","Poaceae","prune"
"Bromus lithobius","Bromus","Poaceae","bind"
"Erigeron bonariensis","Erigeron","Asteraceae","prune"
"Geranium core-core","Geranium","Geraniaceae","prune"
"Beilschmiedia oligandra","Beilschmiedia","Lauraceae","bind"
"Decarydendron perrieri","Decarydendron","Monimiaceae","bind"
"Diospyros piscatoria","Diospyros","Ebenaceae","bind"
"Diospyros venosa","Diospyros","Ebenaceae","prune"
"Doryphora aromatica","Doryphora","Atherospermataceae","bind"
"Eugenia macrocarpa","Eugenia","Myrtaceae","bind"
"Ficus cestrifolia","Ficus","Moraceae","prune"
"Ficus racemosa","Ficus","Moraceae","prune"
"Ormosia nitida","Ormosia","Fabaceae","prune"
"Pisonia macranthocarpa","Pisonia","Nyctaginaceae","prune"
"Pouteria dictyoneura","Pouteria","Sapotaceae","bind"
"Syzygium acuminatissimum","Syzygium","Myrtaceae","prune"
"Talisia clathrata","Talisia","Sapindaceae","bind"
"Attalea cephalotus","Attalea","Arecaceae","bind"
"Psychotria parvifolia","Psychotria","Rubiaceae","bind"
"Quercus coccinea","Quercus","Fagaceae","prune"
"Terminalia subspathulata","Terminalia","Combretaceae","bind"
"Virola multiflora","Virola","Myristicaceae","prune"
"Eugenia monticola","Eugenia","Myrtaceae","prune"
"Ficus nymphaeifolia","Ficus","Moraceae","prune"
"Ormosia macrocalyx","Ormosia","Fabaceae","prune"
"Shorea maxwelliana","Shorea","Dipterocarpaceae","bind"
"Terminalia triflora","Terminalia","Combretaceae","bind"
"Glenniea adamii","Glenniea","Sapindaceae","bind"
"Ormosia krugii","Ormosia","Fabaceae","prune"
