"species","genus","family","status"
"Heliotropium stenophyllum","Heliotropium","Boraginaceae","prune"
"Adesmia bedwellii","Adesmia","Fabaceae","bind"
"Fabiana viscosa","Fabiana","Solanaceae","bind"
"Oxalis virgosa","Oxalis","Oxalidaceae","bind"
"Puya berteroniana","Puya","Bromeliaceae","bind"
"Copiapoa coquimbana","Copiapoa","Cactaceae","prune"
"Cordia decandra","Cordia","Boraginaceae","prune"
"Fuchsia lycioides","Fuchsia","Onagraceae","bind"
"Llagunoa glandulosa","Llagunoa","Sapindaceae","bind"
"Lobelia polyphylla","Lobelia","Campanulaceae","prune"
"Solanum pinnatum","Solanum","Solanaceae","prune"
"Vasconcellea chilensis","Vasconcellea","Caricaceae","bind"
"Calceolaria collina","Calceolaria","Calceolariaceae","bind"
"Plectocephalus chilensis","Plectocephalus","Asteraceae","prune"
"Anisomeria littoralis","Anisomeria","Phytolaccaceae","bind"
"Berberis glomerata","Berberis","Berberidaceae","bind"
"Aristeguietia salvia","Aristeguietia","Asteraceae","bind"
"Lepechinia salviae","Lepechinia","Lamiaceae","prune"
"Ophryosporus paradoxus","Ophryosporus","Asteraceae","bind"
"Chiropetalum berteroanum","Chiropetalum","Euphorbiaceae","bind"
"Junellia selaginoides","Junellia","Verbenaceae","bind"
"Pleocarphus revolutus","Pleocarphus","Asteraceae","bind"
"Adiantum chilense","Adiantum","Pteridaceae","prune"
"Azara integrifolia","Azara","Salicaceae","prune"
"Blechnum hastatum","Blechnum","Blechnaceae","bind"
"Bomarea salsilla","Bomarea","Alstroemeriaceae","prune"
"Boquila trifoliolata","Boquila","Lardizabalaceae","prune"
"Chiropetalum tricuspidatum","Chiropetalum","Euphorbiaceae","bind"
"Gevuina avellana","Gevuina","Proteaceae","prune"
"Lapageria rosea","Lapageria","Philesiaceae","bind"
"Luzuriaga polyphylla","Luzuriaga","Alstroemeriaceae","prune"
"Nothofagus glauca","Nothofagus","Nothofagaceae","prune"
"Pinus radiata","Pinus","Pinaceae","prune"
"Rhaphithamnus spinosus","Rhaphithamnus","Verbenaceae","prune"
"Carex hamata","Carex","Cyperaceae","bind"
"Lardizabala funaria","Lardizabala","Lardizabalaceae","bind"
"Aira caryophyllea","Aira","Poaceae","prune"
"Centaurium cachanlahuen","Centaurium","Gentianaceae","bind"
"Hypericum perforatum","Hypericum","Hypericaceae","prune"
"Nassella gigantea","Nassella","Poaceae","bind"
"Genista monspessulana","Genista","Fabaceae","prune"
"Lysimachia foemina","Lysimachia","Primulaceae","bind"
"Avena barbata","Avena","Poaceae","prune"
"Berberis darwinii","Berberis","Berberidaceae","prune"
"Briza maxima","Briza","Poaceae","prune"
"Briza minor","Briza","Poaceae","prune"
"Bromus hordeaceus","Bromus","Poaceae","prune"
"Cynosurus echinatus","Cynosurus","Poaceae","prune"
"Euphorbia peplus","Euphorbia","Euphorbiaceae","prune"
"Galium hypocarpium","Galium","Rubiaceae","prune"
"Gamochaeta berteroana","Gamochaeta","Asteraceae","bind"
"Linum usitatissimum","Linum","Linaceae","prune"
"Lythrum hyssopifolia","Lythrum","Lythraceae","prune"
"Hypochaeris radicata","Hypochaeris","Asteraceae","prune"
"Plantago lanceolata","Plantago","Plantaginaceae","prune"
"Rumex acetosella","Rumex","Polygonaceae","bind"
"Sherardia arvensis","Sherardia","Rubiaceae","prune"
"Festuca myuros","Festuca","Poaceae","bind"
"Cirsium vulgare","Cirsium","Asteraceae","prune"
