"source","n","q","reps","alpha_mean","alpha_lo","alpha_hi","beta_mean","beta_lo","beta_hi","gamma_mean","gamma_lo","gamma_hi"
"parcelas_cl",10,0,100,7.714,3.9425,12.31,6.88317455916199,5.08037809647979,8.33333333333333,52.92,24.475,77
"parcelas_cl",10,1,100,3.00081919291708,2.148615411805,3.98595717932562,6.08954277738676,4.43854338950511,8.05263610861543,18.1953932015724,12.0981362074418,25.3570589518405
"parcelas_cl",10,2,100,2.14571218417444,1.54948627159671,2.71895462716189,5.77410161795528,3.65221610113622,8.08482094925423,12.318412298497,7.72113530596712,17.5955396486799
"parcelas_cl",14,0,100,7.38428571428571,3.89107142857143,12.1839285714286,8.7271347260593,6.5978390461997,10.86937438585,63.52,31.475,88
"parcelas_cl",14,1,100,2.85349126639245,2.15741475587203,3.93133838744489,7.36135121690573,5.56189102003959,9.44008680877135,20.8909853440534,13.7524477292943,29.9363688232098
"parcelas_cl",14,2,100,2.05469545578348,1.63008001842043,2.8282428712398,6.85383289487019,4.38949909781249,9.55137387130576,14.0579498282524,8.09503012698743,21.9535640369729
"parcelas_cl",20,0,100,7.9075,5.3975,11.3,10.3734211605791,7.88849557522124,12.3220582369366,80.85,47.425,104.525
"parcelas_cl",20,1,100,2.98383147909479,2.46929384088292,3.76598663996058,8.44281051080889,6.0682355711949,10.9163402058776,25.1124109035319,17.1074247478567,33.5841352019711
"parcelas_cl",20,2,100,2.10491441818857,1.83380738165213,2.54859556787271,7.63514451503769,4.45793411275972,10.786546913047,16.0464671087961,9.07424678603947,22.5986934419827
"parcelas_cl",29,0,100,7.55931034482759,5.33965517241379,10.45,12.5771853589464,10.3724163225386,15.666685710445,93.77,68.425,114
"parcelas_cl",29,1,100,2.90117714103966,2.39627432671977,3.53041617989,9.70108620733786,7.11648130883781,11.8257133165346,28.1064246543329,20.2260102452939,35.921882304535
"parcelas_cl",29,2,100,2.06722152523886,1.75667771950241,2.43000587565387,8.47419068366613,5.32409454712911,11.6756095483981,17.5200077677142,11.2402207849984,24.3841912571639
"parcelas_cl",41,0,100,7.53536585365854,5.29573170731707,9.90182926829268,14.6391843808259,12.0852220708025,17.2124385245902,109.04,89.475,126.525
"parcelas_cl",41,1,100,2.91468491326508,2.4386009469222,3.55018784743759,10.7453600943285,8.39006791699922,13.0573891670849,31.2328026763042,22.8012007629682,38.65729809868
"parcelas_cl",41,2,100,2.07792840109012,1.79243305841668,2.46125449950713,9.03707117052848,5.68910647549398,12.4319403273043,18.7443430698475,10.69391088838,24.7592368550408
"parcelas_cl",58,0,100,7.7248275862069,5.7051724137931,9.72801724137931,16.2667776962689,13.8279005524862,19.3439426997245,124.49,105.475,140.525
"parcelas_cl",58,1,100,2.8934160399357,2.46406262804894,3.31460528716172,11.4195606024237,9.47661201253612,13.5173592628915,33.0638376232157,25.0170444493063,40.85022408264
"parcelas_cl",58,2,100,2.04753218074655,1.80339695025369,2.31095974826017,9.26398784941155,6.63661835589675,12.1602182193632,19.0150707777867,12.5220945911908,25.8065479131224
"parcelas_cl",83,0,100,7.55650602409639,6.33313253012048,9.26777108433735,18.6018811537543,15.9596272496708,21.6594832707942,139.64,123,155.525
"parcelas_cl",83,1,100,2.90486344659269,2.5998893113487,3.18814016565292,12.4486941348165,10.6852965492426,14.844262258592,36.1461076381851,29.9173536807019,42.5251700671001
"parcelas_cl",83,2,100,2.07311379725516,1.89170900869227,2.2505028194225,9.89664211275408,7.94123930912785,12.7648681611817,20.5302061771837,15.6761242471269,26.3437516710815
"parcelas_cl",117,0,100,7.65179487179487,6.42735042735043,9.08141025641025,20.6650125778379,17.7396851503759,23.3236246374892,157.3,142.475,172
"parcelas_cl",117,1,100,2.91313012432416,2.662844930031,3.1461466985175,12.9777853747059,11.168461709746,14.74473859469,37.7823914454473,32.5948479009185,42.576991350667
"parcelas_cl",117,2,100,2.06604107684523,1.93794287710455,2.19891687849038,10.0159341489524,7.7123157061558,12.2347416552004,20.687937287632,15.9611088740249,25.1887986463551
"parcelas_cl",167,0,100,7.64952095808383,6.86751497005988,8.55838323353293,22.6471591781345,20.4117751389644,24.5230117706205,172.84,161.475,185.05
"parcelas_cl",167,1,100,2.90865509295264,2.75118953091019,3.10110673751973,13.4367188725668,11.9215713251162,14.8300347521409,39.0575995021894,35.2477716487398,43.0270828025298
"parcelas_cl",167,2,100,2.06443110977645,1.96776098031525,2.17984081191782,10.2258953103654,8.27651258985825,12.4374061949168,21.1017598732507,17.1425350183253,25.2064011717303
"parcelas_cl",237,0,100,7.5646835443038,6.89852320675105,8.51434599156118,24.970432652957,22.9238040318504,26.9189154052428,188.54,179.475,199.525
"parcelas_cl",237,1,100,2.8835668760531,2.72378870704381,3.05239341313691,13.8408546337048,12.9479992016944,14.7245938464491,39.9078035531217,36.7610419032026,44.2445258104963
"parcelas_cl",237,2,100,2.05061098703615,1.95988171030336,2.14281864842698,10.3064410430349,9.08667894890343,11.753279339216,21.1360837418201,18.5156260625645,24.222467714871
"parcelas_cl",337,0,100,7.61094955489614,7.04451038575668,8.08820474777448,27.0816162463925,25.42857918514,28.6522794465204,205.93,198,213.05
"parcelas_cl",337,1,100,2.89236262844377,2.80237611284877,2.99853736589666,14.223630198863,13.5570814331241,14.9788618739572,41.1355364509928,38.4833921490673,43.3974123502314
"parcelas_cl",337,2,100,2.05481885183506,2.00134523116388,2.11491324542559,10.4762954025667,9.61444667701524,11.4055377946861,21.5256238827584,19.4519945745665,23.2681395064617
"parcelas_cl",479,0,1,7.62839248434238,7.62839248434238,7.62839248434238,28.9707170224412,28.9707170224412,28.9707170224412,221,221,221
"parcelas_cl",479,1,1,2.89756176117975,2.89756176117975,2.89756176117975,14.4129853355142,14.4129853355142,14.4129853355142,41.7625151726303,41.7625151726303,41.7625151726303
"parcelas_cl",479,2,1,2.05764445381186,2.05764445381186,2.05764445381186,10.5288257211288,10.5288257211288,10.5288257211288,21.6645798502322,21.6645798502322,21.6645798502322
"living_trees",10,0,100,3.575,2.3475,5.0575,6.47761207612199,4.81896551724138,7.83080808080808,22.86,16,31
"living_trees",10,1,100,2.27908471986782,1.65256913302103,3.31973468471073,6.02473954243849,4.24283916421029,7.80242958960743,13.7005263293586,8.31303795129798,20.0369201337956
"living_trees",10,2,100,1.7857722266524,1.36072353777379,2.54267406295653,5.79909099736944,3.70923802019819,8.12759934387405,10.3861836200123,5.77881039378248,16.6259100928203
"living_trees",16,0,100,3.68125,2.625,4.75625,8.20339627621483,6.35098039215686,10.1949843260188,29.83,23,36.525
"living_trees",16,1,100,2.30507615012949,1.72260225675068,2.88745302740008,7.40246398669233,5.68334979727207,9.70189628933079,16.9989728725078,12.0086313345433,23.3250022333799
"living_trees",16,2,100,1.77959598237824,1.45675259932212,2.238531019931,6.96341966910048,4.81363115400189,10.3338708110007,12.4313846062107,7.74369138860168,19.0868306510818
"living_trees",26,0,100,3.61692307692308,2.84615384615385,4.32788461538462,10.1698531275791,7.64404498702297,12.49375,36.46,30,44
"living_trees",26,1,100,2.24195223058811,1.8119281759603,2.75149430081249,8.78328287040643,6.67057319327999,10.9176189950769,19.6541963360414,13.942498114076,26.2086849079166
"living_trees",26,2,100,1.73554148732275,1.4679887004418,2.09925413465209,7.98970347627484,5.40936777434312,10.7068638569382,13.9067732097477,8.61164987808679,20.3966473149404
"living_trees",43,0,100,3.64162790697674,3.01104651162791,4.24476744186046,12.0266083363626,9.74990010474454,14.8926238738739,43.46,36,49.525
"living_trees",43,1,100,2.27498220013408,1.95369684781088,2.69412141454693,10.2806928836109,8.23033446611806,12.3461520287567,23.3423639706667,17.2077911358345,28.0062837075505
"living_trees",43,2,100,1.76022522123419,1.53406763426364,2.09114041689259,9.27767641209701,6.66384140999845,11.7235596750959,16.3666784841719,10.8032226691355,21.7097762303718
"living_trees",69,0,100,3.63217391304348,3.0268115942029,4.25471014492754,13.499563793126,11.8431944735189,16.0551706384231,48.79,44,55
"living_trees",69,1,100,2.2595892351677,1.94178472715261,2.57278709631777,11.3103236994737,9.93486412554785,13.4306423670305,25.5205192968983,21.3027851252034,30.2333485080823
"living_trees",69,2,100,1.74626003260589,1.53944684154778,1.95172792898823,10.003119297412,8.15597894924371,12.4476009150264,17.4792974562189,13.2271651960035,22.2513201026926
"living_trees",112,0,100,3.59607142857143,3.20535714285714,4.02857142857143,14.7831866400303,13.0632042361924,17.0606067906346,52.99,48,58.525
"living_trees",112,1,100,2.24004440700474,2.01091977640775,2.48453899599149,11.6957997111326,10.5058013303843,13.1909927397197,26.2002052037042,21.7451626810839,30.8648665729841
"living_trees",112,2,100,1.73482166659507,1.58786675248709,1.88444840584472,9.99020847511572,8.11276015827678,12.2054344452562,17.3639639683432,13.175332768376,21.8000730144523
"living_trees",181,0,100,3.6060773480663,3.29488950276243,3.95317679558011,16.0726600099417,14.3303584213208,17.7975233520255,57.82,54,61.525
"living_trees",181,1,100,2.24591172851544,2.08351880769414,2.47030484445105,12.4067197992491,11.3749489584482,13.7408153504654,27.851430002506,25.1321222353035,31.3098906084697
"living_trees",181,2,100,1.73578518400778,1.63608655897668,1.87524064168597,10.6362457249158,9.03215117962018,12.4531359450661,18.4773824275005,15.433754607855,22.8982912943483
"living_trees",293,0,100,3.61081911262799,3.35819112627986,3.87116040955631,17.1967502913429,15.7420482045801,19.1481559046641,62.03,57,67
"living_trees",293,1,100,2.24291047485563,2.11352668953162,2.37299778882672,12.6076219726354,11.8629166082225,13.3851016363979,28.2685603368162,26.3758233133629,30.3160945911148
"living_trees",293,2,100,1.73264701327398,1.65309872454987,1.8141010313856,10.6015954263304,9.58835012469788,11.7757259428315,18.3731920380914,16.210881491982,20.7940567120112
"living_trees",475,0,100,3.62054736842105,3.43121052631579,3.78536842105263,18.0728733904646,16.6372882631466,19.376124775045,65.39,61.475,69
"living_trees",475,1,100,2.2476783010474,2.13440106535709,2.35549188799723,12.7651192837907,12.1138269659092,13.364407557564,28.6856918968705,27.025273278771,30.4986879849178
"living_trees",475,2,100,1.73579431064041,1.65923593454796,1.81524018845021,10.6928450264764,9.76598570922,11.4619400677416,18.5637065690277,16.4858517512484,20.1210427185009
"living_trees",769,0,100,3.60551365409623,3.5064044213264,3.72230169050715,19.2242038493324,18.2365006316973,20.4226741851664,69.3,65.475,72
"living_trees",769,1,100,2.23564429192413,2.17118681181391,2.29148046959553,12.9837222919385,12.4521136068506,13.4345057313444,29.0249878537566,27.8541585009255,30.2812225721597
"living_trees",769,2,100,1.7275146942402,1.68581223332787,1.76809344223038,10.7837148316051,10.2344046949456,11.4157254519039,18.6306521164721,17.5073435288115,19.8707810907066
"living_trees",1247,0,100,3.61775461106656,3.54117882919006,3.70252606255012,20.0871682936335,19.0758405507248,20.8770447122822,72.66,69,75
"living_trees",1247,1,100,2.24143523762914,2.19085883206781,2.28870466164933,13.1057714579491,12.7364853238327,13.4532856356019,29.3743002125361,28.3991541549894,30.1508123152224
"living_trees",1247,2,100,1.73066814550529,1.6976596575626,1.76196479905166,10.8557337290771,10.4008515544912,11.3281221604962,18.7885296569781,17.7760734280586,19.7717535798629
"living_trees",2020,0,1,3.61089108910891,3.61089108910891,3.61089108910891,21.0474362489718,21.0474362489718,21.0474362489718,76,76,76
"living_trees",2020,1,1,2.23873266991536,2.23873266991536,2.23873266991536,13.154552935312,13.154552935312,13.154552935312,29.449527414414,29.449527414414,29.449527414414
"living_trees",2020,2,1,1.72926278983797,1.72926278983797,1.72926278983797,10.8601687864015,10.8601687864015,10.8601687864015,18.7800857736838,18.7800857736838,18.7800857736838
"pooled",10,0,100,4.426,2.5425,8.61,7.25655638612597,5.54841897233202,8.80422569614069,32.49,19,67.7749999999999
"pooled",10,1,100,2.46395435710573,1.74294407864603,3.53678028781983,6.6853047637223,4.80979146916051,8.34502044351392,16.4504197808883,10.3541980392311,24.7128959704786
"pooled",10,2,100,1.8793737201364,1.42782988400176,2.45084548248254,6.52199961902454,4.21359917607157,8.79013167328199,12.3169110081416,6.84173548539221,19.5910529342293
"pooled",17,0,100,4.58588235294118,3.08676470588235,7.71470588235294,10.1986593977799,7.88365800865801,12.8767735042735,47.26,29.475,80.1
"pooled",17,1,100,2.39865086440888,1.89510663253924,3.05316331747743,8.89189006362336,6.32091898645344,11.3784026303278,21.2609471704295,14.6100320585777,29.4042255300621
"pooled",17,2,100,1.82302835398024,1.50542778340295,2.21889549867869,8.46560050993445,5.57766618509552,11.5165886405352,15.4344411390203,9.89780887498856,22.9344448541212
"pooled",27,0,100,4.2637037037037,3.2962962962963,5.61388888888889,13.3061420586838,9.58724150943396,17.5496625,57.38,37.475,88
"pooled",27,1,100,2.37240409112183,1.97476014694698,2.77388241837504,10.9701308947503,8.71691033378836,13.6777794686735,26.0124961192631,19.1646513374298,34.3595980184158
"pooled",27,2,100,1.80830937940285,1.54309076835503,2.08761332034483,10.0576423684779,6.92882197705442,13.9331879386002,18.2554851471649,12.2115300724694,26.209820681122
"pooled",45,0,100,4.42333333333333,3.455,5.71222222222222,17.5891676318719,12.3522203287891,22.0190161401099,78.46,48.475,113.525
"pooled",45,1,100,2.38960188757211,2.07424502204942,2.74305145421945,13.0533981200138,10.6360275029604,15.5882731706449,31.1868881829125,24.1333234940409,39.8519405306499
"pooled",45,2,100,1.81342728455243,1.60042842414133,2.04156250090091,11.6708044354199,8.22676617775606,14.9332128511341,21.1921080386808,14.349390492371,28.9907408087834
"pooled",74,0,100,4.43621621621622,3.53277027027027,5.7179054054054,22.2240318491505,15.6110146057856,26.5471560647171,98.97,62,130.05
"pooled",74,1,100,2.37115265474657,2.05058822787894,2.63075938659787,14.441273057195,12.3113451379097,17.4373822991172,34.2333251900083,27.4583598167448,41.7238126743527
"pooled",74,2,100,1.80151284292169,1.58878946415671,1.97764600869989,12.2765054383645,9.84465384843868,14.8838655459384,22.1542499820679,16.7036921209578,27.4165055190045
"pooled",123,0,100,4.38617886178862,3.68678861788618,5.21117886178862,27.6453018038456,21.7226118106817,32.3145,121.22,80.475,147.525
"pooled",123,1,100,2.36798482156038,2.10758639934431,2.63862203842125,15.7040943735742,13.7105111352099,17.9823581908385,37.1706069619756,31.0818459011526,42.5196360512256
"pooled",123,2,100,1.79738269707944,1.64228274010887,1.95682967839755,12.9901670103681,10.3171314122098,15.4410343443611,23.3753962579245,18.192543067344,28.5746759712746
"pooled",203,0,100,4.41315270935961,3.97980295566502,5.01958128078818,32.4170450387614,28.507717133105,35.2805544588659,143.03,117.475,160.05
"pooled",203,1,100,2.36299549657341,2.21188635094617,2.54609683595,16.7832818566732,15.1495974718437,19.1218330503466,39.6433570228681,34.6470344029394,44.2273333722397
"pooled",203,2,100,1.79180199081451,1.70033655971561,1.88555196202008,13.5906096998976,11.8242369141817,16.0308654540824,24.3546106728267,20.468496728891,28.3689438387828
"pooled",336,0,100,4.36663690476191,3.98139880952381,4.78883928571429,38.0431778673928,34.8416639217667,41.1927101025885,166.03,149,183.05
"pooled",336,1,100,2.3500821051722,2.22470420410931,2.47381615643209,17.3199078392014,15.8415512995084,18.8259803047392,40.6920610386112,37.1245361692052,44.4267554836769
"pooled",336,2,100,1.7834524001473,1.70163025436812,1.8607504239054,13.6572929117448,12.2604539349187,15.2151153771427,24.3653431534487,21.404922716551,27.8281093134764
"pooled",554,0,100,4.40404332129964,4.07468411552347,4.75478339350181,43.4189126798912,40.2644564322548,46.4221326671694,191.15,175.475,206
"pooled",554,1,100,2.35502423900249,2.24006539749471,2.46819397940813,17.9941669854684,16.694466940751,19.0992757719986,42.3745568727119,39.0593652039578,45.5457211769577
"pooled",554,2,100,1.78497480295088,1.71961852201238,1.85581175273433,14.0768271752401,12.7994858962128,15.1628591218312,25.1349243671166,22.7669184403361,27.7206753611169
"pooled",916,0,100,4.39292576419214,4.17445414847162,4.67153384279476,48.9599817826605,46.7570965647208,50.9710358761579,215.02,202.475,225.525
"pooled",916,1,100,2.3554946343575,2.28177433578851,2.42611394765734,18.237260341194,17.3734030958298,18.9906090578226,42.9561872047762,40.9995752945406,45.070581525411
"pooled",916,2,100,1.78580791476102,1.7409004621455,1.82815621330179,14.1215831334664,13.1553138297567,14.9620462958461,25.2219773008564,23.3879357729473,27.1491379474835
"pooled",1513,0,100,4.38711830799736,4.25492399206874,4.53177461996034,54.5125614447681,52.5169717292093,56.7325375212315,239.13,228.95,248
"pooled",1513,1,100,2.35373393685918,2.32060674613104,2.40647937007853,18.5391781481223,18.0603107962145,19.1546943429304,43.6355304012733,42.2159644125954,44.933017407806
"pooled",1513,2,100,1.7845755726666,1.76366345315071,1.81708273284279,14.240714121797,13.6030937717629,14.8041252531828,25.4142856931842,24.1543473915659,26.5921586110949
"pooled",2499,0,1,4.38095238095238,4.38095238095238,4.38095238095238,59.5760869565217,59.5760869565217,59.5760869565217,261,261,261
"pooled",2499,1,1,2.35220876242614,2.35220876242614,2.35220876242614,18.6259049162246,18.6259049162246,18.6259049162246,43.8120167520596,43.8120167520596,43.8120167520596
"pooled",2499,2,1,1.78382993982243,1.78382993982243,1.78382993982243,14.2311185445977,14.2311185445977,14.2311185445977,25.3858953370155,25.3858953370155,25.3858953370155
