"dataset","metric","n","method","value","lo","hi"
"Parcelas-CL completo","filogenetica_meanPD",2032,"Extrapolation",54.9985176188872,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",2110,"Extrapolation",55.2527760531515,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",2188,"Extrapolation",55.4938276370023,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",2267,"Extrapolation",55.7252098293273,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",2345,"Extrapolation",55.9417219628731,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",2423,"Extrapolation",56.1469878879353,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",2501,"Extrapolation",56.3415917620997,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",2579,"Extrapolation",56.5260874002742,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",2657,"Extrapolation",56.7009998507666,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",2735,"Extrapolation",56.8668268894975,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",2813,"Extrapolation",57.0240404365998,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",2891,"Extrapolation",57.173087899436,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",2970,"Extrapolation",57.3161565661528,NA,NA
"Parcelas-CL completo","filogenetica_PD",1,"Rarefaction",1032.92819361592,390.702539,2644.23595225
"Parcelas-CL completo","filogenetica_PD",79,"Rarefaction",11113.7913738057,9317.32666600387,12741.3117855685
"Parcelas-CL completo","filogenetica_PD",157,"Rarefaction",13498.2081038498,12070.8714393262,14918.3896797492
"Parcelas-CL completo","filogenetica_PD",235,"Rarefaction",14865.97543038,13612.6902078636,15935.8711438798
"Parcelas-CL completo","filogenetica_PD",313,"Rarefaction",15815.8348210837,14524.9707336299,16912.6067932209
"Parcelas-CL completo","filogenetica_PD",391,"Rarefaction",16541.6012900301,15492.8202838481,17476.7871586695
"Parcelas-CL completo","filogenetica_PD",469,"Rarefaction",17128.257475997,16061.545036591,18026.561543501
"Parcelas-CL completo","filogenetica_PD",547,"Rarefaction",17619.6209393142,16811.6069314391,18358.8179207575
"Parcelas-CL completo","filogenetica_PD",625,"Rarefaction",18041.1444210699,17195.8998684232,18846.6309812112
"Parcelas-CL completo","filogenetica_PD",703,"Rarefaction",18409.0384816152,17519.5208604553,19100.2335530435
"Parcelas-CL completo","filogenetica_PD",782,"Rarefaction",18738.3022534016,18033.8129519209,19458.0305231777
"Parcelas-CL completo","filogenetica_PD",860,"Rarefaction",19028.6330596493,18266.3824230823,19671.2304460673
"Parcelas-CL completo","filogenetica_PD",938,"Rarefaction",19290.3977062748,18528.5135387477,19927.6298205623
"Parcelas-CL completo","filogenetica_PD",1016,"Rarefaction",19528.2046630268,18842.4630941011,19982.0120259489
"Parcelas-CL completo","filogenetica_PD",1094,"Rarefaction",19745.7264451672,19109.3802747699,20245.3948580548
"Parcelas-CL completo","filogenetica_PD",1172,"Rarefaction",19945.9594306405,19386.4124613903,20342.9785843725
"Parcelas-CL completo","filogenetica_PD",1250,"Rarefaction",20131.3971283329,19687.9022812997,20455.798031777
"Parcelas-CL completo","filogenetica_PD",1328,"Rarefaction",20304.1490059072,19937.4962625256,20554.5822108267
"Parcelas-CL completo","filogenetica_PD",1406,"Rarefaction",20466.0244319895,20147.0092533768,20616.3905738548
"Parcelas-CL completo","filogenetica_PD",1485,"Observed",20620.4957028298,20620.4957028298,20620.4957028298
"Parcelas-CL completo","filogenetica_PD",1486,"Extrapolation",20622.3961874616,NA,NA
"Parcelas-CL completo","filogenetica_PD",1564,"Extrapolation",20766.7004816347,NA,NA
"Parcelas-CL completo","filogenetica_PD",1642,"Extrapolation",20903.509232021,NA,NA
"Parcelas-CL completo","filogenetica_PD",1720,"Extrapolation",21033.211776838,NA,NA
"Parcelas-CL completo","filogenetica_PD",1798,"Extrapolation",21156.1772310542,NA,NA
"Parcelas-CL completo","filogenetica_PD",1876,"Extrapolation",21272.7555368379,NA,NA
"Parcelas-CL completo","filogenetica_PD",1954,"Extrapolation",21383.2784594426,NA,NA
"Parcelas-CL completo","filogenetica_PD",2032,"Extrapolation",21488.0605313639,NA,NA
"Parcelas-CL completo","filogenetica_PD",2110,"Extrapolation",21587.399947454,NA,NA
"Parcelas-CL completo","filogenetica_PD",2188,"Extrapolation",21681.5794135418,NA,NA
"Parcelas-CL completo","filogenetica_PD",2267,"Extrapolation",21771.9810238,NA,NA
"Parcelas-CL completo","filogenetica_PD",2345,"Extrapolation",21856.5728643228,NA,NA
"Parcelas-CL completo","filogenetica_PD",2423,"Extrapolation",21936.7707826254,NA,NA
"Parcelas-CL completo","filogenetica_PD",2501,"Extrapolation",22012.8030105603,NA,NA
"Parcelas-CL completo","filogenetica_PD",2579,"Extrapolation",22084.8859250188,NA,NA
"Parcelas-CL completo","filogenetica_PD",2657,"Extrapolation",22153.2246637084,NA,NA
"Parcelas-CL completo","filogenetica_PD",2735,"Extrapolation",22218.0137089455,NA,NA
"Parcelas-CL completo","filogenetica_PD",2813,"Extrapolation",22279.4374411249,NA,NA
"Parcelas-CL completo","filogenetica_PD",2891,"Extrapolation",22337.6706634394,NA,NA
"Parcelas-CL completo","filogenetica_PD",2970,"Extrapolation",22393.5679549238,NA,NA
"subset del proyecto","taxonomica",1,"Rarefaction",6.99353049907579,1,28
"subset del proyecto","taxonomica",57,"Rarefaction",154.547162347758,110.975,203.075
"subset del proyecto","taxonomica",114,"Rarefaction",218.925474947825,170,274.05
"subset del proyecto","taxonomica",171,"Rarefaction",262.794687092415,223.825,306.075
"subset del proyecto","taxonomica",228,"Rarefaction",296.38839221945,254,337.05
"subset del proyecto","taxonomica",285,"Rarefaction",323.666640226231,279.875,361.075
"subset del proyecto","taxonomica",342,"Rarefaction",346.662947420965,303.975,389
"subset del proyecto","taxonomica",399,"Rarefaction",366.568332070885,315.975,407.125
"subset del proyecto","taxonomica",456,"Rarefaction",384.139415076092,343,424.025
"subset del proyecto","taxonomica",513,"Rarefaction",399.885673286467,359,432
"subset del proyecto","taxonomica",569,"Rarefaction",413.926426241416,376,448.05
"subset del proyecto","taxonomica",626,"Rarefaction",427.021912182534,389.975,460.025
"subset del proyecto","taxonomica",683,"Rarefaction",439.107316372381,405,465.075
"subset del proyecto","taxonomica",740,"Rarefaction",450.33502762015,421.975,475.025
"subset del proyecto","taxonomica",797,"Rarefaction",460.824768046909,431.95,483
"subset del proyecto","taxonomica",854,"Rarefaction",470.672210139903,443.975,492
"subset del proyecto","taxonomica",911,"Rarefaction",479.954934448859,454.95,495
"subset del proyecto","taxonomica",968,"Rarefaction",488.736651753835,467.975,501
"subset del proyecto","taxonomica",1025,"Rarefaction",497.070247438503,481,504
"subset del proyecto","taxonomica",1082,"Observed",505,505,505
"subset del proyecto","taxonomica",1083,"Extrapolation",505.135746758032,NA,NA
"subset del proyecto","taxonomica",1139,"Extrapolation",512.56045320861,NA,NA
"subset del proyecto","taxonomica",1196,"Extrapolation",519.771415021332,NA,NA
"subset del proyecto","taxonomica",1253,"Extrapolation",526.649041114609,NA,NA
"subset del proyecto","taxonomica",1310,"Extrapolation",533.208740348554,NA,NA
"subset del proyecto","taxonomica",1367,"Extrapolation",539.465209289471,NA,NA
"subset del proyecto","taxonomica",1424,"Extrapolation",545.432465136521,NA,NA
