target,lectura,n,R2,R2_sd,rho,var_owner
lcbd_count_sorensen,todas,2499,0.10635895732443461,0.19068135571262246,0.3900086258827379,
lcbd_count_sorensen,parcelas_cl,479,0.21665653396837073,0.2630155042799104,0.6877760651575702,
lcbd_count_sorensen,living_trees,2020,-0.28472155753409123,0.2809700740313276,0.16321199191856156,
lcbd_count_sorensen,parcelas_cl dentro de Owner,479,-0.9828283000131812,1.0425472097964399,0.13482506909024689,0.7431492578096515
lcbd_count_sorensen,living_trees dentro de bandas de 2 grados,2020,-0.25918517864040175,0.21395674476236007,0.11200495283604295,
td_inext_q0,todas,881,-0.19111228106204226,0.2551558555561299,0.00969708916541168,
td_inext_q0,parcelas_cl,230,-0.29340585294851085,0.10239532013845304,0.06625467610688367,
td_inext_q0,living_trees,651,-0.2181967409267352,0.38207316168544814,0.023841316562857772,
td_inext_q0,parcelas_cl dentro de Owner,230,-0.046846353421386856,0.059246807466912674,0.13802604792196008,0.06281921681591673
td_inext_q0,living_trees dentro de bandas de 2 grados,651,-0.06578060392900861,0.05323287314338613,0.019063974442981198,
