block,spec,n_features,scheme,target,R2_total,R2_within_owner,R2_between_owner,var_within_frac
predictores,curve+clim+topo+area,87,kfold5_window,hill_q0,0.7172144772781914,0.20379150501298984,0.791302362155867,0.2789184488461207
predictores,curve+clim+topo+area,87,kfold5_window,hill_q1,0.5188071133678118,0.08094288244115293,0.7677529209675121,0.3906053999956984
predictores,curve+clim+topo+area,87,kfold5_window,hill_q2,0.4696524826049884,-0.09500401206302733,0.6941216488018479,0.3118039759545804
predictores,curve+clim+topo+area,87,kfold5_window,lcbd_pa,0.5444936925691853,0.3643932278900957,0.6698092373874611,0.6587448678067145
predictores,curve+clim+topo+area,87,kfold5_window,pcoa1_pa,0.5801346245952699,0.4381367957531184,0.6853485837002503,0.7081727028478042
predictores,curve+clim+topo+area,87,kfold5_window,pcoa2_pa,0.5606658607742923,0.3369465683550244,0.9402323429586406,0.6350716894394685
solo coordenadas,coords,3,kfold5_window,hill_q0,0.6635938399900255,0.09223795326843946,0.7160227363931876,0.2789184488461207
solo coordenadas,coords,3,kfold5_window,hill_q1,0.4326379832879788,-0.09706020127406785,0.7172476416516084,0.3906053999956984
solo coordenadas,coords,3,kfold5_window,hill_q2,0.3724130048086571,-0.37390579697977433,0.6788545583750499,0.3118039759545804
solo coordenadas,coords,3,kfold5_window,lcbd_pa,0.5070157868517259,0.3188816485600144,0.6041836249165389,0.6587448678067145
solo coordenadas,coords,3,kfold5_window,pcoa1_pa,0.5127055533605954,0.34760824784259486,0.6635659782191078,0.7081727028478042
solo coordenadas,coords,3,kfold5_window,pcoa2_pa,0.5036645069911497,0.24800204667506287,0.9358881677140573,0.6350716894394685
