run_id,family,substrate,alpha,beta_pa,beta_cover,phylo,dark,mean
C2D02_serpentine_kndvi_raw24_ctxclim-topo-area_s10,C2D,serpentine,0.5021672617605698,0.5048845656846879,0.3275909562231692,0.17006095032097124,0.4127631556594576,0.3834933779297712
C2D02_serpentine_kndvi_raw36_ctxclim-topo-area,C2D,serpentine,0.5081085463935839,0.5092769283989708,0.3275684169829767,0.17533284288737833,0.3943364597384298,0.3829246388802679
C2D02_serpentine_kndvi_raw36_ctxclim-topo-area_s10,C2D,serpentine,0.5146629525770098,0.5137119760151306,0.32767827738158395,0.16391743576435203,0.39427706033849647,0.3828495404153146
C2D02_serpentine_kndvi_raw100_ctxclim-topo-area,C2D,serpentine,0.5167466694992697,0.49430730790865307,0.32197794051751416,0.16924062886883337,0.40498545496035937,0.38145160035092596
C2D01_reshape_kndvi_raw100_ctxclim-topo-area_s10,C2D,reshape,0.5039223550353124,0.5001002487526043,0.3290964439012653,0.16176238202111504,0.4054598193812934,0.3800682498183181
C2D07_hilbert_kndvi_raw36_ctxclim-topo-area_s10,C2D,hilbert,0.5025744246241592,0.5025989875992392,0.3238739688482692,0.16820857300433864,0.39702283583527476,0.3788557579822562
C2D02_serpentine_kndvi_raw24_ctxclim-topo-area,C2D,serpentine,0.5073407975725696,0.49777314581553117,0.3148335656093982,0.16552906398087155,0.40738467261717615,0.3785722491191093
C2D02_serpentine_kndvi_raw100_ctxclim-topo-area_s10,C2D,serpentine,0.498186433414135,0.4980733940270031,0.3297293588996964,0.16804390392307034,0.39849572404969613,0.3785057628627202
C2D02_serpentine_kndvi_raw156_ctxclim-topo-area,C2D,serpentine,0.5088801924587099,0.4919557288754125,0.3151864888521367,0.17251100632540256,0.402999890839799,0.37830666147029207
C2D01_reshape_kndvi_raw100_ctxclim-topo-area,C2D,reshape,0.5022138633929677,0.5015656232570932,0.32122093530316465,0.16887319203609316,0.39632674333484924,0.37804007146483354
C2D07_hilbert_kndvi_raw36_ctxclim-topo-area,C2D,hilbert,0.49400993306241037,0.5055195528800556,0.31742597308180875,0.16996879185014305,0.40071715520046497,0.37752828121497656
C2D09_spectrogram_kndvi_raw36_ctxclim-topo-area,C2D,spectrogram,0.4988079199628703,0.5012771494153458,0.3241272735910112,0.16260353122418236,0.40005692154018874,0.3773745591467197
C2D02_serpentine_kndvi_raw68_ctxclim-topo-area,C2D,serpentine,0.4949864424475198,0.5069808547003558,0.3215216642655897,0.17257505972175627,0.38991293745325484,0.37719539171769534
C2D02_serpentine_kndvi_raw48_ctxclim-topo-area,C2D,serpentine,0.49597626474368794,0.5039371103997128,0.3144418214016127,0.16168119652992613,0.40970453359618636,0.3771481853342252
C2D01_reshape_kndvi_raw36_ctxclim-topo-area,C2D,reshape,0.5043562014808824,0.5089694589149841,0.32485881592646937,0.1602183279350544,0.385180261536576,0.37671661315879323
C2D01_reshape_kndvi_raw48_ctxclim-topo-area,C2D,reshape,0.4992291380837718,0.5056267361283703,0.32229966830673373,0.16390604776755507,0.3890106832902504,0.3760144547153363
C2D01_reshape_kndvi_raw24_ctxclim-topo-area,C2D,reshape,0.48690822891048147,0.5030837444567253,0.31137927962520023,0.16190352386125811,0.4142207047229065,0.3754990963153143
C2D02_serpentine_kndvi_raw60_ctxclim-topo-area,C2D,serpentine,0.4951337915111662,0.5028239768679043,0.31992786931187284,0.16252069474289288,0.39589230137718606,0.3752597267622045
C2D01_reshape_kndvi_raw60_ctxclim-topo-area,C2D,reshape,0.49139153494212123,0.5024249303590363,0.3236199744032471,0.15738243560957235,0.39929757352698036,0.37482328976819146
C2D07_hilbert_kndvi_raw68_ctxclim-topo-area,C2D,hilbert,0.4710356864559437,0.49846165704912937,0.32917641713478596,0.16637172099715722,0.4081239714240974,0.37463389061222274
C2D01_reshape_kndvi_raw156_ctxclim-topo-area,C2D,reshape,0.47802209484742136,0.4931194423060987,0.31769584934665746,0.16217068183402764,0.4177792671319908,0.3737574670932392
C2D09_spectrogram_kndvi_raw36_ctxclim-topo-area_s10,C2D,spectrogram,0.49312268179626206,0.5002259319176326,0.3186882897101741,0.16287307826137062,0.39147056644362827,0.37327610962581353
C2D02_serpentine_kndvi_raw196_ctxclim-topo-area,C2D,serpentine,0.49795239255339674,0.49263009356921994,0.31454463405058425,0.15875784252659988,0.3958021544307213,0.3719374234261044
C2D01_reshape_kndvi_raw68_ctxclim-topo-area,C2D,reshape,0.49124445766751734,0.49421619084009627,0.3157002964447068,0.16522715277535463,0.39129034796971585,0.3715356891394782
C2D01_reshape_kndvi_raw196_ctxclim-topo-area,C2D,reshape,0.4839933484801207,0.49911284521063126,0.3182685220591774,0.16351972556234295,0.38993563244399554,0.37096601475125357
C2D02_serpentine_kndvi_linear_shrink_wC_ctxclim-topo-area,C2D,serpentine,0.45494554222247136,0.4958521258833292,0.3129269042113034,0.15648538978507442,0.3967053764576056,0.36338306771195683
C2D02_serpentine_kndvi_RBF_reflect_ctxclim-topo-area,C2D,serpentine,0.4581409400297685,0.4911373797902102,0.3125751487338898,0.16422017702197675,0.3874218221550006,0.36269909354616914
C2D02_serpentine_kndvi_RBF_shrink_ctxclim-topo-area,C2D,serpentine,0.45944814789809957,0.49634700049050573,0.3089760655800225,0.1660865669400436,0.3822958545601436,0.362630727093763
C2D06_cwt_kndvi_raw36_ctxclim-topo-area,C2D,cwt,0.49553227241036946,0.48405787878210355,0.2913873636474734,0.16885066033344404,0.37152403708581355,0.3622704424518408
C2D02_serpentine_kndvi_linear_shrink_ctxclim-topo-area_slope005_ap015,C2D,serpentine,0.4603304527191832,0.48966614871055963,0.31222591462500954,0.16140270017707922,0.3875674566146816,0.36223853456930266
