sample_id,X,Y,lon,lat,year,win_start,win_end,cell,mb_code,mb_class,mb_year_used,mb_delta,n_obs,DI,inside
U000013,127725.27327379998,5840020.000742288,-73.21139542332534,-37.51170925654593,2014,2012,2014,13_584,59,Primary Forest,2014,0,64,0.3041865298339355,True
U000012,132069.76839353715,5841231.96182845,-73.16176134090527,-37.50255493294171,2022,2020,2022,13_584,59,Primary Forest,2022,0,82,0.33050088249326565,True
U000014,128916.25601518026,5847437.360703526,-73.19422040867897,-37.44551038422515,2010,2008,2010,13_585,11,Wetland,2010,0,41,0.25986958041599917,True
U000015,131492.9420359906,5848600.272411689,-73.16458728410389,-37.43608518516872,2022,2020,2022,13_585,59,Primary Forest,2022,0,83,0.2564119632377869,True
U000016,131115.73660516646,5862058.476562402,-73.16213728169411,-37.31494599570066,2014,2012,2014,13_586,59,Primary Forest,2014,0,63,0.21966761390728703,True
U000017,134569.1044506812,5863618.121218275,-73.12249839641247,-37.30228711521248,2019,2017,2019,13_586,11,Wetland,2019,0,60,0.33355204081632367,True
U000019,127367.91958903096,5867997.450805201,-73.20134589584161,-37.26006263031339,2012,2010,2012,13_587,11,Wetland,2012,0,30,0.49710073184653725,False
U000018,125380.33630779432,5868538.114127223,-73.22342818722927,-37.25440556094173,2020,2018,2020,13_587,11,Wetland,2020,0,80,0.4452939227546239,False
U000021,128468.7575398386,5878196.118149084,-73.18388937907966,-37.16881624613068,2019,2017,2019,13_588,11,Wetland,2019,0,56,0.2682378939267071,True
U000020,128130.7016841576,5877701.65182431,-73.1879327795168,-37.17312713447253,2021,2019,2021,13_588,11,Wetland,2021,0,77,0.29007884490298036,True
U000023,133668.74953918776,5894417.902577757,-73.11755665361558,-37.025019510692914,2019,2017,2019,13_589,11,Wetland,2019,0,67,0.24950587533975063,True
U000022,133760.70881246525,5894511.803231107,-73.1164798283116,-37.024211080652925,2022,2020,2022,13_589,11,Wetland,2022,0,78,0.2862608881098543,True
U000025,127692.39176011644,5896902.778636527,-73.1833422940864,-37.00033146982735,2020,2018,2020,13_590,11,Wetland,2020,0,79,0.22260764863860166,True
U000024,133697.38401004003,5897015.094974553,-73.11597387640619,-37.00167908348851,2023,2021,2023,13_590,11,Wetland,2023,0,70,0.25619129228058696,True
U000026,132199.99731936032,5907548.955961008,-73.12763657748297,-36.90638460994573,2006,2004,2006,13_591,11,Wetland,2006,0,60,0.3605639092602232,False
U000027,133125.94287038478,5914004.975730582,-73.11414938658518,-36.84869691272184,2017,2015,2017,13_591,11,Wetland,2017,0,71,0.18747246844999418,True
U000028,130046.5249367408,5922192.890513347,-73.1446231324094,-36.773879570602574,2019,2017,2019,13_592,11,Wetland,2019,0,71,0.24019895529087104,True
U000029,128422.87887510528,5922392.18556791,-73.16267247574466,-36.77145303992537,2020,2018,2020,13_592,11,Wetland,2020,0,74,0.1687764170854072,True
U000031,133205.3077754071,5926990.984266467,-73.10701369436379,-36.73196400261629,2010,2008,2010,13_593,11,Wetland,2010,0,50,0.13808410924147932,True
U000030,128586.20183825045,5929400.67366466,-73.15744140276534,-36.70850356034539,2021,2019,2021,13_593,11,Wetland,2021,0,73,0.15536691926995397,True
U000032,132447.99381954718,5936057.762031201,-73.1111237821237,-36.65014630703977,2014,2012,2014,13_594,59,Primary Forest,2014,0,59,0.17523584132668035,True
U000033,130479.45364531374,5936932.939306144,-73.13266926600778,-36.64151571862243,2020,2018,2020,13_594,11,Wetland,2020,0,67,0.2793167821770173,True
U000034,136856.176420903,5799503.514411486,-73.12853135375525,-37.87958918959856,2014,2012,2014,14_580,66,Shrubland,2014,0,94,0.24211277098588255,True
U000035,134744.60453242954,5803665.816605458,-73.15037733975254,-37.841328843563936,2014,2012,2014,14_580,59,Primary Forest,2014,0,91,0.1897499435841089,True
U000036,145067.22618545743,5795487.853789236,-73.0373715603344,-37.91892729185951,2019,2017,2019,14_580,66,Shrubland,2019,0,122,0.2825029710053666,True
U000037,142617.80161041353,5802064.503035334,-73.06191458164002,-37.85884238224176,2019,2017,2019,14_580,59,Primary Forest,2019,0,110,0.31418017379720053,True
U000040,140965.24921090034,5814510.331945203,-73.0744914999384,-37.74630129326333,2020,2018,2020,14_581,66,Shrubland,2020,0,123,0.24289230791897418,True
U000041,143758.02873006352,5806059.172064785,-73.0470186696462,-37.82337397403333,2020,2018,2020,14_581,59,Primary Forest,2020,0,120,0.2569049475747441,True
U000038,142970.46559030982,5811060.615569109,-73.05348286500907,-37.7781005112034,2021,2019,2021,14_581,66,Shrubland,2021,0,112,0.31214800776618473,True
U000039,139261.57814589556,5811588.200376632,-73.09523079339428,-37.77190235855407,2021,2019,2021,14_581,59,Primary Forest,2021,0,108,0.18805284578063156,True
U000043,135853.5048760441,5820749.283058785,-73.12924489977392,-37.68819578537925,2020,2018,2020,14_582,59,Primary Forest,2020,0,69,0.21987429189355126,True
U000042,139273.28361525957,5823747.600497361,-73.08907522384591,-37.66259037541269,2022,2020,2022,14_582,59,Primary Forest,2022,0,123,0.22099015084172702,True
U000045,138055.4679261438,5827818.0980585255,-73.10083183169162,-37.62551633887652,2017,2015,2017,14_583,59,Primary Forest,2017,0,99,0.24836852552605723,True
U000044,139834.21781564725,5829634.852475536,-73.07983146420352,-37.60988091594564,2019,2017,2019,14_583,59,Primary Forest,2019,0,96,0.32135372131000606,True
U000047,143888.55603202112,5844457.69431147,-73.02682325740219,-37.47818293085157,2012,2010,2012,14_584,59,Primary Forest,2012,0,56,0.33329644904645506,True
U000046,136043.42762894137,5842498.4784368295,-73.11629483410248,-37.49274250680727,2017,2015,2017,14_584,59,Primary Forest,2017,0,77,0.13759174843737054,True
U000048,137597.36123879952,5845488.529295649,-73.09729073720248,-37.4664708484177,2020,2018,2020,14_585,59,Primary Forest,2020,0,73,0.18257317360783767,True
U000049,138164.25799313653,5849502.403423607,-73.08892840348969,-37.43060511209956,2021,2019,2021,14_585,59,Primary Forest,2021,0,77,0.19521831483650817,True
U000050,136031.1589645598,5857399.99528986,-73.10909232654609,-37.35876549682476,2013,2011,2013,14_586,59,Primary Forest,2013,0,48,0.24800144050302633,True
U000051,140346.2803100978,5864396.348747104,-73.05709886211781,-37.29754075973597,2014,2012,2014,14_586,59,Primary Forest,2014,0,52,0.22549953103071024,True
U000053,145123.84159461077,5868390.333950343,-73.00142132341314,-37.26346110800195,2013,2011,2013,14_587,59,Primary Forest,2013,0,68,0.40843232116447115,False
U000052,135588.14328786515,5868281.044699501,-73.1087459023967,-37.26076353099216,2019,2017,2019,14_587,59,Primary Forest,2019,0,64,0.12580481410575295,True
U000055,142643.1987657523,5882604.9822146455,-73.0225300876885,-37.134697454575935,2013,2011,2013,14_588,59,Primary Forest,2013,0,44,0.37090437004299615,False
U000054,137831.46491513163,5876848.017452041,-73.07935356533817,-37.18461097244123,2021,2019,2021,14_588,59,Primary Forest,2021,0,75,0.30962184701162865,True
U000056,142791.53470060916,5886699.396545643,-73.01891449313158,-37.09793703312474,2013,2011,2013,14_589,59,Primary Forest,2013,0,40,0.3634981815708256,False
U000057,143072.71698385704,5887431.534761973,-73.01541004809481,-37.09146068607832,2022,2020,2022,14_589,59,Primary Forest,2022,0,75,0.1409103948994045,True
U000058,140495.79899648152,5900983.375414498,-73.03786810106516,-36.96861921971169,2019,2017,2019,14_590,11,Wetland,2019,0,63,0.3606246857381579,False
U000059,140693.47189429327,5898590.595455034,-73.03679121763916,-36.9902106344715,2025,2023,2025,14_590,11,Wetland,2024,-1,77,0.45796948503677143,False
U000060,141164.1202143103,5913148.315982542,-73.02461747227373,-36.85948407345022,2014,2012,2014,14_591,59,Primary Forest,2014,0,53,0.3429309146475278,True
U000061,143766.18426258222,5909098.328101487,-72.99739882818318,-36.89688812803639,2019,2017,2019,14_591,59,Primary Forest,2019,0,67,0.16016043824624165,True
U000062,136356.54783441435,5920221.259820988,-73.07503514509949,-36.79404868300988,2019,2017,2019,14_592,11,Wetland,2019,0,67,0.2083773049505655,True
U000063,136360.51428881392,5919562.941194847,-73.07530491010648,-36.79996972921458,2025,2023,2025,14_592,11,Wetland,2024,-1,59,0.0933497454868992,True
U000065,137993.1693633978,5925771.076310071,-73.05410413194238,-36.74477048212165,2019,2017,2019,14_593,11,Wetland,2019,0,67,0.26584371458643197,True
U000064,140232.66747020924,5925267.056157036,-73.02931783999402,-36.75015414028702,2022,2020,2022,14_593,11,Wetland,2022,0,74,0.20546489207072927,True
