fold,ganador_sin_f,score_ganador_sin_f_en_f,score_ganador_ingenuo_en_f,mismo_ganador,scheme,n_runs,honesta,ingenua,sesgo
0,MLP06_curve_kndvi_raw100,0.3812048715461136,0.3812048715461136,1,kfold5_window,195,0.39258799950596723,0.39258799950596723,0.0
1,MLP06_curve_kndvi_raw100,0.39443424158581125,0.39443424158581125,1,kfold5_window,195,0.39258799950596723,0.39258799950596723,0.0
2,MLP06_curve_kndvi_raw100,0.4094537685303374,0.4094537685303374,1,kfold5_window,195,0.39258799950596723,0.39258799950596723,0.0
3,MLP06_curve_kndvi_raw100,0.3880504964740146,0.3880504964740146,1,kfold5_window,195,0.39258799950596723,0.39258799950596723,0.0
4,MLP06_curve_kndvi_raw100,0.38979661939355914,0.38979661939355914,1,kfold5_window,195,0.39258799950596723,0.39258799950596723,0.0
