run_id,target,kfold5_block20,kfold5_random,kfold5_window,gap_vs_owner,gap_vs_block20
B03_coords,hill_q0,0.4036902491868213,0.7645114849460518,0.6632576923927324,0.10125379255331945,0.36082123575923053
RF06_curve_all-topo-area,hill_q0,0.3684141239890472,0.6831207794257049,0.5962452535824715,0.08687552584323344,0.3147066554366577
RF01_lsp-topo-area_savi,hill_q0,0.4543927122041882,0.6772722694505551,0.5911976025491424,0.08607466690141263,0.22287955724636688
RF03_curve-topo-area_ndvi,hill_q0,0.4834018884403225,0.6722036390107653,0.589385638428145,0.08281800058262034,0.1888017505704428
RF01_lsp-topo-area_kndvi,hill_q0,0.4698534721549407,0.6874577384937806,0.6083686054402752,0.0790891330535054,0.21760426633883984
RF03_curve-topo-area_kndvi,hill_q0,0.4923273331339076,0.672686872272022,0.594130867708648,0.07855600456337397,0.18035953913811437
RF01_lsp-topo-area_evi,hill_q0,0.4275343196369016,0.6747057522589742,0.5962335775123323,0.07847217474664192,0.24717143262207264
B03_coords,pcoa2_cover,-0.0263320005093299,0.3209842134699051,0.247025919034676,0.07395829443522908,0.34731621397923496
RF01_lsp-topo-area_ndvi,hill_q0,0.5097132236549653,0.6800351919982054,0.6064630515344492,0.07357214046375615,0.1703219683432401
B03_coords,pcoa2_pa,0.3096480503824493,0.5730093820215911,0.5036559919937398,0.06935339002785135,0.2633613316391418
RF01_lsp-topo-area_nbr,pcoa2_cover,0.0993888238930617,0.3249254875518482,0.2605700409678314,0.06435544658401682,0.2255366636587865
RF03_curve-topo-area_savi,pcoa2_pa,0.3430346123112258,0.5162216537709968,0.4546542070734964,0.061567446697500416,0.17318704145977104
B03_coords,lcbd_pa,0.293066090865867,0.5686095262463722,0.507049176579632,0.06156034966674018,0.2755434353805052
B01_topo-area,hill_q0,0.2935517171595233,0.5443802928188242,0.4837108839975602,0.06066940882126398,0.2508285756593009
RF03_curve-topo-area_evi,pcoa2_pa,0.3511299339890204,0.5212840051186846,0.4621156343545724,0.05916837076411213,0.17015407112966413
B01_topo-area,lcbd_cover,0.0528242617076195,0.2364994897119854,0.1783369526372734,0.058162537074712,0.1836752280043659
B03_coords,hill_q1,0.2102598336790407,0.4908396798684274,0.4329291006786198,0.05791057918980763,0.2805798461893867
RF03_curve-topo-area_evi,hill_q0,0.3823693671412445,0.6871702909951828,0.629297808317857,0.05787248267732581,0.3048009238539383
RF03_curve-topo-area_savi,pcoa2_cover,0.1132338146252113,0.3368407697099146,0.279601799412897,0.05723897029701763,0.2236069550847033
RF03_curve-topo-area_savi,hill_q0,0.4042484269322529,0.6855245369803349,0.6287266702970596,0.056797866683275244,0.281276110048082
B02_area,pcoa1_pa,0.1799117089880868,0.3253797145276689,0.2688933779793247,0.056486336548344174,0.14546800553958208
RF03_curve-topo-area_evi,pcoa2_cover,0.1292484058755343,0.342397535191603,0.2893606260913603,0.05303690910024267,0.2131491293160687
