run_id,family,features,index,substrate,fusion,model,facet,n_targets,R2,R2_min,R2_max,nRMSE,nBias,nBias_abs,spearman
MLP06_curve_kndvi,MLP,curve,kndvi,tabular,late,MLP-B,alpha,3,0.4936749876239334,0.4077962069598988,0.612672033862664,0.1424212863820706,-0.003195354453101493,0.003195354453101493,0.6716999444386492
B03_coords,BASE,coords,,,none,RF,alpha,3,0.489623211545982,0.3726828415665939,0.6632576923927324,0.14208487286973634,-0.005038560359171665,0.005038560359171665,0.662082973699332
C1D01_curve1d_kndvi_ctxclim-topo-area,C1D,clim+topo+area,kndvi,curve1d,late,C1D-B,alpha,3,0.4646279765678416,0.3684532775021413,0.5938341018096329,0.14639756237967652,-0.007276064228777975,0.007276064228777975,0.645659198639626
C2D02_serpentine_kndvi_ctxclim-topo-area,C2D,clim+topo+area,kndvi,serpentine,late,C2D-B,alpha,3,0.4637344770136301,0.36961263676133865,0.5902324693334897,0.14654976618829527,-0.005447854463624154,0.005447854463624154,0.6506187061815787
MLP07_curve_all,MLP,curve_all,,tabular,late,MLP-A,alpha,3,0.46180665496725243,0.38168638126907606,0.5573936946954752,0.14719963740574224,-0.006934818162156731,0.006934818162156731,0.6656020409309901
C2D01_reshape_kndvi_ctxclim-topo-area,C2D,clim+topo+area,kndvi,reshape,late,C2D-B,alpha,3,0.4553224503495826,0.36334694754011176,0.5799174282861407,0.14774785377929284,-0.005102475427309525,0.005102475427309525,0.6448914599646514
RF03_curve-topo-area_kndvi,RF,curve+topo+area,kndvi,,none,RF,alpha,3,0.44676338793207343,0.33215437283925336,0.594130867708648,0.14857703920459442,-0.014229239790957112,0.014229239790957112,0.6504801529818558
MLP05c_curve_kndvi,MLP,curve,kndvi,tabular,late,MLP-C,alpha,3,0.44160093340119455,0.3470640799673376,0.5739402607481962,0.14955485006634708,-0.00016619542211916954,0.0022756847444121,0.6397543466282192
RF03_curve-topo-area_evi,RF,curve+topo+area,evi,,none,RF,alpha,3,0.44098336953776346,0.30619659660140824,0.629297808317857,0.14869579033406738,-0.01596361459329072,0.01596361459329072,0.6352868139271504
RF04_lsp-curve-topo-area_kndvi,RF,lsp+curve+topo+area,kndvi,,none,RF,alpha,3,0.4405479150689024,0.32190141993163235,0.5954072727308156,0.14932205090274916,-0.015013413259201322,0.015013413259201322,0.6473767421688051
