run_id,scheme,family,substrate,index,fusion,R2_main,R2_main_sd,R2_main_ens,R2_alpha,R2_beta,R2_beta_cover,hill_q0,hill_q1,hill_q2,lcbd_cover,lcbd_pa,pcoa1_cover,pcoa1_pa,pcoa2_cover,pcoa2_pa
B03_coords,kfold5_random,BASE,,,none,0.5624556013648346,0.004381981699360517,0.5650404038280256,0.5564150874616219,0.5684961152680472,0.3923777342107866,0.7645114849460518,0.4908396798684274,0.4138940975703864,0.4411129465820534,0.5686095262463722,0.4150360425804013,0.5638694375361785,0.3209842134699051,0.5730093820215911
RF06_curve_all-topo-area,kfold5_random,RF,,,none,0.518408464157399,0.006914101707172983,0.5209677516826573,0.4871154421919281,0.5497014861228701,0.37268065886581025,0.6831207794257049,0.4332512741392932,0.3449742730107861,0.3426826437512105,0.5102638217603538,0.4024224083428175,0.6070279274079833,0.3729369245034027,0.531812709200273
RF03_curve-topo-area_savi,kfold5_random,RF,,savi,none,0.511584668496718,0.006840685228365649,0.5143145281942553,0.4778785042717677,0.5452908327216682,0.3536132731000887,0.6855245369803349,0.4224805555646069,0.3256304202703613,0.3196668804889828,0.5164226019201559,0.4043321691013687,0.6032282424738522,0.3368407697099146,0.5162216537709968
RF03_curve-topo-area_evi,kfold5_random,RF,,evi,none,0.5125965345668496,0.006991178403124133,0.5151786923511964,0.4801023841691959,0.5450906849645031,0.3583952550992149,0.6871702909951828,0.4257952637910147,0.3273415977213903,0.3192227556459364,0.5132719499743085,0.4135654744601054,0.6007160998005164,0.342397535191603,0.5212840051186846
RF03_curve-topo-area_nbr,kfold5_random,RF,,nbr,none,0.5065854941414186,0.006029339379243083,0.5094360652027642,0.4747900698092955,0.5383809184735417,0.3536060850948936,0.6971563750770574,0.408693397288236,0.3185204370625931,0.3227431120851105,0.498011714631384,0.4083463738971657,0.6015196791860401,0.3297287693024046,0.515611361603201
RF01_lsp-topo-area_nbr,kfold5_random,RF,,nbr,none,0.495212483413745,0.006452555310853683,0.49785408861409053,0.452291814092216,0.538133152735274,0.3622341531879267,0.6938660461438978,0.3810529864155348,0.2819564097172155,0.3389256576332286,0.5138464608689397,0.4228513143787032,0.591297838227396,0.3249254875518482,0.5092551591094862
RF01_lsp-topo-area_kndvi,kfold5_random,RF,,kndvi,none,0.49878790985672716,0.005709960591170717,0.5017347670049565,0.46098565555540283,0.5365901641580515,0.3554745409911418,0.6874577384937806,0.3933784345160173,0.3021207936564107,0.3249074315174351,0.501434622233719,0.3972167139693722,0.5993495666485248,0.3442994774866181,0.5089863035919105
RF03_curve-topo-area_kndvi,kfold5_random,RF,,kndvi,none,0.5110987719932333,0.006972270286652,0.5137799622059558,0.48640195199469094,0.5357955919917757,0.3597814597888021,0.672686872272022,0.4286884380226715,0.3578305456893793,0.3319324196117192,0.5028493481561833,0.3882167361286221,0.5938056050232633,0.3591952236260651,0.5107318227958805
RF01_lsp-topo-area_ndvi,kfold5_random,RF,,ndvi,none,0.4934262425127059,0.007018463265860467,0.4963600755670277,0.4550097930630071,0.5318426919624047,0.3544131913741025,0.6800351919982054,0.3830437863730266,0.3019504008177893,0.3171591711059299,0.5015455259645468,0.3929572068998783,0.5931387489574869,0.3531231961164994,0.5008438009651806
RF03_curve-topo-area_ndvi,kfold5_random,RF,,ndvi,none,0.5047074668504633,0.00602693887456555,0.5074188670686587,0.47924416229234373,0.5301707714085829,0.35539945050740335,0.6722036390107653,0.4165403984538671,0.3489884494123988,0.3287986187023837,0.4957870680392033,0.3884864487823574,0.588566496516337,0.3489132840374688,0.5061587496702084
RF01_lsp-topo-area_evi,kfold5_random,RF,,evi,none,0.48383187516544157,0.005696855985779417,0.48668602177297293,0.4394354340003206,0.5282283163305627,0.35684642484778667,0.6747057522589742,0.3689824289762746,0.2746181207657129,0.3485927709411102,0.5117974149698239,0.400736533296482,0.5895292404229887,0.3212099703057678,0.4833582935988752
RF01_lsp-topo-area_savi,kfold5_random,RF,,savi,none,0.47975196915415214,0.007468582835231617,0.482715602553298,0.43569807127183147,0.5238058670364728,0.34972725264139964,0.6772722694505551,0.3639411775990313,0.2658807667659081,0.3379687588447512,0.5058782303642456,0.3879289274015165,0.5865829040480106,0.3232840716779311,0.4789564666971621
MLP02_curve_kndvi,kfold5_random,MLP,tabular,kndvi,late,0.4691162245353373,0.02330232282309498,0.5251855898411241,0.44959336629011304,0.48863908278056156,0.3252360191839239,0.5653441414674164,0.4150599310719746,0.3683760263309482,0.3525457520761667,0.4746364417870318,0.3694552647004014,0.5407473025052806,0.2537070407752037,0.4505335040493724
