PC1,0.429407
PC2,0.121215
PC3,0.093794
PC4,0.061360
PC5,0.049729
PC6,0.035719
PC7,0.023370
PC8,0.019688
PC9,0.017935
PC10,0.016207
PC11,0.012688
PC12,0.010540
PC13,0.010168
PC14,0.009061
PC15,0.007922
PC16,0.007544
PC17,0.006363
PC18,0.005491
PC19,0.005088
PC20,0.004690
PC21,0.004307
PC22,0.003827
PC23,0.003481
PC24,0.003364
PC25,0.003132
PC26,0.002965
PC27,0.002636
PC28,0.002351
PC29,0.002261
PC30,0.002169
PC31,0.001850
PC32,0.001804
PC33,0.001633
PC34,0.001453
PC35,0.001263
PC36,0.000983
PC37,0.000954
PC38,0.000916
PC39,0.000794
PC40,0.000756
PC41,0.000669
PC42,0.000623
PC43,0.000613
PC44,0.000522
PC45,0.000511
PC46,0.000474
PC47,0.000456
PC48,0.000432
PC49,0.000394
PC50,0.000384
PC51,0.000355
PC52,0.000340
PC53,0.000320
PC54,0.000288
PC55,0.000241
PC56,0.000232
PC57,0.000212
PC58,0.000182
PC59,0.000177
PC60,0.000146
PC61,0.000141
PC62,0.000135
PC63,0.000122
PC64,0.000108
PC65,0.000097
PC66,0.000095
PC67,0.000093
PC68,0.000085
PC69,0.000081
PC70,0.000070
PC71,0.000069
PC72,0.000065
PC73,0.000056
PC74,0.000051
PC75,0.000046
PC76,0.000037
PC77,0.000034
PC78,0.000032
PC79,0.000023
PC80,0.000021
PC81,0.000020
PC82,0.000013
PC83,0.000011
PC84,0.000011
PC85,0.000010
PC86,0.000008
PC87,0.000007
PC88,0.000007
PC89,0.000004
PC90,0.000000
PC91,0.000000
PC92,0.000000
PC93,0.000000
PC94,0.000000
