target,R2_mean,R2_sd,RMSE_mean,RMSE_sd,MAE_mean,spearman_mean,n,n_seeds,R2_ensemble,RMSE_ensemble,spearman_ensemble
lcbd_count_sorensen,0.47927069286743834,0.0022853647341239945,1.5293713705882524e-05,3.354478737527633e-08,1.208163057427063e-05,0.6399705327741251,2499,3,0.48208085555919644,1.5252415386049607e-05,0.6424820221800042
pd_inext_q0,0.12353054582944804,0.005066197051040501,1.4408147975963586,0.0041634473930602465,1.1035437570231308,0.3881530097213233,877,3,0.12747395278618512,1.4375738915330027,0.3915620212715555
pd_inext_q1,0.12626255509872453,0.006311664487266702,1.0662404072011382,0.0038495882939434483,0.8283659998786687,0.36789860424053805,877,3,0.13482339191983272,1.061008673675149,0.3743750704662279
pd_inext_q2,0.09889985424855845,0.014051719732749648,0.882045111567864,0.006876186056087646,0.6916438120889544,0.3243253829267326,877,3,0.10644097682061604,0.8783643228872869,0.33148877377088554
td_inext_q0,0.0175898275122085,0.014876986289658507,2.300531376119817,0.01738197336045064,1.7758712881886558,0.1617343134783669,881,3,0.025493334905421383,2.291302381307141,0.16743362134443052
td_inext_q1,0.06481980089010815,0.007655304392872641,1.636092769451218,0.006701555961967328,1.2393600146917105,0.2565133383013005,881,3,0.07049686780487763,1.6311283329301043,0.2626322839073916
td_inext_q2,0.0637921936617492,0.0021747788968632946,1.4596146306680309,0.0016957485211958625,1.1230642054186433,0.247253388557223,881,3,0.0666534413143034,1.457383135162886,0.25102208974935153
