target,R2_mean,R2_sd,RMSE_mean,RMSE_sd,MAE_mean,spearman_mean,n,n_seeds,R2_ensemble,RMSE_ensemble,spearman_ensemble
hill_q0_unified,0.43069019297301825,0.002046603708966038,2.291140989769122,0.004119228479769579,1.6060192793197248,0.7059437325720044,3102,3,0.4335691010678552,2.285343144388226,0.7084109084040877
lcbd_pa_unified,0.4262482401726668,0.004723536150929163,1.1311428188669431e-05,4.653338877839121e-08,8.933214238313996e-06,0.5987638852243559,3094,3,0.4297438229256878,1.1276981720955033e-05,0.6011927881643323
pcoa1_pa_unified,0.6908403438857847,0.007940878434197256,0.16314614926607,0.002091377889038921,0.09120319543145809,0.851048094459906,3094,3,0.6918347175233717,0.16289249015459006,0.8521543387807118
pcoa2_pa_unified,0.7802539755302879,0.0005325225361408916,0.12659506338840856,0.0001534461990742143,0.09896064167638315,0.8874590483176953,3094,3,0.7818857858849162,0.12612420861655288,0.8880141570931318
lcbd_freq_unified,0.3870182080536579,0.003396058526173223,1.9646779479589074e-05,5.4386306368845506e-08,1.55669569332642e-05,0.5854151663711676,3040,3,0.3895451652662323,1.9606291779654774e-05,0.5872968850454074
pcoa1_freq_unified,0.5237192919781628,0.0057127528474177685,0.34514270294393395,0.002071555895484654,0.16009283621632664,0.6976855791225667,3040,3,0.5243483133604434,0.3449188553316339,0.6985931404760418
pcoa2_freq_unified,0.5258318501507353,0.0016263787371731955,0.32559627731170276,0.0005582676701315961,0.2155147998447615,0.8537058836708061,3040,3,0.5293228074297792,0.3243958160062833,0.856398694859302
mpd_unified,0.21030557234308767,0.00861562602314367,103.78841797538502,0.5653978760752825,67.40081840094432,0.4251470534082558,2535,3,0.21522380712471278,103.46573835181985,0.43176902394015865
mntd_unified,0.09162376823681924,0.005154503332543048,97.06392332534189,0.27561360321361594,62.52390660320241,0.28520690744446586,2535,3,0.09761686714282702,96.74345920430393,0.29477094234787704
ses_pd_unified,0.18222615173012066,0.003290758396336096,1.0879696259583176,0.0021898202680029283,0.7825251775201596,0.396919646661069,2535,3,0.18652107692057684,1.0851103372950055,0.4012815884085371
ses_mpd_unified,0.22851357253335072,0.000609330545787348,1.1163499722264383,0.00044080819576373226,0.80224154499544,0.40985947169564346,2535,3,0.23229371929271803,1.1136117131649939,0.41611796314325755
ses_mntd_unified,0.11224963387648157,0.0025398150421844104,1.1525020434083166,0.0016493009015597457,0.8537550088506874,0.29937878820396935,2535,3,0.11645829945372277,1.1497676797832976,0.30339670998984714
dark_n_unified,0.6950103636153132,0.0015444618056785773,15.334377390546194,0.03884210566231003,11.59989914036786,0.8340397833825933,3094,3,0.6957918598611725,15.314751369846745,0.8343623832479651
