target,R2_mean,R2_sd,RMSE_mean,RMSE_sd,MAE_mean,spearman_mean,n,n_seeds,R2_ensemble,RMSE_ensemble,spearman_ensemble
lcbd_count_sorensen,0.1705082972822309,0.014563072971593411,6.948762843449176e-05,6.08644730178013e-07,5.614768156711822e-05,0.4210470187868081,506,3,0.17333455088912186,6.937092190020445e-05,0.4230344728987843
pd_inext_q0,-0.07362050049256956,0.05409525845306601,1.383974226746964,0.03473272433597442,1.1181514722972452,0.08733948272743715,96,3,-0.06280525358091049,1.3772748234735852,0.10515463917525772
pd_inext_q1,0.14398404948294233,0.04247560579965308,1.165272206721663,0.028804927797517574,0.9421011124829345,0.38056610598661605,96,3,0.1463215181259261,1.1639171508125152,0.3797748236570808
pd_inext_q2,0.07903147948058475,0.057415255790670125,0.986245998303934,0.031041217787457293,0.7908958964626055,0.3464098390305661,96,3,0.08551057697353603,0.9830951738292791,0.34993217580032554
td_inext_q0,0.060321349769817366,0.04493035305688469,2.4948966088335274,0.059320352661966794,2.039623936229764,0.30186077081013,99,3,0.07389949548030472,2.477272364235414,0.3022318730793362
td_inext_q1,-0.09146241214303245,0.040195893721336556,1.8283271247917778,0.03382084963431173,1.4889759161334641,0.15527568112529744,99,3,-0.08827638896784551,1.8258649196648171,0.15628372382178554
td_inext_q2,-0.06922408740212727,0.01643000965212041,1.6260179248687718,0.012512948748027457,1.3191444533794872,0.19022587235494062,99,3,-0.06561297543786382,1.623301854159416,0.19434875911787308
