step,hill_q0,hill_q1,hill_q2,lcbd_cover,lcbd_pa,pcoa1_cover,pcoa1_pa,pcoa2_cover,pcoa2_pa
0,0.00376949855616018,0.00375020904596918,0.0033674905303161203,0.0033914110547624996,0.0013966102827133,0.00624445471397154,0.00979757208385056,0.00239097527487154,0.0024800483169667
1,0.0033624319905570395,0.00284328109043666,0.00273944950646938,0.0036883575664646,0.00141387506535018,0.0043255918172647,0.00787385994968314,0.0031561654829549,0.0019012187822620998
2,0.00295438140053268,0.0030711981868649,0.0030737292945078602,0.00293377506037324,0.00126424617105492,0.00276811170103386,0.00445780292938798,0.0044159382383531,0.00162396113403462
3,0.0025974083218865797,0.0026252332887375203,0.00267792798004384,0.00206286362301864,0.0011952317057332801,0.0027248596737361004,0.00234061157390304,0.00294155167254986,0.00144357414807832
4,0.00188848888284186,0.00211881410537714,0.00252869144252614,0.00208016457060006,0.00146098827632176,0.00240978354473146,0.00179065397766834,0.0026021863154427,0.0014615904665070199
5,0.00171680112371074,0.00211344802446562,0.0026727925240202398,0.0023889906227516798,0.00161069437262116,0.0023816208769684,0.0018607110166255,0.0024331512488400798,0.00201751447144584
6,0.00134281277834056,0.0021067492242177197,0.0025271944708901402,0.00277079669990168,0.0017595407793551,0.0031866276730960403,0.00231311608960038,0.0023109708124834797,0.00185601698899004
7,0.00141824326229232,0.0021898943371438,0.00229216682226436,0.00258018517125466,0.00165152332176032,0.006241266111379819,0.00317815014297458,0.00240484798305436,0.00232668109689636
8,0.00131448063891652,0.00203461515642576,0.0023261651342448603,0.0019133049152478799,0.00162997044166016,0.0054675749699862,0.00396397394232096,0.00315860057746428,0.0021889525593287397
9,0.00133389437836438,0.0019426051057835,0.00224955654027488,0.00235045555549166,0.002061914766311,0.00881857206190448,0.0043688936234262,0.0026192929082966402,0.0019428348707981199
10,0.00189817759610964,0.00257448533858246,0.00283779648415948,0.0035467705990066003,0.0023374941359108198,0.01040381933101224,0.00224361695803318,0.00581936344488124,0.0023399026392893997
