step,hill_q0,hill_q1,hill_q2,lcbd_cover,lcbd_pa,pcoa1_cover,pcoa1_pa,pcoa2_cover,pcoa2_pa
11,0.00199671071172948,0.0028388059206315404,0.0031306411211601,0.00245790165376192,0.00224621367545756,0.00492678938609096,0.0017212014404400001,0.00513334356867174,0.00224522777419538
12,0.00199996894656242,0.00276470561621768,0.0027251866138962603,0.00227314882648698,0.00225883779085312,0.0029464263053842797,0.00175883772806168,0.0040545496456052205,0.0026705224106716
13,0.00159905246193582,0.0024091382299095596,0.00256162173065212,0.0024747225954367,0.00214766376809314,0.00207018546310536,0.00201389342888848,0.0036920581758375197,0.00199950613646368
14,0.00201657960070574,0.00271052802565758,0.0031173932239230403,0.00254186615662262,0.00267975489179402,0.00212285475927668,0.00447822249078276,0.00355337794582916,0.0022154874364342
15,0.0023469470605556,0.0024224693720410204,0.0027604640321261,0.0024259371551873,0.00279599581068284,0.0017174008289134,0.00436712148067196,0.00264068866052442,0.0018852082268404802
16,0.00195873362493746,0.00263736067946978,0.00296624880733962,0.00232688731890666,0.0035576714942405197,0.0015790782537007798,0.00674838592024244,0.00219324112452598,0.0032826780496527
17,0.00278855482441062,0.00257404310351456,0.00259913629588152,0.0029377731807986598,0.0063100342091556,0.0019739792330522,0.0045605443743151,0.0019248607375886198,0.00565074488445414
18,0.0030559002104458798,0.0041917490824247,0.0034316942603408603,0.0032568109284104004,0.00669874284716158,0.0019401907564828,0.00289223075137458,0.00238592827851342,0.00403185486454922
19,0.0032106117161939,0.00372202820841394,0.0036146821145405803,0.004000412479334,0.014138828196564382,0.00253750414984238,0.0024263239387752,0.002099957037613,0.0049415397487326
20,0.00354882926657432,0.00472474446824768,0.00468387897556552,0.00392934309926524,0.01432446088140526,0.0030817648351872404,0.00242857994831764,0.0029685168878558,0.00591957521189654
21,0.0037991585562536603,0.004605423639507821,0.00461155533668812,0.0032657135915925796,0.012286615485928621,0.002940853044621,0.0020371863658668,0.00768987612396872,0.00283445840533136
22,0.00282533084625742,0.00280443387106904,0.0030513798026561003,0.00320343499053512,0.010804033025261419,0.00182299927066392,0.00237257737889568,0.00405753036202652,0.00224493750472404
23,0.0026514203655649197,0.0028208394891826,0.00293596407878476,0.00318483752338342,0.008069597730591401,0.0018144568924913797,0.00305400222494394,0.0043867328420655795,0.00219394947386274
24,0.00231351228939744,0.00239514729767462,0.0024971271203863997,0.0032114528887401397,0.00489501104595072,0.0022719036179171597,0.00478832179955518,0.00298556071962368,0.00265678577051848
25,0.00250477178243492,0.00298421195837008,0.0029349326081578803,0.00255751282071802,0.00261536995861218,0.0024803710980438,0.00290973403504644,0.00333513570635972,0.00574088966144064
26,0.0083713855734068,0.00341541002555076,0.00297342964289788,0.0022124727612376797,0.00270281720308734,0.0022557573688922203,0.00760318291828508,0.004629832883962419,0.00955373669556666
27,0.00536448077518634,0.00253053531688666,0.0023823196886234,0.0018814797969612998,0.00406801319404212,0.0034062045648845006,0.006485268019773881,0.00274702626774984,0.00900332536840536
28,0.0038348320408904,0.00206838124559676,0.0020228379336035803,0.0016019467290235598,0.00208806480133224,0.0015918585267601399,0.0033718167855968997,0.0034556683330160404,0.00777903530882858
29,0.00365277345055274,0.00240692915766452,0.0022254502945981,0.00163577201407604,0.0016315367976850199,0.0019076161801013802,0.0013782131422054,0.00480955173279982,0.0049839302733953
30,0.00245804253512554,0.00237901549064592,0.00236500804235038,0.00261760816783722,0.00097849037863664,0.00200654724668152,0.00095440971447274,0.0034137936126845,0.00446193636598596
31,0.00239179540578974,0.00275574132225742,0.0026585470573679,0.00149781669449304,0.00102814581703826,0.0017490987530657202,0.00099880339595452,0.00270725978810778,0.00521883620085092
32,0.0020268925989469,0.00298124294113726,0.00255772646254812,0.00128908516302572,0.0010508333951257,0.0015603072855216,0.00119872052412524,0.00166957111463016,0.00716007925191858
33,0.00097264299742398,0.00162646849803674,0.00162764339447832,0.00124769767889686,0.00118542275746586,0.0013707183663442001,0.00093530228685616,0.0012461723665621199,0.0025201271618891
34,0.00111468720898618,0.0019280193213923598,0.0018838183181103397,0.00125223850479722,0.00099343825289304,0.00153097649817126,0.00098299834844448,0.0011678750944887398,0.00218894602392944
35,0.0028593531624609,0.00435972034338614,0.0044256934274838,0.00242822813235406,0.00167653817750454,0.00188915485297582,0.00200924677532074,0.00201583429950986,0.00158685718532112
36,0.00478910413520892,0.00295228832111538,0.00241309650756958,0.0018473210605252602,0.0015252196991973998,0.00218095318057096,0.00212270976950346,0.0020820696096974602,0.00220201895782648
37,0.00878487147143498,0.00726992576176472,0.00655242720283968,0.0039721663004070595,0.00217275773972838,0.00281881173329962,0.0050625539248869795,0.006819223094346199,0.0055855158880936204
38,0.0052110223917061,0.00539611323361974,0.0043929433705222395,0.0067213435218984804,0.007065584471631201,0.0028006309492740003,0.00171218281568736,0.00195960047127452,0.004276054950584781
39,0.0010126721377285998,0.001763023164286,0.0016407053262164802,0.00142541131719656,0.00298695937008988,0.00136243744795126,0.00134373809649364,0.0015460338134138999,0.001321030323195
40,0.00175489608552322,0.0015745370576551998,0.0015984418106635,0.00234157664336914,0.0018609043463731398,0.0014619290763719,0.00152393482381958,0.0012108177857672,0.00187727384462898
41,0.0023964945293182198,0.00156498335318832,0.00167159539710674,0.0021267059749374402,0.00176305818481702,0.00147497795372476,0.001161495384222,0.0017070296241438001,0.00173708581512864
42,0.0017588249717194998,0.0018814142212133199,0.00176283399866836,0.00625803782615602,0.00246229003399186,0.00220358659547834,0.00489192175596752,0.00230023155467676,0.0024750875179819
43,0.0019804943033035,0.00212538635587838,0.0016708212470252,0.00740237442550704,0.00201783148994778,0.00187339079244122,0.0021142405568224604,0.00254794928482954,0.00202420327633574
44,0.00134543226134324,0.00136197742157328,0.00140704781551302,0.00466227687514288,0.0015839400646807,0.00155029490929372,0.00158976776675648,0.00335736660830624,0.00251428574506438
45,0.0011607605201664,0.00162222369167992,0.00155685210771302,0.0045427585358493805,0.0015855321390333202,0.0013746084206687401,0.0011378532302451,0.001673562017082,0.0019490102246032
46,0.00484487803976724,0.00227877887084336,0.00203105503183286,0.0031165243054165803,0.00168601450012224,0.0017449519653385999,0.00150317162601544,0.00184615094557764,0.00204195844057318
47,0.00501782179688798,0.00192467719840846,0.0018099967532045,0.00306446805505138,0.00193971584025344,0.0027389230987797802,0.00146200234477166,0.00198826943794146,0.0021638071521486997
48,0.00239017029672638,0.00125327167916118,0.00130426952521422,0.00185340519521064,0.00123593449110084,0.0016061880553066,0.0012133528489145,0.00181480602581672,0.0016177251810004603
49,0.0015768059470803002,0.0017562069935921202,0.00179655533323256,0.00252834589404474,0.0016245106385038798,0.00195445636946284,0.00182874526272764,0.0018734841125944202,0.00175564987681378
50,0.00155464053615186,0.00211996308491862,0.00235637742678864,0.00267468045593708,0.00144359055595918,0.00374378281601258,0.00623428908377688,0.00183301719502272,0.00192980167398718
51,0.0031111003886974,0.0029839414429326397,0.00318908809322752,0.00598960467359754,0.00197961495237594,0.00681856068282876,0.0141353021738088,0.00226571689011026,0.00331332467289408
