step,dark_n,hill_q0,hill_q1,hill_q2,lcbd_cover,lcbd_pa,mntd,mpd,pcoa1_cover,pcoa1_pa,pcoa2_cover,pcoa2_pa,ses_mntd,ses_mpd,ses_pd
0,0.0200446862004176,0.0248554505331179,0.0192138206333429,0.0151955793137324,0.0121769866008408,0.0052826039455169,0.0079970414498307,0.0117838645620738,0.0329626458152532,0.0393511978728593,0.0081474665504428,0.008633712144634,0.0126512561540617,0.012262923552896,0.0120963537933881
1,0.0274315707871027,0.0193174828299438,0.0186737259042167,0.0150007762553132,0.0185532495462381,0.0064020677155363,0.0080142023781642,0.0150649032415345,0.0108383417929447,0.0407331479096343,0.008837830496181,0.0075624658709659,0.0167050633603251,0.014217228888513,0.0153019055987689
2,0.0146026428775509,0.017519572850317,0.0183063169310828,0.0168630269578907,0.0136078291322803,0.0054279471524467,0.009224402750697,0.0175315188616065,0.0093193949393738,0.0213103829308356,0.0191618832642403,0.0060607957235948,0.0173757977252509,0.0144132673967115,0.0169639034108452
3,0.0139731686311516,0.0094596472685853,0.0123546689095776,0.0132747057690851,0.0095317919046173,0.0064543849480836,0.007991104194622,0.020786198607512,0.0060172291451544,0.0077519152127964,0.012501509651543,0.0053853899370511,0.0196934479527323,0.0168743685971069,0.0190227011681775
4,0.0175093817863839,0.0069689609605708,0.0084797002170224,0.0087539934204769,0.0081764888476613,0.0061820148915274,0.010190310671946,0.0168252467333487,0.0064806206965222,0.0092844674972463,0.0081922246299978,0.0061657900597284,0.016702409043813,0.0186109970276238,0.0164203890273252
5,0.021212603075792,0.0060591764469758,0.0074912688926512,0.0082954940871961,0.0103088519927969,0.0065466861143444,0.0104114260971915,0.0138303597294446,0.0096886233559488,0.0066007456019356,0.0088932986863866,0.007365491255477,0.0191174556408351,0.0161069123983413,0.0152874404017751
6,0.014187958358599,0.0048075446154013,0.0066139570919601,0.0075578508846341,0.0133173523146824,0.007744615688168,0.0095523745749541,0.0133953574762992,0.0149912778025819,0.0081716308516413,0.0093312834708849,0.0072597762320417,0.0194456193044072,0.0128224731012605,0.0151351422959961
7,0.0139652386779567,0.0057240788711061,0.0085963895617536,0.0094819697460076,0.0073151678683719,0.0077768208776318,0.0094289131030953,0.0149826161096837,0.0140017706912102,0.0078040102241567,0.0089233330229879,0.0060551570871158,0.0139031907720201,0.0145620042057139,0.0128896157415398
8,0.0131898044641892,0.005893312268961,0.0088645493305776,0.010756215041102,0.0073828195815383,0.005975532366137,0.0097968630083019,0.0124685124160851,0.0133452141120072,0.0064296343287059,0.0120829924330467,0.0073199997212198,0.0113919878112039,0.0146483188568799,0.0111628037192694
9,0.0085485065080912,0.0053667745486094,0.0079313238517733,0.0092644727886788,0.0086015266235644,0.0061657999361593,0.0141825566539592,0.0158540190124339,0.00932061655828,0.0060302077162319,0.0146193022477857,0.007165438798067,0.0132216594643645,0.0136245584696011,0.0136854834239742
10,0.0085374639044434,0.0068916151853906,0.0084323713499693,0.0093939766255335,0.0114397659315667,0.0068983674073744,0.0120398988040206,0.0158041185241441,0.0112472393866703,0.0060788100456632,0.0373689243424944,0.0102824515847455,0.0148546037951186,0.0128496426666891,0.0126215438889253
