target,step,doy,attribution
hill_q0,0,108.0,0.02610872406930262
hill_q0,1,115.0,0.020384696755379548
hill_q0,2,122.0,0.023217773814328005
hill_q0,3,129.0,0.014617298645290436
hill_q0,4,136.0,0.019774555028154724
hill_q0,5,143.0,0.017001804930913945
hill_q0,6,150.0,0.01682492590803913
hill_q0,7,158.0,0.012519475932507594
hill_q0,8,165.0,0.011771634331660234
hill_q0,9,172.0,0.010615615595140203
hill_q0,10,179.0,0.01076535678592644
hill_q0,11,186.0,0.010852066821164345
hill_q0,12,193.0,0.010581957010421715
hill_q0,13,200.0,0.010897973724596353
hill_q0,14,207.0,0.010345507212714348
hill_q0,15,214.0,0.01042681281489776
hill_q0,16,222.0,0.01041609164835825
hill_q0,17,229.0,0.010987629821888646
hill_q0,18,236.0,0.013020778697963937
hill_q0,19,243.0,0.01348911167987069
hill_q0,20,250.0,0.013818065535908662
hill_q0,21,257.0,0.013503157508905256
hill_q0,22,264.0,0.01562056434978242
hill_q0,23,271.0,0.015282121442272025
hill_q0,24,278.0,0.016228222208245775
hill_q0,25,285.0,0.015851893082289382
hill_q0,26,293.0,0.01923187548476689
hill_q0,27,300.0,0.016877696106439924
hill_q0,28,307.0,0.018996544577524564
hill_q0,29,314.0,0.016685464984145096
hill_q0,30,321.0,0.02203949915055832
hill_q0,31,328.0,0.024622207181260288
hill_q0,32,335.0,0.024618418559106778
hill_q0,33,342.0,0.02410783264368599
hill_q0,34,349.0,0.022874235320714795
hill_q0,35,356.0,0.02834341190488714
hill_q0,36,364.0,0.028798349037769625
hill_q0,37,1.0,0.030021696319903667
hill_q0,38,8.0,0.026938109584256607
hill_q0,39,15.0,0.018955381419207128
hill_q0,40,22.0,0.021257145306591053
hill_q0,41,29.0,0.019187964221281644
hill_q0,42,36.0,0.021653518162876757
hill_q0,43,43.0,0.019738473211390464
hill_q0,44,50.0,0.020548488627769586
hill_q0,45,58.0,0.016488401925994225
hill_q0,46,65.0,0.020693145635981076
hill_q0,47,72.0,0.020464125870692455
hill_q0,48,79.0,0.022984781652127566
hill_q0,49,86.0,0.034301828455121544
hill_q0,50,93.0,0.02868336834668338
hill_q0,51,100.0,0.055964220953341054
hill_q1,0,108.0,0.025462337447299973
hill_q1,1,115.0,0.021433009570428267
hill_q1,2,122.0,0.024474757597517265
hill_q1,3,129.0,0.016094529443711914
hill_q1,4,136.0,0.01952774467682173
hill_q1,5,143.0,0.017752903557635393
hill_q1,6,150.0,0.016941789428503558
hill_q1,7,158.0,0.013229453317312909
hill_q1,8,165.0,0.012120541038914027
hill_q1,9,172.0,0.011091794750135347
hill_q1,10,179.0,0.010870692175075707
hill_q1,11,186.0,0.01092329538090403
hill_q1,12,193.0,0.010606925519306169
hill_q1,13,200.0,0.011094222026690246
hill_q1,14,207.0,0.010314265228134828
hill_q1,15,214.0,0.010562176215087028
hill_q1,16,222.0,0.010149755297704413
hill_q1,17,229.0,0.010829487997432474
hill_q1,18,236.0,0.012116424916546714
hill_q1,19,243.0,0.012748194684177924
hill_q1,20,250.0,0.012908546681238874
hill_q1,21,257.0,0.012917100576253789
hill_q1,22,264.0,0.014637695434822778
hill_q1,23,271.0,0.014489729260859828
hill_q1,24,278.0,0.015534792817413517
hill_q1,25,285.0,0.015542548802379598
hill_q1,26,293.0,0.018375548439643067
hill_q1,27,300.0,0.01677584763734125
hill_q1,28,307.0,0.018562378526811387
hill_q1,29,314.0,0.017722415006359696
hill_q1,30,321.0,0.020874948520246416
hill_q1,31,328.0,0.024625201745977807
hill_q1,32,335.0,0.02306015279118232
hill_q1,33,342.0,0.02489037145488526
hill_q1,34,349.0,0.022105091000761187
hill_q1,35,356.0,0.028731559488071216
hill_q1,36,364.0,0.027016333644153304
hill_q1,37,1.0,0.03114807204310493
hill_q1,38,8.0,0.025417296559496157
hill_q1,39,15.0,0.020062652847561098
hill_q1,40,22.0,0.019970404566206138
hill_q1,41,29.0,0.019346158683781405
hill_q1,42,36.0,0.02002860780990682
hill_q1,43,43.0,0.019422783670719417
hill_q1,44,50.0,0.019208266005333575
hill_q1,45,58.0,0.016861444313156657
hill_q1,46,65.0,0.019701611797369102
hill_q1,47,72.0,0.02149576088741348
hill_q1,48,79.0,0.021760740707483257
hill_q1,49,86.0,0.0359799666086869
hill_q1,50,93.0,0.030861834642723407
hill_q1,51,100.0,0.06161983675931641
hill_q2,0,108.0,0.024401739982526763
hill_q2,1,115.0,0.02296421599148297
hill_q2,2,122.0,0.02510497880755529
hill_q2,3,129.0,0.017568178049923194
hill_q2,4,136.0,0.018866666199785397
hill_q2,5,143.0,0.017847773855071036
hill_q2,6,150.0,0.016826205877203893
hill_q2,7,158.0,0.01351915142970844
hill_q2,8,165.0,0.012253086006646274
hill_q2,9,172.0,0.011563823289380373
hill_q2,10,179.0,0.011237268724323032
hill_q2,11,186.0,0.011467027136491847
hill_q2,12,193.0,0.010882814940666242
hill_q2,13,200.0,0.011461176814010486
hill_q2,14,207.0,0.010391091916431195
