target,area,curve,other,topo
hill_q0,0.11102928526322889,0.2888699666641768,0.4308779171118612,0.16922283096073312
hill_q1,0.08672700889411963,0.26150543454838376,0.4397762523552345,0.21199130420226214
hill_q2,0.08439618768880924,0.2549654959685049,0.4409917443375862,0.21964657200509966
lcbd_cover,0.028115284993072403,0.31009191207053854,0.4496389746844867,0.21215382825190235
lcbd_pa,0.027273811597562793,0.2848024215944237,0.5449359755213948,0.14298779128661865
pcoa1_cover,0.001910802416493226,0.20890818686977605,0.5319706334305352,0.25721037728319557
pcoa1_pa,0.019839323038150537,0.20364193344641357,0.6348648113991305,0.14165393211630536
pcoa2_cover,0.009277162113569437,0.26713767279836137,0.49307390590121686,0.23051125918685234
pcoa2_pa,0.014929568975801418,0.30223539317368203,0.524446128882911,0.15838890896760563
