target,area,curve,topo
dark_n,0.017136369414855395,0.6679586584967122,0.3149049720884323
hill_q0,0.08075863289476257,0.6811973235017669,0.23804404360347056
hill_q1,0.07772048505119288,0.6114055731320099,0.31087394181679723
hill_q2,0.08072942095233458,0.5836904511488863,0.33558012789877906
lcbd_cover,0.03496812191469253,0.6375716349999295,0.3274602430853779
lcbd_pa,0.03842352530922004,0.7383648678787322,0.2232116068120476
mntd,0.03732687943059635,0.6903398115191433,0.2723333090502604
mpd,0.010845864142824435,0.7460811015737089,0.2430730342834667
pcoa1_cover,0.007091544073409023,0.5656218314841593,0.4272866244424317
pcoa1_pa,0.02546204484829767,0.7484667222513293,0.22607123290037306
pcoa2_cover,0.015440095733956561,0.636064434990385,0.34849546927565844
pcoa2_pa,0.023410978754469364,0.7361217333238412,0.2404672879216894
ses_mntd,0.0146173497672728,0.7345425449294273,0.2508401053032998
ses_mpd,0.023003508376356497,0.7229973903055451,0.2539991013180985
ses_pd,0.017739639831634586,0.7387794180797083,0.2434809420886571
