target,step,doy,attribution
hill_q0,0,108.0,0.007061251946293565
hill_q0,1,115.0,0.005332216192309681
hill_q0,2,122.0,0.0055906599685033335
hill_q0,3,129.0,0.007555466537366985
hill_q0,4,136.0,0.0057879388142058575
hill_q0,5,143.0,0.005702357166059578
hill_q0,6,150.0,0.006500863695391229
hill_q0,7,158.0,0.005843545628189907
hill_q0,8,165.0,0.01936383509725809
hill_q0,9,172.0,0.009198909534904603
hill_q0,10,179.0,0.018736180724095955
hill_q0,11,186.0,0.011268829861895733
hill_q0,12,193.0,0.016751787415556562
hill_q0,13,200.0,0.01042997062009841
hill_q0,14,207.0,0.014724004804397946
hill_q0,15,214.0,0.005669008841412503
hill_q0,16,222.0,0.015023697706565177
hill_q0,17,229.0,0.025439548860373126
hill_q0,18,236.0,0.019970768012916064
hill_q0,19,243.0,0.03176371569156632
hill_q0,20,250.0,0.028223459628743747
hill_q0,21,257.0,0.03250408279912052
hill_q0,22,264.0,0.01891035187049178
hill_q0,23,271.0,0.015882050641022223
hill_q0,24,278.0,0.005669657180843152
hill_q0,25,285.0,0.012446657522179239
hill_q0,26,293.0,0.013264466788039418
hill_q0,27,300.0,0.027363086890617585
hill_q0,28,307.0,0.03794830430011789
hill_q0,29,314.0,0.037047007328121474
hill_q0,30,321.0,0.035356395152881664
hill_q0,31,328.0,0.02552975137885104
hill_q0,32,335.0,0.03264746177325495
hill_q0,33,342.0,0.05248386651852439
hill_q0,34,349.0,0.03632762190958383
hill_q0,35,356.0,0.038753347191723436
hill_q0,36,364.0,0.015435170768413636
hill_q0,37,1.0,0.02475671651226558
hill_q0,38,8.0,0.01728642049068829
hill_q0,39,15.0,0.019401920711887018
hill_q0,40,22.0,0.02277952997971315
hill_q0,41,29.0,0.020910155732060863
hill_q0,42,36.0,0.029180013245639878
hill_q0,43,43.0,0.01893719029771264
hill_q0,44,50.0,0.00953293781354315
hill_q0,45,58.0,0.01709626146153823
hill_q0,46,65.0,0.03284123705815897
hill_q0,47,72.0,0.03113338083288969
hill_q0,48,79.0,0.009015497003946148
hill_q0,49,86.0,0.01588543542862505
hill_q0,50,93.0,0.00959871620761363
hill_q0,51,100.0,0.00813729046182711
hill_q1,0,108.0,0.007108455259153444
hill_q1,1,115.0,0.004361104906284007
hill_q1,2,122.0,0.005048357172421861
hill_q1,3,129.0,0.006801141636529885
hill_q1,4,136.0,0.007038262038232683
hill_q1,5,143.0,0.006435007150986606
hill_q1,6,150.0,0.00815133386303113
hill_q1,7,158.0,0.005851727677348977
hill_q1,8,165.0,0.013508951606088173
hill_q1,9,172.0,0.009102518126929028
hill_q1,10,179.0,0.01605392144906112
hill_q1,11,186.0,0.013433517138746912
hill_q1,12,193.0,0.018123978352255633
hill_q1,13,200.0,0.010088141260916452
hill_q1,14,207.0,0.015717508782654026
hill_q1,15,214.0,0.006791775903585834
hill_q1,16,222.0,0.0124277292496126
hill_q1,17,229.0,0.022159442382805
hill_q1,18,236.0,0.01985013011050849
hill_q1,19,243.0,0.030361600040310546
