target,step,doy,attribution
hill_q0,0,108.0,0.014078114343476066
hill_q0,1,115.0,0.022976502749122912
hill_q0,2,122.0,0.020895643521855155
hill_q0,3,129.0,0.00953884757919019
hill_q0,4,136.0,0.02226963669510292
hill_q0,5,143.0,0.02192337732303097
hill_q0,6,150.0,0.019969797934663105
hill_q0,7,158.0,0.0084380314449239
hill_q0,8,165.0,0.018199533332978256
hill_q0,9,172.0,0.011110895387626416
hill_q0,10,179.0,0.015287634834341576
hill_q0,11,186.0,0.00731299019241369
hill_q0,12,193.0,0.012921605543268174
hill_q0,13,200.0,0.009200179384717722
hill_q0,14,207.0,0.014878632795971288
hill_q0,15,214.0,0.007580134485521293
hill_q0,16,222.0,0.015608702583620475
hill_q0,17,229.0,0.008401848010367403
hill_q0,18,236.0,0.01550505916387304
hill_q0,19,243.0,0.011708807841404476
hill_q0,20,250.0,0.026194876377002192
hill_q0,21,257.0,0.009226862129629138
hill_q0,22,264.0,0.020763364323326622
hill_q0,23,271.0,0.026317143968941952
hill_q0,24,278.0,0.01857063625940415
hill_q0,25,285.0,0.02426900730236836
hill_q0,26,293.0,0.020614929257464092
hill_q0,27,300.0,0.03204183770600907
hill_q0,28,307.0,0.02106335450770864
hill_q0,29,314.0,0.03136455675346471
hill_q0,30,321.0,0.0262651941746976
hill_q0,31,328.0,0.02210937142358036
hill_q0,32,335.0,0.021240761933419262
hill_q0,33,342.0,0.01950609698998794
hill_q0,34,349.0,0.023907965213283935
hill_q0,35,356.0,0.03470020117632858
hill_q0,36,364.0,0.01718342874568487
hill_q0,37,1.0,0.041769810279254374
hill_q0,38,8.0,0.030855096094192506
hill_q0,39,15.0,0.01791711987395613
hill_q0,40,22.0,0.022162085956315233
hill_q0,41,29.0,0.019112042042712368
hill_q0,42,36.0,0.02500346102487154
hill_q0,43,43.0,0.01960897197671282
hill_q0,44,50.0,0.01829247288582736
hill_q0,45,58.0,0.025336755814399432
hill_q0,46,65.0,0.019450322675052572
hill_q0,47,72.0,0.013063448746532967
hill_q0,48,79.0,0.015276131662412387
hill_q0,49,86.0,0.01552327409188411
hill_q0,50,93.0,0.017156782428778255
hill_q0,51,100.0,0.016326661057327555
hill_q1,0,108.0,0.01610868567175731
hill_q1,1,115.0,0.021571320770333774
hill_q1,2,122.0,0.021752028568935534
hill_q1,3,129.0,0.008932265270655928
hill_q1,4,136.0,0.023444650341017875
hill_q1,5,143.0,0.020864884637507627
hill_q1,6,150.0,0.02147297335130747
hill_q1,7,158.0,0.00852591087820532
hill_q1,8,165.0,0.019285333616399558
hill_q1,9,172.0,0.011119171220552417
hill_q1,10,179.0,0.01675377711725335
hill_q1,11,186.0,0.007279790171612265
hill_q1,12,193.0,0.014005154721752918
hill_q1,13,200.0,0.00877442366598343
hill_q1,14,207.0,0.015776781489767893
hill_q1,15,214.0,0.007391763606944179
hill_q1,16,222.0,0.0153659420671886
hill_q1,17,229.0,0.007779375652770404
hill_q1,18,236.0,0.01518581744001942
hill_q1,19,243.0,0.010902624393227641
hill_q1,20,250.0,0.025279119274339755
hill_q1,21,257.0,0.008683577309767833
hill_q1,22,264.0,0.020343039962411144
hill_q1,23,271.0,0.02423182355242996
hill_q1,24,278.0,0.018992252886074805
hill_q1,25,285.0,0.022360760349523844
hill_q1,26,293.0,0.021357762086381505
hill_q1,27,300.0,0.029285241075146778
hill_q1,28,307.0,0.02197490833449898
hill_q1,29,314.0,0.02902987336912674
hill_q1,30,321.0,0.02771223070554729
hill_q1,31,328.0,0.020170118413248388
hill_q1,32,335.0,0.022804193273352976
hill_q1,33,342.0,0.0182427508420154
hill_q1,34,349.0,0.025549459451202884
hill_q1,35,356.0,0.032440379718374705
hill_q1,36,364.0,0.018617278781403842
hill_q1,37,1.0,0.03941699944934651
hill_q1,38,8.0,0.03320429221367865
hill_q1,39,15.0,0.016924051303830415
hill_q1,40,22.0,0.024442811000350163
hill_q1,41,29.0,0.017531743703251574
hill_q1,42,36.0,0.02641758765385775
hill_q1,43,43.0,0.01812314669615697
hill_q1,44,50.0,0.0205135349368341
hill_q1,45,58.0,0.023591511872144786
hill_q1,46,65.0,0.022010052995257233
hill_q1,47,72.0,0.011778131487177034
hill_q1,48,79.0,0.01714313937193386
hill_q1,49,86.0,0.0146283598299384
hill_q1,50,93.0,0.019571787994686007
hill_q1,51,100.0,0.015335405453516813
hill_q2,0,108.0,0.01660507898581758
hill_q2,1,115.0,0.021043076100746756
hill_q2,2,122.0,0.02232613718012169
hill_q2,3,129.0,0.009045234792004036
hill_q2,4,136.0,0.024321286850533867
hill_q2,5,143.0,0.021076672667324388
hill_q2,6,150.0,0.02264991440160506
hill_q2,7,158.0,0.008912222531860428
hill_q2,8,165.0,0.019926526589605968
hill_q2,9,172.0,0.011562136838511395
hill_q2,10,179.0,0.01796194089766129
hill_q2,11,186.0,0.00736315530607004
hill_q2,12,193.0,0.014522706434461623
hill_q2,13,200.0,0.008642987720240308
hill_q2,14,207.0,0.016640380950992913
hill_q2,15,214.0,0.007668158819236821
hill_q2,16,222.0,0.01529313361162777
hill_q2,17,229.0,0.007494502597531226
hill_q2,18,236.0,0.015181169626597579
hill_q2,19,243.0,0.010399104036957723
hill_q2,20,250.0,0.02416356721441888
hill_q2,21,257.0,0.008880498980978521
hill_q2,22,264.0,0.02053108257608584
hill_q2,23,271.0,0.022825867780141458
hill_q2,24,278.0,0.019242635581122134
hill_q2,25,285.0,0.021334087980873395
hill_q2,26,293.0,0.02183072499431659
hill_q2,27,300.0,0.02780914216524991
hill_q2,28,307.0,0.022258935745119644
hill_q2,29,314.0,0.02791769481924006
hill_q2,30,321.0,0.02841009854556833
hill_q2,31,328.0,0.019318536007921966
hill_q2,32,335.0,0.023159737647001903
hill_q2,33,342.0,0.01798394175668992
hill_q2,34,349.0,0.02526015198499097
hill_q2,35,356.0,0.031371749104247865
hill_q2,36,364.0,0.018421408095653444
hill_q2,37,1.0,0.03787037110984896
hill_q2,38,8.0,0.03360826218754154
hill_q2,39,15.0,0.016559235939105466
hill_q2,40,22.0,0.024867744138079937
hill_q2,41,29.0,0.01705741038490999
hill_q2,42,36.0,0.026582978591254202
hill_q2,43,43.0,0.017948709143804458
hill_q2,44,50.0,0.021012602491612926
hill_q2,45,58.0,0.023331042012107735
hill_q2,46,65.0,0.02282086113445843
hill_q2,47,72.0,0.011635121155240844
hill_q2,48,79.0,0.017458414790323933
hill_q2,49,86.0,0.014324809030567294
hill_q2,50,93.0,0.020458806954152305
hill_q2,51,100.0,0.015108243017862642
lcbd_pa,0,108.0,0.018227288400013985
lcbd_pa,1,115.0,0.012915675656206932
lcbd_pa,2,122.0,0.025482347471723416
lcbd_pa,3,129.0,0.013721370568229111
lcbd_pa,4,136.0,0.02055618010414667
lcbd_pa,5,143.0,0.013087201654765585
lcbd_pa,6,150.0,0.01854724440045442
lcbd_pa,7,158.0,0.00877216795401064
lcbd_pa,8,165.0,0.019850015698902306
lcbd_pa,9,172.0,0.008673265265058327
lcbd_pa,10,179.0,0.013722292914223139
lcbd_pa,11,186.0,0.009053246524245339
lcbd_pa,12,193.0,0.015469063231813102
lcbd_pa,13,200.0,0.008972395660673003
lcbd_pa,14,207.0,0.016021060588427595
lcbd_pa,15,214.0,0.007845312399318493
lcbd_pa,16,222.0,0.017898579571942647
lcbd_pa,17,229.0,0.008834669120499527
lcbd_pa,18,236.0,0.017285938012703693
lcbd_pa,19,243.0,0.01042259925909595
lcbd_pa,20,250.0,0.024525266343994635
lcbd_pa,21,257.0,0.007173660455398574
lcbd_pa,22,264.0,0.024179328408771354
lcbd_pa,23,271.0,0.022141238644660482
lcbd_pa,24,278.0,0.02700072964754241
lcbd_pa,25,285.0,0.016458803889985225
lcbd_pa,26,293.0,0.029115427101715045
lcbd_pa,27,300.0,0.03100061486415927
lcbd_pa,28,307.0,0.027592848746151238
lcbd_pa,29,314.0,0.019690007069377884
lcbd_pa,30,321.0,0.03299111876992127
lcbd_pa,31,328.0,0.02350353444842087
lcbd_pa,32,335.0,0.028714991833742907
lcbd_pa,33,342.0,0.013962715964427183
lcbd_pa,34,349.0,0.0311535272180847
lcbd_pa,35,356.0,0.03357086713041226
lcbd_pa,36,364.0,0.023896972118637474
lcbd_pa,37,1.0,0.02369351537616707
