target,R2_mean,R2_sd,RMSE_mean,RMSE_sd,MAE_mean,spearman_mean,n,n_seeds,R2_ensemble,RMSE_ensemble,spearman_ensemble
lcbd_count_sorensen,0.41863211396210015,0.0034181897686118667,1.6161833965901582e-05,4.7473740671908715e-08,1.3099285253382516e-05,0.5788911438257784,2499,3,0.4218733107517709,1.6116765254153058e-05,0.581491460693907
pd_inext_q0,-0.06108327727041404,0.013998098498388617,3.6075549103914835,0.02376008814118534,1.876762386954289,0.2629372115477802,888,3,-0.059737595424727674,3.6053187362766064,0.2759258620576667
pd_inext_q1,0.03241912210539769,0.005179833111128882,1.1606353992805916,0.003107411601914958,0.8960492546103017,0.17901454978165643,888,3,0.038178459215578386,1.157178780383711,0.18704394967650012
pd_inext_q2,0.017142105389903833,0.009412124939221935,0.9209743676289218,0.004415564913412823,0.7344608727874395,0.1564459848000713,888,3,0.019852052160614475,0.9197108778024381,0.15930411273484268
td_inext_q0,-0.09743674197721892,0.007129334076704294,11.861995615829818,0.0385615350766749,4.523106810692693,-0.08856911493113295,895,3,-0.09691612502822466,11.859223430653195,-0.09359911043637284
td_inext_q1,-0.08755783210238192,0.014148172448600822,2.6670223889400524,0.017370965342620243,1.5583355173882218,0.11602260475004199,895,3,-0.0855029363143629,2.664539260949381,0.11582979007849477
td_inext_q2,-0.0012806442087749392,0.01182588769688867,1.637402613565224,0.0096852665549452,1.1796173534611671,0.17042921745298467,895,3,0.003382705858687496,1.6336042073910744,0.17403979466792932
