target,n,R2,RMSE,nRMSE,MAE,Bias,spearman,seed,run_id,scheme,family,features,substrate,index,fusion,model
pd_inext_q0,877,-0.0084219679884005,1.5454755025257418,0.223274885680225,1.208402555192457,0.0058250838799332,0.1907623431066835,0,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified_woody,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
pd_inext_q1,877,-0.0549118914578192,1.1715872689880509,0.2336329819727518,0.9302354413661784,-0.0704599369836449,0.093970296886588,0,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified_woody,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
pd_inext_q2,877,-0.0588171189007769,0.9561445243439132,0.2496325176547159,0.7678212325435155,-0.0138206773171363,0.0565937064624341,0,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified_woody,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
td_inext_q0,881,-0.1221194106774017,2.458722621859994,0.247805964547318,1.9020318146103647,-0.0149338177913061,-0.0620847182950496,0,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified_woody,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
td_inext_q1,881,-0.0226044075961637,1.710868116364172,0.2090823771636714,1.3138923999632208,0.0098462397908399,0.1841820679577412,0,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified_woody,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
td_inext_q2,881,-0.0160144177940955,1.52055526641788,0.2043222343523869,1.171835773370106,0.084393915285284,0.199594702430086,0,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified_woody,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
lcbd_count_sorensen,2499,0.3472570188098021,1.7122956263911063e-05,0.2087985713819299,1.3860679875191907e-05,1.6255756739910208e-06,0.5102260940820729,1,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified_woody,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
pd_inext_q0,877,-0.0272341840348819,1.5598243943554175,0.2253478704526611,1.2113019213652318,-0.0524399620467972,0.1645528284844885,1,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified_woody,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
pd_inext_q1,877,-0.046141682757081,1.1667069988429837,0.2326597791247817,0.9279873983785668,-0.0314617218069922,0.1063996788852604,1,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified_woody,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
pd_inext_q2,877,-0.0635022248447165,0.9582575870328032,0.2501842011560691,0.7707818037546595,-0.0004058287262676,0.0440964545063361,1,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified_woody,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
td_inext_q0,881,-0.11924297090633,2.455569256179134,0.2474881479635487,1.9097770890707928,0.0471963358495013,-0.0574713674802385,1,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified_woody,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
td_inext_q1,881,-0.0113217561420486,1.7014037192163316,0.207925748762473,1.3020100460795756,-0.0069811575926913,0.192430692731401,1,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified_woody,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
td_inext_q2,881,-0.0310526333335685,1.531766940830673,0.2058287855560468,1.1827029695579905,0.0719181780821288,0.1804937916582901,1,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified_woody,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
lcbd_count_sorensen,2499,0.3474014493095443,1.712106178628413e-05,0.2087754699842552,1.3899544263226398e-05,7.807866396769517e-07,0.5136437387465543,2,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified_woody,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
pd_inext_q0,877,-0.0070862405116207,1.5444516165921522,0.2231269648530116,1.2056030453761746,-0.0025912794457351,0.1854610839695007,2,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified_woody,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
pd_inext_q1,877,-0.0506866418000937,1.1692386294855976,0.2331646262086856,0.9286672430164982,-0.0467413893676921,0.1038284126502306,2,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified_woody,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
pd_inext_q2,877,-0.0511234309546522,0.9526643720677022,0.2487239111078881,0.7604722395998995,-0.0446772354947953,0.053315774316825,2,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified_woody,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
td_inext_q0,881,-0.1341911809535421,2.47191272152025,0.2491353480815665,1.9053312714479245,-0.0478879047345496,-0.0826067986752811,2,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified_woody,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
td_inext_q1,881,-0.0293197312393593,1.7164764595910784,0.2097677635605629,1.306959290821612,-0.0307682847283872,0.1787185421172743,2,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified_woody,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
td_inext_q2,881,-0.0209194280207025,1.524221237595795,0.2048148434924069,1.1735073640500884,-0.0170462900968211,0.1568670638902009,2,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified_woody,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
lcbd_count_sorensen,2499,0.1349667579862786,1.9711698174792883e-05,0.2403658781213556,1.5908020565403778e-05,-1.5635006939066296e-06,0.3810846898692422,0,C1D01_curve1d_kndvi_raw100_pg-all_unified_woody_ctr,kfold_loc_time_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
pd_inext_q0,877,-0.062474369372399,1.58635436333415,0.2291806557547547,1.211452515397886,-0.2009463498897016,0.1584095289364339,0,C1D01_curve1d_kndvi_raw100_pg-all_unified_woody_ctr,kfold_loc_time_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
pd_inext_q1,877,-0.2143427496871857,1.2570055404589595,0.2506667326859562,0.984779971350386,0.0383766837659559,0.0096060718260732,0,C1D01_curve1d_kndvi_raw100_pg-all_unified_woody_ctr,kfold_loc_time_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
pd_inext_q2,877,-0.1773329989586851,1.0082372147356022,0.2632330028562685,0.7965840440242923,0.0250696498470412,0.0450391975689568,0,C1D01_curve1d_kndvi_raw100_pg-all_unified_woody_ctr,kfold_loc_time_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
td_inext_q0,881,-0.0514034759658681,2.379987651821087,0.2398705451467613,1.8081636833221448,-0.3290531707420107,0.052171622185412,0,C1D01_curve1d_kndvi_raw100_pg-all_unified_woody_ctr,kfold_loc_time_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
td_inext_q1,881,-0.0272586046965794,1.714757048248999,0.209557637129843,1.3088684091851583,-0.0397228098170863,0.0961306852616388,0,C1D01_curve1d_kndvi_raw100_pg-all_unified_woody_ctr,kfold_loc_time_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
td_inext_q2,881,-0.0627136060448625,1.5551074243086298,0.2089651264970215,1.208338115926165,0.0712743727677183,0.0478786236699963,0,C1D01_curve1d_kndvi_raw100_pg-all_unified_woody_ctr,kfold_loc_time_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
lcbd_count_sorensen,2499,0.2535170979582983,1.831123239494065e-05,0.2232884967629315,1.4863347402660024e-05,3.411359665324384e-06,0.4272977099672286,1,C1D01_curve1d_kndvi_raw100_pg-all_unified_woody_ctr,kfold_loc_time_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
pd_inext_q0,877,-0.0645795510086519,1.5879251830914367,0.2294075921255734,1.2300055166636,-0.0546521633914338,0.1367751804275978,1,C1D01_curve1d_kndvi_raw100_pg-all_unified_woody_ctr,kfold_loc_time_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
pd_inext_q1,877,-0.5098856288750144,1.4016467539425197,0.2795104722150738,1.0602805009742398,-0.1750217575520838,-0.0549647063893311,1,C1D01_curve1d_kndvi_raw100_pg-all_unified_woody_ctr,kfold_loc_time_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
pd_inext_q2,877,-0.5507951858242455,1.1571516718663073,0.3021119483527468,0.8834095911947796,-0.0740505679722371,-0.077055712503074,1,C1D01_curve1d_kndvi_raw100_pg-all_unified_woody_ctr,kfold_loc_time_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
td_inext_q0,881,-0.6444639417012776,2.9764745746468284,0.2999883542629745,2.4787486048080813,1.0809064800318304,-0.10364410575025,1,C1D01_curve1d_kndvi_raw100_pg-all_unified_woody_ctr,kfold_loc_time_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
td_inext_q1,881,-0.1718283806086318,1.8314484910274007,0.2238183063289488,1.4026687522003791,0.2354893900206996,-0.0178007857403342,1,C1D01_curve1d_kndvi_raw100_pg-all_unified_woody_ctr,kfold_loc_time_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
td_inext_q2,881,-0.2078598384311427,1.6579084492396392,0.2227788533450444,1.2658348170145766,0.1327375481039608,-0.0495936242607639,1,C1D01_curve1d_kndvi_raw100_pg-all_unified_woody_ctr,kfold_loc_time_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
lcbd_count_sorensen,2499,0.3197602324895575,1.747988821181097e-05,0.2131510254589834,1.4069647480364128e-05,4.728387814596104e-07,0.4751455015012041,2,C1D01_curve1d_kndvi_raw100_pg-all_unified_woody_ctr,kfold_loc_time_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
