target,R2_mean,R2_sd,RMSE_mean,RMSE_sd,MAE_mean,spearman_mean,n,n_seeds,R2_ensemble,RMSE_ensemble,spearman_ensemble
hill_q0_unified,0.4401820990760979,0.001759869812705817,2.271961585147158,0.0035695508544776266,1.6264219859966629,0.6895639220601196,3102,3,0.44284373892589546,2.2665560235442004,0.6918512811344109
lcbd_pa_unified,0.38572916477438235,0.008144809340099314,1.1703922558704518e-05,7.77341742145207e-08,9.173849631263915e-06,0.5829886260067312,3094,3,0.3897436859544203,1.1665786342394213e-05,0.5859304963087798
pcoa1_pa_unified,0.6879043906899591,0.005491104473341039,0.1639237300300522,0.0014424539355463774,0.09207281964625393,0.8468150652292811,3094,3,0.6887849896930962,0.16369653064013956,0.847799457374553
pcoa2_pa_unified,0.7667316908123077,0.0008821951587227268,0.13043190064213336,0.0002466713021966526,0.10199430853662199,0.8806647434200121,3094,3,0.7685717333695743,0.12991660743548483,0.8812335735556666
lcbd_freq_unified,0.3531456801264496,0.0017818561178372606,2.0182346555975636e-05,2.7807144067737336e-08,1.5931837724097818e-05,0.557506940001247,3040,3,0.35542927662655743,2.0146702833372735e-05,0.5594757221622813
pcoa1_freq_unified,0.5063948195764696,0.0070591247960717215,0.3513620830455774,0.002508222265863309,0.164517927721359,0.6887506558994346,3040,3,0.5072603397945814,0.35105986012838386,0.6902311317475344
pcoa2_freq_unified,0.47011300094278746,0.001380903224259834,0.3441953931584307,0.0004484325780774704,0.2291352004659446,0.8281003582718359,3040,3,0.47388855260646634,0.34296716433384006,0.8314234884479182
mpd_unified,0.21913700197884012,0.006837345830132188,103.20679799194345,0.4513903040812017,66.93210625996133,0.4309652554111984,2535,3,0.22314821140130303,102.94203194837382,0.4356025058334212
mntd_unified,0.07286374638899625,0.00396373854273515,98.06121017851241,0.20951592275748124,62.372905746897025,0.2765576793847778,2535,3,0.0781831299771909,97.7796444164255,0.2845906551257764
ses_pd_unified,0.19932010729589975,0.0021798300691599935,1.0765394296407382,0.0014658557751487836,0.7705236612444217,0.4092584467432588,2535,3,0.203447577066451,1.0737617512611395,0.41481850049708513
ses_mpd_unified,0.24059170131706956,0.005371463642916997,1.1075723513163498,0.00391314142027945,0.7870608671480691,0.41413689122646485,2535,3,0.24409720606983165,1.105017659795649,0.4191176682765774
ses_mntd_unified,0.11050607725253137,0.002749994051617959,1.1536331230259107,0.001783830795013074,0.8484236019625168,0.31372908803397537,2535,3,0.11521410574934732,1.1505769400856802,0.31878094553158653
dark_n_unified,0.6848069515036354,0.0004443550246529985,15.588803348720292,0.010989243105318765,11.774589492052598,0.8293122847719067,3094,3,0.6854920741906767,15.57185432818428,0.8296970885690328
