target,R2_mean,R2_sd,RMSE_mean,RMSE_sd,MAE_mean,spearman_mean,n,n_seeds,R2_ensemble,RMSE_ensemble,spearman_ensemble
hill_q0_unified,0.4297914126237923,0.0013537500868925363,2.2929502037311256,0.002722604019673169,1.6073259757166654,0.7078317638727745,3102,3,0.4329367635072595,2.2866184148788724,0.7103806370838054
lcbd_pa_unified,0.426509434242156,0.0036564650860348748,1.1308878748842836e-05,3.601966085708007e-08,8.9372843672157e-06,0.5974085075911785,3094,3,0.43036617578022707,1.1270826436760779e-05,0.5999647704324691
pcoa1_pa_unified,0.6869583589797491,0.007101442840987461,0.16416917724899585,0.0018629882948682781,0.0918376191698786,0.8509077611718819,3094,3,0.6879803455089216,0.16390801213723352,0.8520771378480874
pcoa2_pa_unified,0.7803882206540491,0.0005146480514376723,0.12655639241603925,0.0001482983577352999,0.09900969684131715,0.8876928686635953,3094,3,0.7819843853365783,0.12609569790350608,0.8881558261769987
lcbd_freq_unified,0.3883879283632658,0.0038140972844617938,1.9624803156571113e-05,6.119666131661956e-08,1.554686513357523e-05,0.5836898515023019,3040,3,0.39098428471280644,1.9583167673527307e-05,0.5854547711630403
pcoa1_freq_unified,0.5187718963284608,0.007460640601411939,0.34692791204133,0.0026839837097709456,0.1608017839491418,0.6974912492632702,3040,3,0.5195135939394209,0.3466673719752813,0.6989523412169734
pcoa2_freq_unified,0.525359332683302,0.0008793666576454748,0.3257586943171361,0.00030184433610061273,0.2155840010902069,0.8548724659517989,3040,3,0.5286796076332521,0.32461739046553706,0.857631836310895
mpd_unified,0.20832390917087287,0.0078044269529809985,103.91874797581353,0.5117278116550255,67.51339008796926,0.4230209977558878,2535,3,0.2130930312937649,103.60610502770935,0.42933011355654943
mntd_unified,0.08609574327996768,0.004287783497136853,97.35890520049797,0.22831770139034163,62.62095470552915,0.28098075919931415,2535,3,0.09230353756740473,97.02785915479677,0.2916093343723178
ses_pd_unified,0.18480453710009126,0.004273339424449448,1.0862521011931474,0.0028488038734774588,0.7803016085665783,0.40305266788714117,2535,3,0.1891742562790244,1.0833393364878716,0.4081796203401275
ses_mpd_unified,0.23079123219082076,0.004077017808839027,1.1146983012365979,0.0029546970257808237,0.8021451030157579,0.4068085921759461,2535,3,0.2350555183320996,1.1116068169620663,0.4134974041481257
ses_mntd_unified,0.11205225203680817,0.0038692185936935646,1.152629120649022,0.0025126191526589,0.8536331753505523,0.3062966694762111,2535,3,0.11631149721383494,1.1498631939282917,0.3107011930727539
dark_n_unified,0.6932885988640084,0.0007352580230962459,15.377625748466363,0.018432354575228273,11.635463386366576,0.8328116614852084,3094,3,0.6941088513506648,15.357056789078483,0.8333337407025794
