target,n,R2,RMSE,nRMSE,MAE,Bias,spearman,seed,run_id,scheme,family,features,substrate,index,fusion,model
pd_inext_q0,888,0.6314196701630435,2.126231617189729,0.1055781736967902,1.476870680985792,0.0937337243041891,0.3754544871487044,3,C1D01_curve1d_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
pd_inext_q1,888,0.0535217470095197,1.1479118296791195,0.2146495422029089,0.8862435511499156,0.0206017568942948,0.2442135003984384,3,C1D01_curve1d_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
pd_inext_q2,888,0.0927420353409569,0.8848525368937418,0.2322698135581987,0.7019094524643269,-0.0116118210837425,0.3148270043682943,3,C1D01_curve1d_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
td_inext_q0,895,0.7048677537554355,6.15145530077085,0.1041398452322162,3.2204948464344225,0.355121083285833,0.2868166495834138,3,C1D01_curve1d_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
td_inext_q1,895,-0.2127130323745036,2.816343640818248,0.1937022360625945,1.7123740706538089,0.1072248596192173,0.2022551558344262,3,C1D01_curve1d_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
td_inext_q2,895,-0.0795761131598831,1.7002362332931988,0.2145493430174964,1.238835522143268,-0.0361823693814507,0.101282695258054,3,C1D01_curve1d_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
lcbd_count_sorensen,2499,0.4272753461150972,1.604129073105825e-05,0.1954296080167404,1.2780351273579765e-05,-6.840552520660653e-07,0.5854528565694804,4,C1D01_curve1d_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
pd_inext_q0,888,0.6001672153614501,2.2145408483069096,0.109963174496582,1.434784066649953,-0.2546870960946893,0.4342469682684097,4,C1D01_curve1d_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
pd_inext_q1,888,0.0398874295515545,1.1561502821892,0.2161900612689451,0.8724961489911013,-0.1389137849304077,0.2440669249015138,4,C1D01_curve1d_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
pd_inext_q2,888,0.0843474623283353,0.8889367424919966,0.2333418991694015,0.703527515203348,-0.0315489382029528,0.3149384997714267,4,C1D01_curve1d_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
td_inext_q0,895,0.7903945648195009,5.184069448355078,0.0877626778751211,2.558537845396282,-0.6168035652201675,0.2620301822106274,4,C1D01_curve1d_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
td_inext_q1,895,-0.0008747939618758,2.558565258711714,0.175972777093544,1.639824656614978,0.0333745605289712,0.2184188480252643,4,C1D01_curve1d_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
td_inext_q2,895,-0.0698065449689202,1.6925256495955117,0.2135763601847427,1.2332740039704977,-0.1580930480882164,0.1046456231738783,4,C1D01_curve1d_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
