target,n,R2,RMSE,nRMSE,MAE,Bias,spearman,seed
lcbd_count_sorensen,2499,0.4780745356537782,1.531129363054562e-05,0.1867070257491241,1.2073700323392837e-05,-1.3664146946197197e-06,0.6412023498915591,0
pd_inext_q0,877,0.11900787173611393,1.4445314125997866,0.20869149040706927,1.1046555580751396,-0.09261901209474127,0.37697347388127883,0
pd_inext_q1,877,0.12978943831879608,1.0640908893582262,0.21219650823410877,0.8350371878762061,0.02997846234193675,0.38099805752267984,0
pd_inext_q2,877,0.10928011296718876,0.8769677839382127,0.2289608633765812,0.6925225590482446,0.007238352034105273,0.3512380062866438,0
td_inext_q0,881,0.018038794374424905,2.3000494051451206,0.2318138517460336,1.7647152999254838,-0.09217907289851969,0.17197460147075025,0
td_inext_q1,881,0.04024768867541162,1.657457060798084,0.20255509995406942,1.248875786910812,0.026445179360768196,0.2228459083933781,0
td_inext_q2,881,0.05272038728182782,1.468220790611969,0.1972898710661017,1.1307838901264127,0.07216432248147792,0.22294058275194187,0
lcbd_count_sorensen,2499,0.47875519422608437,1.5301306415870902e-05,0.18658524092855772,1.2113439920578706e-05,8.217522721919922e-08,0.6366991408785302,1
pd_inext_q0,877,0.13061436999469034,1.4349844838142838,0.20731224535938214,1.1048131056759578,-0.03449396279455821,0.3877729645843253,1
pd_inext_q1,877,0.124729651850778,1.067179951505412,0.2128125159529102,0.8330170136338382,-0.020103154420743688,0.3799710418549936,1
pd_inext_q2,877,0.08952746574919235,0.886638304397022,0.23148566617333463,0.6947407638317419,-0.06608340461783856,0.31985029470727744,1
td_inext_q0,881,0.01498346788878091,2.303624874295523,0.2321742106468902,1.8192645475783658,0.2019486989300143,0.15919095591385402,1
td_inext_q1,881,0.05120390260436625,1.6479694162066867,0.20139563052104903,1.244152031751352,0.021625747319440725,0.23478035570018324,1
td_inext_q2,881,0.04385080188037882,1.4750784112382789,0.1982113531060209,1.1441427507969189,0.09992772858200157,0.20961116771686306,1
lcbd_count_sorensen,2499,0.47761428174309817,1.5318043186123888e-05,0.18678933031969494,1.2040656565495526e-05,-1.0251636850525957e-06,0.6344318864931301,2
pd_inext_q0,877,0.12402858753034518,1.4404093869936632,0.20809598126151888,1.1027095245748035,-0.08375431943887032,0.38962037088901125,2
pd_inext_q1,877,0.12597326581960433,1.0664215391751728,0.21266127657111691,0.8198672129156023,-0.09858280573044133,0.38186045963438736,2
pd_inext_q2,877,0.1028588211396928,0.8801231829979045,0.2297846825706687,0.6872433616027067,-0.06320085329995548,0.34579465779820695,2
td_inext_q0,881,-0.008953564471740227,2.3314472244477247,0.23497832700151336,1.784979997409972,-0.131050850997363,0.13221205524196505,2
td_inext_q1,881,0.03247039850265088,1.6641590584141785,0.203374140054189,1.2739561516208808,0.13976616813249496,0.21546618198005513,2
td_inext_q2,881,0.03863003349057581,1.4791000425096354,0.19875175351451166,1.1351787308096446,0.031561502873251185,0.19135052492761834,2
