target,n,R2,RMSE,nRMSE,MAE,Bias,spearman,seed
lcbd_count_sorensen,2499,0.42037900383869964,1.6137580632458595e-05,0.19660269925996596,1.2873112392273392e-05,-1.2646714508919449e-06,0.5706844346316815,0
pd_inext_q0,877,0.5616932519942646,2.1820923251771998,0.10832444746465542,1.5223061109052334,0.20155619536367625,0.3455916725488086,0
pd_inext_q1,877,0.018934212274918982,1.1677892160583903,0.21782797580378668,0.931444788144039,0.16567904888103566,0.23024131416874313,0
pd_inext_q2,877,0.04923130857512037,0.9069824113637951,0.2374141674497107,0.7192202063572412,0.01330897650716333,0.26954861363603516,0
td_inext_q0,881,0.7764146326373793,5.2246411914791775,0.08824269449898867,2.664341641666531,-0.1224594938576787,0.2345496612567153,0
td_inext_q1,881,-0.018087374279151858,2.5772143740943267,0.17579210735652484,1.6044679085637996,0.15852307635593882,0.2457991045103996,0
td_inext_q2,881,-0.007974911808260154,1.6406594648648616,0.20662690232846495,1.2141848484059357,0.13051210523999818,0.15129964172955124,0
lcbd_count_sorensen,2499,0.43652600944799624,1.5911213670642236e-05,0.19384489084184042,1.2850624831990106e-05,4.720212720921308e-07,0.600054320450525,1
pd_inext_q0,877,0.6062744265428446,2.068144386062455,0.10266779059366873,1.4421360114923745,0.08108142608786859,0.36004100200019346,1
pd_inext_q1,877,-0.05490822781205895,1.2109403056768833,0.2258769579112342,0.9443068454867202,0.09348785171222464,0.1843333455641579,1
pd_inext_q2,877,0.0296603763677602,0.916269672393621,0.23984522599909183,0.7261066343275313,0.024991319403171935,0.25067658475349885,1
td_inext_q0,881,0.7451343770090313,5.578152864934047,0.09421340549314836,2.9161973423010648,0.1955669294708723,0.23301631349846244,1
td_inext_q1,881,-0.0890235362621421,2.6654875114120693,0.18181322883871082,1.5846712598927282,0.02603079427394576,0.25698998906671056,1
td_inext_q2,881,-0.03422510208455121,1.6618855976805393,0.20930015059603116,1.2131491589976116,0.06656758628701132,0.13353823454526445,1
lcbd_count_sorensen,2499,0.42939841566520276,1.6011530883889014e-05,0.1950670464645293,1.279723634284607e-05,-6.164866439998507e-07,0.5806643296467916,2
pd_inext_q0,877,0.5402062608731539,2.234938464386784,0.11094786021601716,1.502568814159072,-0.030872930481916888,0.4076379794898782,2
pd_inext_q1,877,-0.019456418516598628,1.1904186636085812,0.22204905156440544,0.9326497225534571,0.09074498295618767,0.2568825585105969,2
pd_inext_q2,877,0.0218491037603471,0.9199502836478168,0.2408086727491859,0.7317457532499712,0.02620124379777123,0.2522045572052344,2
td_inext_q0,881,0.759303761218277,5.420875502605149,0.091557035854171,2.7461016581015,-0.8238853878891251,0.26325274688658834,2
td_inext_q1,881,0.14351798820001016,2.363834909963608,0.16123746803618236,1.5028262757187405,0.008617209922689639,0.2677257209207684,2
td_inext_q2,881,-0.010206106000308912,1.642474294939634,0.20685546451619088,1.1984154579028519,-0.019036406882864117,0.15154654840066348,2
lcbd_count_sorensen,2499,0.4421735791933368,1.5831275655166832e-05,0.19287101316005595,1.260872544392096e-05,-1.2531321247385612e-06,0.5988316153198776,3
pd_inext_q0,877,0.575076259763458,2.1485206942858723,0.10665786886720992,1.5173544899970197,0.11721461496815673,0.3113136470752967,3
pd_inext_q1,877,0.010618396401170016,1.1727280429779916,0.21874921626049615,0.9077073987797992,0.013876975172682845,0.20118946770339585,3
pd_inext_q2,877,0.041280930057085,0.910766634518178,0.23840473593084674,0.7212767759921601,-0.006464133611001616,0.2534413203953447,3
td_inext_q0,881,0.8198663522620986,4.689561148868354,0.07920534571231631,2.5220572991782353,-0.26579525663208675,0.259026622582461,3
td_inext_q1,881,-0.008840597917585402,2.565483905878515,0.17499197068622516,1.5707092354887395,-0.005385120846866346,0.2558242832592031,3
td_inext_q2,881,-0.005331166143090149,1.6385064677245433,0.2063557509168814,1.191166675028975,-0.08455906365612757,0.15755790410694048,3
lcbd_count_sorensen,2499,0.4419981554177044,1.583376474831394e-05,0.19290133755889713,1.2549825450338271e-05,-5.58055219525967e-07,0.5944604768110033,4
pd_inext_q0,877,0.5872100906543325,2.1176226794241875,0.10512401516678278,1.451333186951146,0.019935065083356497,0.4067406637898208,4
pd_inext_q1,877,0.03105098824405994,1.1605553474274473,0.2164786407187896,0.8745933669398214,-0.10649343932767039,0.2591515321331559,4
pd_inext_q2,877,0.0398124905718783,0.9114638637724182,0.23858724454495328,0.7102246380427267,-0.03560240342215082,0.2866404393312186,4
td_inext_q0,881,0.7506371990156315,5.517605108814856,0.09319077122028409,2.6434989389940875,-0.7122138618458594,0.24993484330468013,4
td_inext_q1,881,-0.05802748497140975,2.627280811724963,0.17920714518472897,1.653833204459332,-0.012752019321883858,0.21434044701739263,4
td_inext_q2,881,-0.051165141082647025,1.6754407033809537,0.21100729919181987,1.2174663571210727,-0.14912938317045116,0.11834453740685369,4
