target,R2_mean,R2_sd,RMSE_mean,RMSE_sd,MAE_mean,spearman_mean,n,n_seeds,R2_ensemble,RMSE_ensemble,spearman_ensemble
hill_q0_unified,0.44437735261127004,0.0029017484640546155,2.2634292967044805,0.005911240050473913,1.6199806347001162,0.6814364737823343,3102,3,0.4471822355361771,2.2577141024166485,0.6838480153446701
lcbd_pa_unified,0.40386421561084324,0.0073253624942104046,1.1529886153710567e-05,7.077270876378316e-08,9.104817402268631e-06,0.6034823317049569,3094,3,0.40732054491042813,1.1496557447247367e-05,0.6054365603563746
pcoa1_pa_unified,0.6941696402529286,0.007324857611003062,0.16226644546853655,0.0019442650790734717,0.091740248879857,0.8383138782887091,3094,3,0.6950896782645445,0.1620299397618611,0.8392934560532946
pcoa2_pa_unified,0.7603710576280406,0.0014910462290885595,0.13219794467705068,0.00041144017124557523,0.1037857581133662,0.8763295798818024,3094,3,0.7622536887481305,0.13167804303727837,0.8769006977211927
lcbd_freq_unified,0.3463947877411025,0.0018184947941052934,2.0287389444409193e-05,2.8211756819814258e-08,1.6026275478858334e-05,0.5638242585807354,3040,3,0.3479519684061748,2.026322126589209e-05,0.5651358106218969
pcoa1_freq_unified,0.5217158197870312,0.00814042704649037,0.34586369589369875,0.0029379782991477256,0.16244600051187633,0.6816647449872888,3040,3,0.5226144308639346,0.34554694597064883,0.6833471973276192
pcoa2_freq_unified,0.469394080784214,0.001734004002276798,0.34442869464233755,0.0005627559024215548,0.2315918324242785,0.8246765299702333,3040,3,0.47275853081234154,0.34333529212087255,0.8277860055735045
mpd_unified,0.22904622908842906,0.005075605657256739,102.55013921460232,0.33725389687701923,66.37400819179534,0.44198857197092556,2535,3,0.2329761254624031,102.28880206677482,0.44577034612879146
mntd_unified,0.07925485029732315,0.003995932029219428,97.72263419361319,0.21215933436134238,62.385498902507216,0.2796401811605325,2535,3,0.08395517604834035,97.47303531582872,0.2875007018645038
ses_pd_unified,0.2063490704116138,0.0008883614406310041,1.0718042322054206,0.0005997647273134174,0.7642755482130535,0.41150620905375906,2535,3,0.21041187210623158,1.0690574716806303,0.4165201496549234
ses_mpd_unified,0.24694845848589334,0.002032071927138857,1.1029309674557881,0.0014883783853396114,0.779482733770719,0.4194164251350361,2535,3,0.2504417203273671,1.1003705190899409,0.4240111959402617
ses_mntd_unified,0.12070194669257717,0.003625083283526455,1.1470015682632673,0.002363422742169881,0.842396902178811,0.3224138476007468,2535,3,0.12593455931729491,1.1435852497775159,0.3263519099125192
dark_n_unified,0.6802818348897167,0.0017619684504260325,15.700268940095798,0.043263707601560765,11.890790460925606,0.8271475730407047,3094,3,0.6810304839539167,15.681916057980835,0.8275467869585138
