target,n,R2,RMSE,nRMSE,MAE,Bias,spearman,seed
lcbd_count_sorensen,479,0.6429071498439158,0.00010673627557969433,0.1650939185606295,8.352692912067234e-05,-5.726615195420374e-06,0.7285085765878822,0
pd_inext_q0,226,0.05183449167389731,1.7247488880331594,0.21020784656775007,1.330695066527443,-0.0020569037042953717,0.29421721899125314,0
pd_inext_q1,226,0.37754822386278064,1.1259524400341505,0.2065352833551087,0.8659880310507266,-0.040935136464744074,0.5842046881628215,0
pd_inext_q2,226,0.35566133349004925,0.88743709236555,0.2042033408510664,0.7122405470631626,0.014866450141026905,0.5568419980206842,0
td_inext_q0,230,-0.058139458251518006,2.7332024956256302,0.2547687265502144,2.1235324794449495,0.09060304110804387,0.0131681643618159,0
td_inext_q1,230,0.14281566308368665,1.8455231104097396,0.2456762438940035,1.4521240855537028,0.01614825349761882,0.43685699829475166,0
td_inext_q2,230,0.15499672515987462,1.5528445925695462,0.23305607645003373,1.2486431886641625,0.09117565297616073,0.4258150546394523,0
lcbd_count_sorensen,479,0.6474509171349192,0.00010605502773567854,0.16404020111106782,8.292945332732574e-05,5.345006854759991e-07,0.7373484723828062,1
pd_inext_q0,226,0.02424732079977443,1.7496600409049494,0.2132439521927669,1.3263488890639967,-0.1912381486515427,0.25928833908101073,1
pd_inext_q1,226,0.3181891137808943,1.178417427798208,0.21615902120476713,0.9174697104416935,-0.010935896109488957,0.5604561539933725,1
pd_inext_q2,226,0.35243646363793435,0.8896551008002843,0.20471371475396613,0.7085798679642898,-0.019924669660147873,0.5409101872105456,1
td_inext_q0,230,-0.10148078275948103,2.7886166497840628,0.25993402019764666,2.149961195282129,-0.3021945237578756,0.010114026364438228,1
td_inext_q1,230,0.11528857982745533,1.8749219406876063,0.24958981948501305,1.4908470995563132,0.12088811669097022,0.41838766659734816,1
td_inext_q2,230,0.16315452472294178,1.5453307059149726,0.2319283673727799,1.232036146688595,0.03236479790026807,0.42559264540498143,1
lcbd_count_sorensen,479,0.6399463169903898,0.00010717786365201866,0.16577694319169997,8.396190547513657e-05,-3.4241118651679596e-06,0.7323350307403675,2
pd_inext_q0,226,0.003158210906572534,1.7684668167795135,0.21553607244569406,1.3587893552618902,-0.07353611845937827,0.23791943491698456,2
pd_inext_q1,226,0.3686031341024798,1.1340139631243422,0.20801402161838384,0.872490842563168,-0.05833438188548246,0.5696316295046471,2
pd_inext_q2,226,0.36602309736364935,0.8802726284241766,0.20255476487331947,0.7034136224257166,-0.003309557006194313,0.5600980131239373,2
td_inext_q0,230,-0.04893267092917264,2.7212858286648527,0.25365794384341556,2.095286786809353,-0.03458064947590713,0.04642822540545992,2
td_inext_q1,230,0.14818121704541554,1.8397380080038817,0.24490613041149184,1.4671124603448862,0.13567613402177112,0.44658086570929295,2
td_inext_q2,230,0.1806911634949665,1.5290532756418107,0.22948539654858766,1.2305428550026278,0.0911418072925333,0.4421392020440085,2
