site_id,X,Y,lon,lat,year,win_start,win_end,cell,n_obs_center,n_obs_mean5x5,max_doy_gap,mean_doy_gap,frac_valid_px,n_obs_per_year,n_years_with_obs,patch_y,patch_x,sensors,error
LT0683,257984.0000000028,5351452.000000005,-71.9199371784676,-41.9517897766264,2014,2012.0,2014.0,52_1070,37.0,39.0,35.0,9.31578947368421,0.3654901960784313,"{""2012"": 7, ""2013"": 15, ""2014"": 17}",3.0,5.0,5.0,"landsat7,landsat8",
LT0675,262150.999999997,5348822.0,-71.8707862644931,-41.9767148017658,2015,2013.0,2015.0,52_1070,47.0,49.0,35.0,7.229166666666667,0.37312,"{""2013"": 15, ""2014"": 17, ""2015"": 17}",3.0,5.0,5.0,"landsat7,landsat8",
LT0680,261011.99999999825,5350745.999999994,-71.8837356682192,-41.9590634117027,2015,2013.0,2015.0,52_1070,45.0,47.0,35.0,7.543478260869565,0.36384,"{""2013"": 15, ""2014"": 16, ""2015"": 16}",3.0,5.0,5.0,"landsat7,landsat8",
LT1027,260550.0000000012,5561173.000000002,-71.8076858821555,-40.065697200307,2015,2013.0,2015.0,52_1112,56.0,67.0,139.0,5.454545454545454,0.2597156398104265,"{""2013"": 20, ""2014"": 26, ""2015"": 21}",3.0,5.0,5.0,"landsat7,landsat8",
LT1028,261534.99999999505,5561255.000000003,-71.7961190261361,-40.0652385208737,2015,2013.0,2015.0,52_1112,80.0,91.0,22.0,4.011111111111111,0.3800947867298578,"{""2013"": 24, ""2014"": 37, ""2015"": 30}",3.0,5.0,5.0,"landsat7,landsat8",
LT1105,261770.00000000244,5588319.0,-71.7834718892885,-39.8217506632695,2013,2011.0,2013.0,52_1118,57.0,69.0,21.0,5.294117647058823,0.3866666666666666,"{""2011"": 23, ""2012"": 19, ""2013"": 27}",3.0,5.0,5.0,"landsat5,landsat7,landsat8",
LT1131,261082.00000000148,5598371.999999998,-71.787846123889,-39.7310861470865,2015,2013.0,2015.0,52_1120,75.0,93.0,27.0,3.891304347826087,0.3325764192139738,"{""2013"": 25, ""2014"": 35, ""2015"": 33}",3.0,5.0,5.0,"landsat7,landsat8",
LT1134,259011.0000000024,5599137.999999999,-71.8117043561825,-39.7236100149939,2015,2013.0,2015.0,52_1120,86.0,99.0,19.0,3.683673469387755,0.3743231441048035,"{""2013"": 28, ""2014"": 35, ""2015"": 36}",3.0,5.0,5.0,"landsat7,landsat8",
LT1158,258193.00000000183,5611131.000000002,-71.8168474191284,-39.61544890212,2014,2012.0,2014.0,52_1122,73.0,85.0,37.0,4.238095238095238,0.3963243243243243,"{""2012"": 18, ""2013"": 34, ""2014"": 33}",3.0,5.0,5.0,"landsat7,landsat8",
LT1179,259372.00000000015,5622237.999999998,-71.7991035400583,-39.5158214481126,2014,2012.0,2014.0,52_1124,65.0,80.0,21.0,4.493670886075949,0.3576470588235294,"{""2012"": 17, ""2013"": 31, ""2014"": 32}",3.0,5.0,5.0,"landsat7,landsat8",
LT1185,258385.00000000125,5623167.000000002,-71.8102347600041,-39.5071838178644,2014,2012.0,2014.0,52_1125,73.0,87.0,22.0,4.151162790697675,0.3899465240641711,"{""2012"": 21, ""2013"": 31, ""2014"": 35}",3.0,5.0,5.0,"landsat7,landsat8",
