target,n,R2,RMSE,nRMSE,MAE,Bias,spearman,seed
lcbd_count_sorensen,2499,0.4258768540808726,1.606086378341406e-05,0.1956680647602605,1.2690078901279604e-05,-1.0032004214010347e-06,0.578990376268075,0
pd_inext_q0,888,0.5715070346397016,2.292536943368332,0.11383607583314961,1.5457333430314446,0.18702301445351294,0.38074863246520624,0
pd_inext_q1,888,0.01606041749620013,1.1704083934032197,0.21885620423013663,0.9265579801052216,0.13035684094881428,0.20313390511372745,0
pd_inext_q2,888,0.08136168341770411,0.8903848946555981,0.23372203260296143,0.7046683110532709,-0.012303863352409046,0.29695137447432024,0
td_inext_q0,895,0.8014554849090423,5.045433517089369,0.08541566831076229,2.6717769490363574,-0.016545639656776318,0.2783368750476871,0
td_inext_q1,895,-0.10196171296261514,2.6846636047505728,0.18464555808429886,1.6774892382735203,0.22359311095074885,0.20710459156340305,0
td_inext_q2,895,-0.029086868838036795,1.6600021557197482,0.20947228681714772,1.243654241663798,0.18236448738345654,0.12285600718370178,0
lcbd_count_sorensen,2499,0.4189482132300938,1.615748611160638e-05,0.1968452059293143,1.2889231374468006e-05,4.2911928930733874e-07,0.5806967585672185,1
pd_inext_q0,888,0.6269010383194902,2.139225244136568,0.1062233731151668,1.4910062553523915,0.07207135401047464,0.3678550871435031,1
pd_inext_q1,888,-0.0009688449273856925,1.180493205482438,0.2207419764994334,0.9152217043507354,0.0656745252310578,0.2155986833157215,1
pd_inext_q2,888,0.0603629875490822,0.9005038279532636,0.2363782071094022,0.7157510721551597,0.02761627068366854,0.28864983393979887,1
td_inext_q0,895,0.7894751728873954,5.195426445297805,0.08795494390748103,2.9736392085925467,0.7630950613989353,0.2821933089675835,1
td_inext_q1,895,-0.21195346297143214,2.8154615098139133,0.19364156493370133,1.7012895465659854,0.11682670646685307,0.2238446605822456,1
td_inext_q2,895,-0.10421782763751852,1.7195310048543024,0.2169841108933047,1.2630103366621868,0.10417307721914423,0.11349478949251293,1
lcbd_count_sorensen,2499,0.42118042417760027,1.6126420357893324e-05,0.1964667346346614,1.2856744029854788e-05,-2.7538814667893066e-07,0.5785032699881014,2
pd_inext_q0,888,0.5704617110025321,2.2953316021817676,0.11397484480415106,1.4891793413387682,-0.23232795898670275,0.414601392947285,2
pd_inext_q1,888,0.055283453106030445,1.1468430121062214,0.2144496825997675,0.8780969974033771,-0.029918071396603924,0.25554510759807675,2
pd_inext_q2,888,0.09455275876066005,0.8839690927632131,0.23203791344498068,0.7058816026203522,0.04323188711985795,0.32726047268686953,2
td_inext_q0,895,0.7622856637934646,5.520739155699519,0.09346226106364437,2.79155316764681,-0.9532812487930761,0.28283194908574794,2
td_inext_q1,895,-0.029409553601286165,2.5947810629710912,0.178463624504412,1.5887579956270574,0.03945507644590809,0.2259235891743087,2
td_inext_q2,895,-0.05130979041193218,1.6778301263672344,0.2117219620768878,1.2022660913115717,-0.11062500274623284,0.12290203765865476,2
lcbd_count_sorensen,2499,0.43025021488625004,1.5999575341114537e-05,0.19492139315787116,1.2721404234341513e-05,-1.2081383412280704e-06,0.5881878388013663,3
pd_inext_q0,888,0.6314196701630435,2.126231617189729,0.10557817369679023,1.476870680985792,0.09373372430418912,0.3754544871487044,3
pd_inext_q1,888,0.05352174700951973,1.1479118296791195,0.2146495422029089,0.8862435511499156,0.020601756894294828,0.24421350039843845,3
pd_inext_q2,888,0.09274203534095693,0.8848525368937418,0.23226981355819878,0.7019094524643269,-0.011611821083742594,0.3148270043682943,3
td_inext_q0,895,0.7048677537554355,6.15145530077085,0.10413984523221627,3.2204948464344225,0.355121083285833,0.2868166495834138,3
td_inext_q1,895,-0.21271303237450367,2.8163436408182476,0.19370223606259454,1.7123740706538089,0.10722485961921738,0.20225515583442621,3
td_inext_q2,895,-0.07957611315988311,1.7002362332931988,0.21454934301749645,1.2388355221432679,-0.036182369381450766,0.10128269525805404,3
lcbd_count_sorensen,2499,0.4272753461150972,1.604129073105825e-05,0.19542960801674042,1.2780351273579763e-05,-6.840552520660653e-07,0.5854528565694804,4
pd_inext_q0,888,0.6001672153614501,2.2145408483069096,0.10996317449658209,1.434784066649953,-0.25468709609468937,0.43424696826840975,4
pd_inext_q1,888,0.039887429551554554,1.1561502821892,0.2161900612689451,0.8724961489911013,-0.13891378493040774,0.2440669249015138,4
pd_inext_q2,888,0.08434746232833534,0.8889367424919966,0.2333418991694015,0.703527515203348,-0.0315489382029528,0.31493849977142674,4
td_inext_q0,895,0.7903945648195009,5.184069448355078,0.08776267787512115,2.558537845396282,-0.6168035652201675,0.2620301822106274,4
td_inext_q1,895,-0.0008747939618758416,2.558565258711714,0.17597277709354403,1.6398246566149781,0.033374560528971205,0.2184188480252643,4
td_inext_q2,895,-0.06980654496892025,1.6925256495955117,0.2135763601847427,1.2332740039704975,-0.15809304808821648,0.10464562317387838,4
