target,n,R2,RMSE,nRMSE,MAE,Bias,spearman,seed
lcbd_count_sorensen,1839,0.2302546284102993,2.6077801245774486e-05,0.19947146882536512,2.0617224929489526e-05,1.9841535339156616e-06,0.4503717826935514,0
pd_inext_q0,747,0.12511140865516468,1.4660568607012185,0.20896833421121094,1.1156102472631382,-0.047570298719741624,0.41248205139632943,0
pd_inext_q1,747,0.13321874486552576,1.0461008985539355,0.20977566234129982,0.7953052958907993,-0.04834816839759184,0.3880746795026881,0
pd_inext_q2,747,0.09107049883550933,0.8731102325314002,0.23194394907829738,0.6728451247022955,-0.07092483356527068,0.3439173608294779,0
td_inext_q0,748,0.02135900608596364,2.261054524723988,0.22553243852121088,1.7549062929500825,0.015526964146659558,0.15420389929911063,0
td_inext_q1,748,0.12794545537314062,1.5716719485615942,0.19002679558555288,1.1666711439921902,-0.07192644206294822,0.320955537422419,0
td_inext_q2,748,0.1090601443493795,1.419452464340433,0.189405610330555,1.0765739003764718,0.02075427015849834,0.3030011249314495,0
lcbd_count_sorensen,1839,0.24730941288082275,2.5787287984489112e-05,0.19724930651974396,2.030764182535151e-05,4.550439158409332e-07,0.47191103845786925,1
pd_inext_q0,747,0.14087994455379005,1.4527850655029602,0.20707660339986583,1.1044604833079887,-0.054556190401357625,0.4277899644659706,1
pd_inext_q1,747,0.13045291174585538,1.0477685834873336,0.21011008487354674,0.7920842901392211,-0.07928950970670016,0.3826557477056457,1
pd_inext_q2,747,0.09678101175158449,0.8703631750501927,0.2312141862868466,0.6770620869890864,-0.024929033306817974,0.3510982400253386,1
td_inext_q0,748,0.00570990777122915,2.2790606850305486,0.2273284912912511,1.7654289304802033,-0.004691502541820844,0.12769715712604307,1
td_inext_q1,748,0.12540973848592596,1.5739553047201578,0.19030287028065032,1.197253587892169,0.09312667015885408,0.31538866432657964,1
td_inext_q2,748,0.1134547402284587,1.4159473842068981,0.18893790756584275,1.0695613281683356,0.00928654193178528,0.31112116714739974,1
lcbd_count_sorensen,1839,0.24761971192422616,2.578197199157696e-05,0.19720864400742327,2.0169792704918125e-05,-1.4401213389727005e-06,0.4685250374732841,2
pd_inext_q0,747,0.11019726083484394,1.4784999261361125,0.21074193981008738,1.111010683531376,-0.15348930951082487,0.39458915362969277,2
pd_inext_q1,747,0.11776822524968389,1.0553831777189004,0.2116370470916227,0.8091562704988146,0.01327872107620478,0.37178791520085125,2
pd_inext_q2,747,0.11304631019288625,0.862490759036502,0.22912285899394721,0.675937649803942,-0.017389219019267998,0.36755030834763214,2
td_inext_q0,748,0.006050211410598139,2.278670638391069,0.2272895854759437,1.752625745348323,-0.16065415707759095,0.11931343082902061,2
td_inext_q1,748,0.1318842335495689,1.568118573886368,0.18959716623213338,1.1722492825633626,-0.0400032435052602,0.316771662341149,2
td_inext_q2,748,0.09996978232614595,1.4266755052579552,0.19036942173515994,1.0603943941493,-0.09661487214335673,0.31071161241777623,2
