target,R2_mean,R2_sd,RMSE_mean,RMSE_sd,MAE_mean,spearman_mean,n,n_seeds,R2_ensemble,RMSE_ensemble,spearman_ensemble
lcbd_count_sorensen,0.024853425542937308,0.033361012788265594,7.533651886701039e-05,1.2828779858275657e-06,6.217724442288541e-05,0.24595777798150822,506,3,0.02803591662669358,7.522075380701021e-05,0.24533573468537126
pd_inext_q0,-0.09410254689642272,0.05124919966122959,1.3971538891562163,0.03254451761963421,1.1121467270160743,0.010354494483631764,96,3,-0.08539423952356939,1.3918342476053873,0.01222192078133478
pd_inext_q1,0.32322694265918334,0.02972639621824181,1.0361608730086305,0.022662922394155575,0.8499593092162258,0.561267860372581,96,3,0.3258075650808989,1.034348378511889,0.5599430276722734
pd_inext_q2,0.25642129369576067,0.042745578387791604,0.8862363825937193,0.025531822312125196,0.7239851254233501,0.5441354675348165,96,3,0.2639669437187938,0.8819721679032586,0.5439229517091698
td_inext_q0,-0.12099777063949373,0.03315222577571183,2.7253068738724084,0.040304810342741734,2.174026154384007,0.2054339695154499,99,3,-0.11016303477736811,2.7123022151533074,0.2072977275785743
td_inext_q1,-0.45247561895667743,0.029881864146381113,2.109298747662067,0.02173592400931645,1.7211215088900058,-0.10825224155558315,99,3,-0.45024857239499694,2.1077556613027926,-0.10212152789636915
td_inext_q2,-0.3309647987162805,0.07244423233595546,1.813748678532334,0.04901818733542609,1.4829434867822908,-0.018575666310392182,99,3,-0.3233517571822606,1.8089942393685,-0.016400843542945312
